zone_id,spec_name,direction,upper,lower,created_timestamp,touch_timestamp,entry_timestamp,risk_units,net_1r_after_cost,same_dir_intraday_overlap_24h,entry_ny_hour,entry_session,intraday_stack_24h,ny_main_or_overlap,ema8_aligned,r,year,month,recalc_entry_right,recalc_entry_left,recalc_touch_right,recalc_created_right
215,m15_2c_1atr,demand,1526.72,1522.86,2019-08-30 08:15:00+00:00,2019-08-30 10:00:00+00:00,2019-08-30 16:00:00+00:00,6.2587142857144045,-1.0479331674693562,1,12,ny_main,True,True,True,-1.0479331674693562,2019,2019-08,1,1,1,0
233,m15_2c_1atr,demand,1509.75,1504.97,2019-09-09 12:15:00+00:00,2019-09-09 13:00:00+00:00,2019-09-09 15:00:00+00:00,7.13514285714291,-1.0420454090417648,3,11,london_ny_overlap,True,True,True,-1.0420454090417648,2019,2019-09,3,3,1,0
237,m15_2c_1atr,demand,1490.75,1487.76,2019-09-10 10:15:00+00:00,2019-09-10 15:00:00+00:00,2019-09-10 16:00:00+00:00,8.730428571428547,-1.0343625742477052,3,12,ny_main,True,True,True,-1.0343625742477052,2019,2019-09,3,3,3,0
241,m15_2c_1atr,demand,1487.93,1486.36,2019-09-11 04:15:00+00:00,2019-09-11 16:00:00+00:00,2019-09-11 18:00:00+00:00,8.83914285714286,0.9660600575362834,1,14,ny_main,True,True,True,0.9660600575362834,2019,2019-09,1,1,1,4
243,m15_2c_1atr,demand,1493.6,1490.86,2019-09-11 17:15:00+00:00,2019-09-11 19:00:00+00:00,2019-09-11 20:00:00+00:00,3.590857142857203,0.9164544875875252,1,16,ny_main,True,True,True,0.9164544875875252,2019,2019-09,1,1,1,0
254,m15_2c_1atr,demand,1498.69,1496.96,2019-09-17 14:15:00+00:00,2019-09-17 16:00:00+00:00,2019-09-17 17:00:00+00:00,5.397714285714301,0.9444209189074744,5,13,ny_main,True,True,True,0.9444209189074744,2019,2019-09,5,5,5,2
262,m15_2c_1atr,supply,1506.01,1503.29,2019-09-20 10:15:00+00:00,2019-09-20 11:00:00+00:00,2019-09-20 15:00:00+00:00,6.626714285714115,-1.0452713044603026,5,11,london_ny_overlap,True,True,True,-1.0452713044603026,2019,2019-09,5,5,5,4
267,m15_2c_1atr,supply,1524.82,1522.86,2019-09-24 02:15:00+00:00,2019-09-24 10:00:00+00:00,2019-09-24 12:00:00+00:00,3.5090000000000146,0.9145055571387865,1,8,london_ny_overlap,True,True,True,0.9145055571387865,2019,2019-09,1,1,1,0
271,m15_2c_1atr,supply,1532.89,1530.47,2019-09-25 13:15:00+00:00,2019-09-25 14:00:00+00:00,2019-09-25 15:00:00+00:00,5.180285714285901,0.9420881363410754,1,11,london_ny_overlap,True,True,True,0.9420881363410754,2019,2019-09,1,1,1,0
273,m15_2c_1atr,demand,1505.05,1503.4,2019-09-26 05:15:00+00:00,2019-09-26 14:00:00+00:00,2019-09-26 17:00:00+00:00,6.8625714285713,-1.0437153919813489,3,13,ny_main,True,True,True,-1.0437153919813489,2019,2019-09,3,3,1,0
