ote,tp,mss_lb,entry,sl,n,is_pf,is_net,is_pos,is_yrs,oos_pf,oos_net,oos_pos,oos_yrs,full_net,full_pf,pass_
"(0.5, 0.618)",nl2.0,5,ce,fvg,2581,0.4396258363506777,-972.4206985134631,0,10,0.6201950393610107,-612.0976109622203,1,11,-1584.5183094756835,0.5265736891184567,False
"(0.5, 0.618)",nl2.0,8,edge,sweep,900,1.0231748668173484,4.961329034405293,6,10,1.0537473388079264,12.234272315942833,7,11,17.19560135034813,1.0389297982676342,False
"(0.5, 0.618)",nl2.0,8,edge,fvg,900,0.5006704717697454,-230.15656158040733,0,10,0.590668437581561,-195.86932040084912,3,11,-426.0258819812565,0.5465114827709664,False
"(0.5, 0.618)",nl2.0,8,ce,sweep,1346,0.977407714515496,-7.161949135628841,6,10,1.0040037135057887,1.3347239295580486,6,11,-5.827225206070785,0.9910402775606967,False
"(0.5, 0.618)",nl2.0,8,ce,fvg,1346,0.4348355047491996,-501.2916909579784,0,10,0.5731197440712413,-375.74542540680835,1,11,-877.0371163647867,0.5037127074275477,False
"(0.5, 0.618)",rr1.5,2,edge,sweep,3840,0.8773100259734957,-143.94811429957124,1,10,1.0533689512684579,62.33357600248618,6,11,-81.61453829708508,0.965140489606961,False
"(0.5, 0.618)",rr1.5,2,edge,fvg,3840,0.628240801178299,-538.7230693734932,0,10,0.7584913374821561,-344.2129362154301,1,11,-882.9360055889234,0.6928255355425554,False
"(0.5, 0.618)",rr1.5,2,ce,sweep,6671,0.8462130805466839,-337.5161328724534,1,10,0.9311631058155291,-141.86805577225334,2,11,-479.3841886447068,0.8873529548503841,False
"(0.5, 0.618)",rr1.5,2,ce,fvg,6671,0.3771054766240733,-2067.0913603788426,0,10,0.4700880414921901,-1577.3665636212813,0,11,-3644.457924000124,0.4210719925530079,False
"(0.5, 0.618)",rr1.5,3,edge,sweep,2789,0.9535611284761046,-38.040191711421684,4,10,1.1589857950256937,127.68646989341642,8,11,89.64627818199475,1.0552595455381923,False
"(0.5, 0.618)",rr1.5,3,edge,fvg,2789,0.6513728985815158,-361.02376321996337,0,10,0.7620366727587238,-244.8258414090112,1,11,-605.8496046289747,0.706524670589386,False
"(0.5, 0.618)",rr1.5,3,ce,sweep,4646,0.862949548240818,-207.32817699522053,1,10,0.9823219304858918,-24.513657769202283,6,11,-231.84183476442286,0.9200395891448909,False
"(0.5, 0.618)",rr1.5,3,ce,fvg,4646,0.37586979744863397,-1458.2589935870856,0,10,0.49719860413089023,-1012.2000114065775,0,11,-2470.459004993663,0.43202445400917355,False
"(0.5, 0.618)",rr1.5,5,edge,sweep,1654,0.9981243223322105,-0.8681987786935181,5,10,1.1720144534805628,80.88837289042132,8,11,80.02017411172781,1.0857560738577028,False
"(0.5, 0.618)",rr1.5,5,edge,fvg,1654,0.656096391561674,-208.2579247524571,0,10,0.8023257065375635,-119.0348717298692,2,11,-327.29279648232625,0.7290055927214,False
"(0.5, 0.618)",rr1.5,5,ce,sweep,2581,0.8751613297576681,-101.65740442313324,3,10,0.9842201934656465,-12.173015410460579,4,11,-113.83041983359384,0.9282162222206001,False
"(0.5, 0.618)",rr1.5,5,ce,fvg,2581,0.3712517816444922,-809.9619378032655,0,10,0.5060616696327727,-555.7647991864598,0,11,-1365.7267369897254,0.43410299136276687,False
"(0.5, 0.618)",rr1.5,8,edge,sweep,900,1.1064714628176577,25.7631166985609,6,10,1.0902597279473605,23.32550642899072,8,11,49.08862312755163,1.0980990522922027,False
"(0.5, 0.618)",rr1.5,8,edge,fvg,900,0.6686505183963481,-109.35981660042438,1,10,0.7223792217181951,-94.86824733382379,0,11,-204.22806393424815,0.6959817674049706,False
"(0.5, 0.618)",rr1.5,8,ce,sweep,1346,0.8319577084095683,-70.63901973682212,2,10,0.9638863861002355,-14.785984425739889,5,11,-85.425004162562,0.8970527808422822,False
"(0.5, 0.618)",rr1.5,8,ce,fvg,1346,0.3888339976947007,-392.9457744186831,0,10,0.43555802109041386,-359.6104626469026,0,11,-752.5562370655857,0.4120894885887966,False
"(0.5, 0.618)",rr2.0,2,edge,sweep,3840,0.9067116143546019,-120.01946841715915,2,10,1.020912001782149,27.742203231445597,5,11,-92.27726518571356,0.9646874634925066,False
"(0.5, 0.618)",rr2.0,2,edge,fvg,3840,0.6592330524387924,-559.9496433459076,0,10,0.8040657287339563,-315.4716153009623,1,11,-875.4212586468698,0.7309122686534792,False
"(0.5, 0.618)",rr2.0,2,ce,sweep,6671,0.8361397701669192,-401.0643260498781,1,10,0.9430215120860703,-130.57452165155573,4,11,-531.6388477014339,0.8878220642435182,False
"(0.5, 0.618)",rr2.0,2,ce,fvg,6671,0.4573187050991858,-1967.9951940634842,0,10,0.5793372031475107,-1358.3121652020363,0,11,-3326.3073592655205,0.5147908926002946,False
"(0.5, 0.618)",rr2.0,3,edge,sweep,2789,0.9829122442198641,-15.329173110217106,3,10,1.1081366577845033,99.37013771779877,9,11,84.04096460758163,1.0462776484284457,False
"(0.5, 0.618)",rr2.0,3,edge,fvg,2789,0.7114346042725868,-334.95802950007,0,10,0.8053871788408383,-226.0845204945333,1,11,-561.0425499946033,0.7584299958230152,False
"(0.5, 0.618)",rr2.0,3,ce,sweep,4646,0.8775247920029529,-203.91766130256332,2,10,0.9879285167596753,-18.637214552336083,5,11,-222.55487585489942,0.9306439603897976,False
