,short_M15_ny_sw3_atr1.5_prox0.5_wait5_RR4,long_M5_ny_sw7_atr2.0_prox1.0_wait3_RR4,long_M5_overlap_sw7_atr2.0_prox1.0_wait3_RR4,Martin_Luke,TraderzDen,total_$
2022-11,-314.2689285714323,-10.50000000000091,0.0,-834.9299999999976,1260.5900000000365,100.89107142860576
2022-12,126.32571428571737,405.4285714285079,0.0,824.3499999999976,1960.9100000000153,3317.014285714238
2023-01,-358.6246428571412,1063.0214285714019,1245.819999999976,708.9099999999899,-1017.8500000000367,1641.2767857141898
2023-02,415.78250000000025,-586.680000000003,-456.43714285714486,-153.13999999999942,-198.8600000000115,-979.3346428571585
2023-03,-246.63500000000295,156.3699999999999,0.0,191.64999999999873,569.9199999998891,671.3049999998848
2023-04,1185.0914285714298,5.978571428576288,-301.8614285714275,-110.43999999999596,1612.1599999997634,2390.928571428346
2023-05,-300.4049999999979,-403.7942857142825,-311.0942857142809,271.09000000000196,-525.3599999999942,-1269.5635714285536
2023-06,330.67999999999574,186.0299999999952,331.3371428571363,0.0,297.81999999999425,1145.8671428571215
2023-07,310.2550000000201,363.32571428571373,-157.97142857142808,-572.3799999999992,686.7399999999298,629.9692857142363
2023-08,-604.8789285714329,-414.5014285714233,-335.5828571428556,0.0,-761.6999999998834,-2116.663214285595
2023-09,488.58142857142866,-117.4028571428662,-318.4600000000064,0.0,-125.03999999980988,-72.32142857125382
2023-10,61.37999999999647,158.5642857142775,397.60857142856366,-566.0700000000033,-149.5200000000059,-98.0371428571716
2023-11,-154.00000000000364,-366.9099999999926,89.98285714285885,1065.799999999992,247.1500000000533,882.0228571429079
2023-12,-440.088928571422,882.4471428571378,613.3600000000015,1168.980000000006,21.40000000016971,2246.098214285893
2024-01,150.3100000000013,-467.1142857142695,-459.7442857142669,-203.96000000000367,-377.6399999999503,-1358.148571428489
2024-02,-155.08607142857272,-131.23857142857014,-149.89714285714308,-56.9200000000028,-556.0100000000184,-1049.1517857143072
2024-03,359.15000000000055,575.2571428571391,575.2571428571391,4267.309999999989,-429.30000000027303,5347.674285713994
2024-04,-463.8439285714376,404.2400000000134,590.871428571445,172.86000000001422,63.85999999997148,767.9875000000065
2024-05,808.2500000000064,648.4771428570975,835.8985714285263,-407.21000000000276,-131.4699999999957,1753.9457142856318
2024-06,-18.880000000001928,567.0600000000295,567.0600000000295,0.0,-157.8000000000011,957.440000000056
2024-07,176.84607142857567,344.2071428571453,-137.03999999999633,1879.529999999996,970.3200000004081,3233.863214286129
2024-08,14.00571428571493,-417.1628571428664,-149.80999999999767,894.5100000000111,1526.3899999999558,1867.9328571428177
2024-09,-220.1025000000036,2.7014285714003563,400.5728571428317,2357.4699999999975,1390.070000000418,3930.711785714644
2024-10,-147.3482142857174,-51.132857142854846,0.0,2304.4599999999837,-1164.9100000000753,941.0689285713361
2024-11,439.38000000000557,143.08857142857687,143.08857142857687,-219.13999999999578,384.6000000000158,891.0171428571794
2024-12,-267.55857142857803,132.12285714285008,48.94428571428034,-214.38000000000102,-454.40000000001055,-755.2714285714592
2025-01,208.33535714283607,67.69714285714963,-299.252857142852,1849.939999999965,133.54000000002816,1960.259642857127
2025-02,241.01928571427925,-573.521428571431,-423.6085714285664,1310.3699999999908,1102.3900000000021,1656.6492857142748
2025-03,-17.91714285713715,116.21857142857152,262.07000000000244,2127.0399999999954,480.0399999999836,2967.451428571416
2025-04,0.7500000000063665,1212.3085714285407,573.2485714285658,1533.2099999999891,226.69000000008054,3546.2071428571826
2025-05,227.15428571428492,-410.2085714285731,-149.17571428571318,-451.15000000000055,607.0199999999913,-176.3600000000106
2025-06,-141.25571428571584,-135.649999999986,317.4614285714415,-640.3999999999969,673.7999999999565,73.95571428569929
2025-07,743.8982142857021,-324.3142857142784,0.0,296.9699999999975,-802.9399999999914,-86.38607142857018
2025-08,-131.82000000000517,-27.524285714283906,131.43142857143084,1081.609999999987,773.4899999997269,1827.1871428568556
2025-09,130.37000000000444,-510.7942857142816,-146.2128571428566,3240.9400000000005,1220.2899999999818,3934.5928571428485
2025-10,-261.43285714285685,-146.9900000000007,0.0,2237.4800000000023,632.9299999999703,2461.987142857115
2025-11,109.96535714285164,780.8971428571458,409.80571428571875,-185.13999999999942,398.680000000013,1514.2082142857298
2025-12,-280.89500000000317,1355.371428571416,1355.371428571416,1237.949999999989,-433.7600000000175,3234.0378571428
2026-01,-280.1957142857227,432.14571428572344,432.14571428572344,1372.6599999999862,1081.3600000000324,3038.115714285743
2026-02,-64.40964285713926,782.2542857142735,555.05428571427,583.6699999999973,-152.28000000005704,1704.2889285713445
2026-03,1165.1853571428464,-0.8628571428507712,-0.8628571428507712,-248.98000000000047,-437.75999999999385,476.7196428571506
2026-04,-166.1842857142792,-394.91428571428423,-269.24999999999727,0.0,2012.8500000003778,1182.501428571817
2026-05,264.6310714285737,-411.20000000000437,-139.62000000000717,0.0,-440.1900000000096,-726.3789285714474
2026-06,-267.5321428571433,268.6157142857119,-141.46999999999935,0.0,-154.66000000000258,-295.04642857143335
