tf,direction,session,swing,atr_mult,retest_prox,wait,rr,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
M15,short,all,5,1.2,0.25,5,4.0,590,15.105326984203325,2.2562339899472437,0.32372881355932204,1.0386560656394064,-28.833463555181954,0.07825053641680009,4/8,"{2019: -0.8, 2020: -5.01, 2021: 5.3, 2022: -3.66, 2023: 11.02, 2024: 10.8, 2025: -4.72, 2026: 2.17}",88.12639775762403,False,False,False,False,False,short_M15_sw5_sessall_atr1.2_prox0.25_wait5_RR4.0
M15,short,london,5,1.2,0.25,5,2.0,205,5.726079770268143,0.8564608519623518,0.3804878048780488,1.0489427952932175,-15.303927360336196,0.05596346818673981,5/8,"{2019: -1.73, 2020: 4.26, 2021: -0.48, 2022: -10.35, 2023: 2.28, 2024: 4.41, 2025: 2.79, 2026: 4.54}",30.66224741819485,False,False,False,False,False,short_M15_sw5_sesslondon_atr1.2_prox0.25_wait5_RR2.0
M15,short,london,5,1.2,0.25,5,3.0,205,32.088696447162505,4.799568535562179,0.36585365853658536,1.2671733308845863,-10.298025148486518,0.4660668882001675,6/8,"{2019: -1.73, 2020: 10.06, 2021: 6.62, 2022: -5.19, 2023: 11.28, 2024: 0.12, 2025: 7.35, 2026: 3.56}",30.66224741819485,False,False,False,False,False,short_M15_sw5_sesslondon_atr1.2_prox0.25_wait5_RR3.0
M15,short,london,5,1.2,0.25,5,4.0,205,41.7627497824746,6.2465354472897525,0.36585365853658536,1.3477203564394067,-10.298025148486518,0.6065760529054247,6/8,"{2019: -1.73, 2020: 12.19, 2021: 3.6, 2022: -2.34, 2023: 17.23, 2024: 0.61, 2025: 5.64, 2026: 6.56}",30.66224741819485,False,True,False,False,False,short_M15_sw5_sesslondon_atr1.2_prox0.25_wait5_RR4.0
M15,short,ny,5,1.2,0.25,5,2.0,151,0.9823801112805342,0.14693649771120743,0.3708609271523179,1.0119920143565082,-16.599371750885986,0.008851931260793935,5/8,"{2019: 1.46, 2020: -6.75, 2021: -1.85, 2022: -3.93, 2023: 5.3, 2024: 1.42, 2025: 4.82, 2026: 0.52}",22.585362732426447,False,False,False,False,False,short_M15_sw5_sessny_atr1.2_prox0.25_wait5_RR2.0
M15,short,ny,5,1.2,0.25,5,3.0,151,9.187364349713288,1.3741718966439593,0.3509933774834437,1.1099118801024612,-16.01809770282837,0.08578870738198313,5/8,"{2019: 3.46, 2020: -7.42, 2021: -2.35, 2022: -0.73, 2023: 4.62, 2024: 3.71, 2025: 6.38, 2026: 1.54}",22.585362732426447,False,False,False,False,False,short_M15_sw5_sessny_atr1.2_prox0.25_wait5_RR3.0
M15,short,ny,5,1.2,0.25,5,4.0,151,13.690584610849685,2.0477272811590432,0.3509933774834437,1.1637855904046377,-13.226379980092727,0.15482144655159735,6/8,"{2019: 4.57, 2020: -6.42, 2021: -1.35, 2022: 1.11, 2023: 3.56, 2024: 4.02, 2025: 4.67, 2026: 3.54}",22.585362732426447,False,False,False,False,False,short_M15_sw5_sessny_atr1.2_prox0.25_wait5_RR4.0
M15,short,london_ny,5,1.2,0.25,5,2.0,265,10.931320075801926,1.6350187354718004,0.3849056603773585,1.073850571816559,-12.41041542968268,0.1317456893152211,6/8,"{2019: 0.36, 2020: 2.1, 2021: -2.02, 2022: -5.4, 2023: 5.84, 2024: 3.45, 2025: 3.06, 2026: 3.53}",39.63656373571529,False,False,False,False,False,short_M15_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR2.0
M15,short,london_ny,5,1.2,0.25,5,3.0,265,34.646245391973494,5.182106089366753,0.3660377358490566,1.226837057989388,-11.513617276269752,0.450084970259293,7/8,"{2019: 2.36, 2020: 6.22, 2021: 5.58, 2022: 2.8, 2023: 12.16, 2024: -1.22, 2025: 4.19, 2026: 2.55}",39.63656373571529,False,False,False,True,False,short_M15_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR3.0
M15,short,london_ny,5,1.2,0.25,5,4.0,265,47.27724896553605,7.071349780648111,0.3660377358490566,1.3095351875461376,-11.513617276269754,0.614172732250062,7/8,"{2019: 3.48, 2020: 8.35, 2021: 2.56, 2022: 7.49, 2023: 18.1, 2024: -0.73, 2025: 2.48, 2026: 5.55}",39.63656373571529,False,True,False,True,False,short_M15_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR4.0
M15,short,overlap,5,1.2,0.25,5,2.0,84,-3.7752014258240383,-0.5646641959616518,0.34523809523809523,0.9210201174331976,-16.077342521378668,-0.03512173701659935,4/8,"{2019: -0.63, 2020: -4.58, 2021: -0.31, 2022: -8.89, 2023: 1.74, 2024: 1.49, 2025: 5.51, 2026: 1.91}",12.56404284452862,False,False,False,False,False,short_M15_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR2.0
M15,short,overlap,5,1.2,0.25,5,3.0,84,6.410663144025792,0.9588553143259595,0.3333333333333333,1.1339442208894432,-15.909161475182955,0.06027063813650384,4/8,"{2019: -0.63, 2020: -3.58, 2021: -1.31, 2022: -8.72, 2023: 3.74, 2024: 3.49, 2025: 10.51, 2026: 2.92}",12.56404284452862,False,False,False,False,False,short_M15_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR3.0
M15,short,overlap,5,1.2,0.25,5,4.0,84,7.956933166911721,1.190133919287258,0.3333333333333333,1.1662519445752793,-13.909161475182954,0.08556474963718858,4/8,"{2019: -0.63, 2020: -2.58, 2021: -0.31, 2022: -8.72, 2023: 2.68, 2024: 3.8, 2025: 8.8, 2026: 4.92}",12.56404284452862,False,False,False,False,False,short_M15_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR4.0
