direction,trend_tf,pullback,pullback_tol,confirm,session,swing_lookback,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
short,H4,ema20,0.5,close,london,20,3.0,377,-7.817805319629453,-1.1740989099256045,0.3156498673740053,0.9758419803454887,-44.21742562678559,-0.026552855424816287,3/8,"{2019: -14.42, 2020: -0.55, 2021: 8.68, 2022: -7.21, 2023: 0.13, 2024: -17.64, 2025: -2.18, 2026: 25.38}",56.618868204680865,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sesslondon_sw20_TP3.0R
short,H4,ema20,0.5,close,london,20,4.0,377,20.142917944034938,3.0251172846976533,0.27055702917771884,1.0577866314576576,-40.50956602898009,0.07467661545753214,5/8,"{2019: -20.42, 2020: 11.45, 2021: 19.68, 2022: -17.42, 2023: 10.13, 2024: -18.64, 2025: 1.99, 2026: 33.38}",56.618868204680865,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sesslondon_sw20_TP4.0R
short,H4,ema20,0.5,close,ny,20,1.0,402,-109.39926198904303,-16.430108302841614,0.4577114427860697,0.5795387101052965,-111.71660946329608,-0.14706952154898364,0/8,"{2019: -6.85, 2020: -18.24, 2021: -7.12, 2022: -21.09, 2023: -29.59, 2024: -9.08, 2025: -14.98, 2026: -2.44}",60.374297025914565,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessny_sw20_TP1.0R
short,H4,ema20,0.5,close,ny,20,2.0,402,-81.7490668901926,-12.277468771193645,0.3333333333333333,0.743193852875342,-89.72718955614911,-0.1368310857826512,2/8,"{2019: -1.85, 2020: -11.24, 2021: 1.95, 2022: -9.09, 2023: -17.59, 2024: -33.5, 2025: -10.98, 2026: 0.56}",60.374297025914565,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessny_sw20_TP2.0R
short,H4,ema20,0.5,close,ny,20,3.0,402,-37.029191945840225,-5.56122247056657,0.291044776119403,0.8912503091125222,-68.59658080671014,-0.0810714237526919,2/8,"{2019: -3.05, 2020: -4.24, 2021: 18.12, 2022: -10.14, 2023: -14.74, 2024: -29.5, 2025: -5.03, 2026: 11.56}",60.374297025914565,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessny_sw20_TP3.0R
short,H4,ema20,0.5,close,ny,20,4.0,402,-2.780748835519404,-0.4176262590798869,0.25870646766169153,0.9922068016837435,-57.3926408605447,-0.007276651724297798,5/8,"{2019: 1.53, 2020: 0.76, 2021: 18.75, 2022: 0.85, 2023: -15.74, 2024: -24.5, 2025: -0.86, 2026: 16.43}",60.374297025914565,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessny_sw20_TP4.0R
short,H4,ema20,0.5,close,overlap,20,1.0,268,-76.66963870086843,-11.55337902267512,0.4626865671641791,0.5665166389741603,-77.0859349223273,-0.14987661542039338,0/8,"{2019: -7.87, 2020: -13.36, 2021: -3.87, 2022: -12.02, 2023: -25.59, 2024: -6.31, 2025: -3.54, 2026: -4.12}",40.3850289442131,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessoverlap_sw20_TP1.0R
short,H4,ema20,0.5,close,overlap,20,2.0,268,-67.85349086077714,-10.224870120814863,0.3208955223880597,0.6909844932788256,-67.63418072794644,-0.1511790341919518,1/8,"{2019: -5.87, 2020: -8.36, 2021: 3.37, 2022: -6.02, 2023: -15.59, 2024: -28.72, 2025: -1.54, 2026: -5.12}",40.3850289442131,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessoverlap_sw20_TP2.0R
short,H4,ema20,0.5,close,overlap,20,3.0,268,-34.017809529306355,-5.126157546491661,0.2835820895522388,0.8536837593457979,-50.976315367839575,-0.10055959340140343,2/8,"{2019: -7.87, 2020: -5.36, 2021: 17.54, 2022: -5.21, 2023: -10.73, 2024: -28.72, 2025: 6.46, 2026: -0.12}",40.3850289442131,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessoverlap_sw20_TP3.0R
short,H4,ema20,0.5,close,overlap,20,4.0,268,-19.64082611397472,-2.959684071272856,0.2462686567164179,0.9199725020813423,-52.74922598029911,-0.05610857820697208,3/8,"{2019: -5.29, 2020: 0.64, 2021: 13.17, 2022: -0.22, 2023: -13.73, 2024: -27.72, 2025: 13.63, 2026: -0.12}",40.3850289442131,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessoverlap_sw20_TP4.0R
