risk_pct,month,year,trades,start_equity,end_equity,pnl_usd,return_pct,max_dd_usd
0.01,2024-06,2024,35,5000.0,5495.09133981894,495.09133981893956,9.901826796378788,-234.16098743335806
0.01,2024-07,2024,34,5000.0,5482.142517835662,482.14251783566215,9.64285035671324,-182.07699643469095
0.01,2024-08,2024,33,5000.0,5624.6988048418925,624.6988048418925,12.493976096837844,-125.37923477372351
0.01,2024-09,2024,30,5000.0,5711.700529627908,711.7005296279076,14.234010592558155,-128.0972415099559
0.01,2024-10,2024,37,5000.0,5794.134201290492,794.1342012904915,15.882684025809834,-199.25971306549127
0.01,2024-11,2024,20,5000.0,5349.857920457243,349.8579204572434,6.997158409144877,-110.5392260098015
0.01,2024-12,2024,25,5000.0,5561.689952202788,561.6899522027879,11.233799044055747,-66.93224723282492
0.01,2025-01,2025,27,5000.0,5666.200587135149,666.2005871351494,13.32401174270299,-177.543781334306
0.01,2025-02,2025,28,5000.0,5648.516337452849,648.5163374528493,12.970326749056982,-187.78330207265572
0.01,2025-03,2025,39,5000.0,5996.688087360229,996.6880873602286,19.93376174720458,-196.35707832162007
0.01,2025-04,2025,34,5000.0,6164.984020940696,1164.9840209406957,23.299680418813917,-122.02946457175858
0.01,2025-05,2025,29,5000.0,5634.33369573525,634.3336957352503,12.686673914705015,-61.37677844247537
0.01,2025-06,2025,18,5000.0,5482.442941942608,482.44294194260783,9.64885883885216,-62.413672800535096
0.01,2025-07,2025,39,5000.0,5896.343609085611,896.3436090856112,17.926872181712227,-191.02344150150657
0.01,2025-08,2025,27,5000.0,5702.711417358133,702.7114173581331,14.054228347162656,-166.42811368823914
0.01,2025-09,2025,33,5000.0,5695.245230016904,695.2452300169043,13.904904600338085,-106.90906914882817
0.01,2025-10,2025,35,5000.0,5982.510134492326,982.510134492326,19.65020268984652,-158.01413678781955
0.01,2025-11,2025,18,5000.0,5282.064339134486,282.06433913448564,5.641286782689714,-63.495500951020404
0.01,2025-12,2025,24,5000.0,5477.576884625986,477.57688462598617,9.55153769251973,-166.60606376922533
0.01,2026-01,2026,22,5000.0,5495.653506371193,495.65350637119263,9.913070127423861,-113.55682268533383
0.01,2026-02,2026,25,5000.0,5666.878466327187,666.8784663271872,13.337569326543752,-169.7102349045399
0.01,2026-03,2026,33,5000.0,5771.235994898089,771.2359948980893,15.424719897961792,-118.31425207159373
0.01,2026-04,2026,34,5000.0,6174.921114368464,1174.9211143684643,23.49842228736929,-117.28377070072293
0.01,2026-05,2026,31,5000.0,5990.5706979674,990.5706979673996,19.811413959348002,-122.90150803825236
0.01,2026-06,2026,17,5000.0,5335.15946611461,335.15946611461004,6.703189322292191,-59.95894344309272
0.02,2019-09,2019,5,5000.0,5250.231355252516,250.23135525251564,5.004627105050319,-115.50611958779518
0.02,2019-10,2019,39,5000.0,6173.812530552693,1173.8125305526928,23.47625061105385,-454.00883422304014
0.02,2019-11,2019,21,5000.0,5124.4264990348465,124.42649903484653,2.4885299806969297,-462.83247441781714
0.02,2019-12,2019,31,5000.0,5970.40942510039,970.4094251003899,19.408188502007807,-215.56792931156724
0.02,2020-01,2020,24,5000.0,5223.715159928508,223.715159928508,4.474303198570162,-282.66189341446534
0.02,2020-02,2020,29,5000.0,5536.655302326042,536.6553023260421,10.733106046520845,-400.56758367438306
0.02,2020-03,2020,22,5000.0,4498.991198848761,-501.0088011512389,-10.020176023024774,-692.6036031917902
0.02,2020-04,2020,35,5000.0,6162.0785457893,1162.0785457892998,23.241570915786003,-274.9242898989951
0.02,2020-05,2020,33,5000.0,5847.442351069406,847.442351069406,16.948847021388126,-304.0181459619489
0.02,2020-06,2020,31,5000.0,5845.89378224852,845.8937822485204,16.917875644970405,-497.7255207738581
0.02,2020-07,2020,40,5000.0,6236.968819223734,1236.9688192237336,24.739376384474674,-474.2646126837526
0.02,2020-08,2020,21,5000.0,6069.62802809645,1069.6280280964502,21.392560561928995,-136.82071856283346
0.02,2020-09,2020,35,5000.0,6614.794122443133,1614.7941224431333,32.295882448862656,-169.14889805855
0.02,2020-10,2020,28,5000.0,6032.252045121668,1032.2520451216678,20.645040902433355,-298.6698975302161
0.02,2020-11,2020,34,5000.0,6700.0139742291385,1700.0139742291385,34.00027948458278,-221.99113220078561
0.02,2020-12,2020,27,5000.0,5402.451885270168,402.4518852701676,8.04903770540335,-397.12072707037805
0.02,2021-01,2021,27,5000.0,5536.78286171489,536.7828617148898,10.73565723429779,-406.50164352432057
0.02,2021-02,2021,30,5000.0,5994.415201382369,994.4152013823687,19.888304027647365,-562.1228611986644
0.02,2021-03,2021,32,5000.0,5258.370769703376,258.370769703376,5.167415394067532,-449.6571523853254
0.02,2021-04,2021,33,5000.0,4410.488857711153,-589.5111422888467,-11.790222845776931,-921.6241256172052
0.02,2021-05,2021,30,5000.0,6484.599069707621,1484.5990697076213,29.691981394152435,-260.0085050571179
