direction,pivot_lb,impulse_atr,fib,tol,wait_h,session,atr_pad,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,3,1.0,0.618,0.2,24,all,0.5,2.0,2056,143.28957846581463,21.35981608602354,0.4022373540856031,1.1143978720794105,-51.137452947307715,0.41769417237172135,6/8,"{2019: -10.87, 2020: 23.87, 2021: -33.1, 2022: 14.1, 2023: 16.99, 2024: 57.17, 2025: 62.94, 2026: 12.2}",306.48273477433406,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait24h_sessall_pad0.5_TP2.0R
long,3,1.0,0.618,0.2,24,all,0.5,3.0,2056,300.87060922433886,44.850022922322644,0.3633268482490272,1.2256881783453721,-59.613191873629596,0.7523506377145095,6/8,"{2019: -3.96, 2020: 52.52, 2021: -40.42, 2022: 26.21, 2023: 34.32, 2024: 86.0, 2025: 121.76, 2026: 24.45}",306.48273477433406,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait24h_sessall_pad0.5_TP3.0R
long,3,1.0,0.618,0.2,24,all,0.5,4.0,2056,315.24999229099075,46.993521291308646,0.3419260700389105,1.2288720748430366,-79.31235138847072,0.592512016963601,6/8,"{2019: -8.28, 2020: 68.67, 2021: -53.32, 2022: 18.9, 2023: 20.22, 2024: 116.98, 2025: 132.07, 2026: 20.02}",306.48273477433406,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait24h_sessall_pad0.5_TP4.0R
long,3,1.0,0.618,0.2,24,london_ny,0.5,2.0,1924,135.24290567004059,20.16123312086689,0.40384615384615385,1.1155368526105058,-49.85944378351791,0.4043613725095668,6/8,"{2019: -15.5, 2020: 19.32, 2021: -36.15, 2022: 17.48, 2023: 11.71, 2024: 57.76, 2025: 61.28, 2026: 19.34}",286.81883409978246,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait24h_sesslondon_ny_pad0.5_TP2.0R
long,3,1.0,0.618,0.2,24,london_ny,0.5,3.0,1924,257.5204724152936,38.38966821984392,0.3633056133056133,1.2063747524848747,-60.73243641077814,0.632111446347819,6/8,"{2019: -12.0, 2020: 38.55, 2021: -48.94, 2022: 39.04, 2023: 26.68, 2024: 75.46, 2025: 113.51, 2026: 25.23}",286.81883409978246,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait24h_sesslondon_ny_pad0.5_TP3.0R
long,3,1.0,0.618,0.2,24,london_ny,0.5,4.0,1924,282.5215622659011,42.11668664093287,0.3425155925155925,1.2193673641170697,-73.32632438924853,0.5743733507949872,6/8,"{2019: -14.06, 2020: 42.33, 2021: -56.06, 2022: 34.68, 2023: 12.21, 2024: 101.35, 2025: 143.18, 2026: 18.9}",286.81883409978246,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait24h_sesslondon_ny_pad0.5_TP4.0R
long,3,1.0,0.618,0.2,72,all,0.5,2.0,2334,143.07174309197953,21.32734391622608,0.40102827763496146,1.1012214973432226,-59.43803458957524,0.3588164390611707,6/8,"{2019: -19.83, 2020: 14.47, 2021: -20.97, 2022: 3.48, 2023: 7.13, 2024: 69.86, 2025: 78.4, 2026: 10.55}",347.9234936591905,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait72h_sessall_pad0.5_TP2.0R
long,3,1.0,0.618,0.2,72,all,0.5,3.0,2334,294.3377625456997,43.8761879437571,0.3628963153384747,1.1959312925078742,-68.10434182809537,0.6442494966694865,6/8,"{2019: -12.93, 2020: 42.12, 2021: -34.88, 2022: 15.05, 2023: 22.29, 2024: 103.1, 2025: 136.57, 2026: 23.03}",347.9234936591905,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait72h_sessall_pad0.5_TP3.0R
long,3,1.0,0.618,0.2,72,all,0.5,4.0,2334,303.2035404608925,45.197787098110304,0.34318766066838047,1.195788604644266,-83.14069151970784,0.5436301559675688,6/8,"{2019: -17.25, 2020: 59.16, 2021: -47.36, 2022: 7.65, 2023: 6.17, 2024: 128.92, 2025: 147.7, 2026: 18.22}",347.9234936591905,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait72h_sessall_pad0.5_TP4.0R
long,3,1.0,0.618,0.2,72,london_ny,0.5,2.0,2219,129.70928816821555,19.336313307858777,0.40063091482649843,1.0964146921303857,-63.93745147373129,0.30242546210655746,6/8,"{2019: -23.55, 2020: 3.74, 2021: -24.86, 2022: 8.09, 2023: 1.92, 2024: 82.32, 2025: 69.64, 2026: 12.4}",330.79573433857445,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait72h_sesslondon_ny_pad0.5_TP2.0R
long,3,1.0,0.618,0.2,72,london_ny,0.5,3.0,2219,243.32729990018282,36.27383184096598,0.36097341144659756,1.169917381671332,-72.52701041758976,0.5001423832598593,6/8,"{2019: -19.05, 2020: 18.5, 2021: -48.7, 2022: 27.55, 2023: 14.73, 2024: 105.03, 2025: 125.66, 2026: 19.6}",330.79573433857445,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait72h_sesslondon_ny_pad0.5_TP3.0R
long,3,1.0,0.618,0.2,72,london_ny,0.5,4.0,2219,261.440791966102,38.9740868699798,0.3420459666516449,1.177345196001222,-93.8715125032065,0.4151854575545324,5/8,"{2019: -20.1, 2020: 22.55, 2021: -55.39, 2022: 22.04, 2023: -1.76, 2024: 126.54, 2025: 153.29, 2026: 14.27}",330.79573433857445,True,False,False,False,False,long_lb3_imp1.0_fib0.618_tol0.2_wait72h_sesslondon_ny_pad0.5_TP4.0R
