zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped
5008,30min,m30_2c_1atr,demand,1792.71,1789.4,2022-08-09 16:00:00+00:00,2022-08-09 14:30:00+00:00,2022-08-09 15:00:00+00:00,2022-08-09 15:30:00+00:00,2,1.2953839784723755,0.9592216932312004,0.6858006042296131,2022-08-09 16:00:00+00:00,2022-08-09 16:05:00+00:00,1794.13,1789.0215714285716,5.108428571428476,0.0,True,204859,204860,0,1794.08,0.1024096385541186,1.2254257669398123,1.1569115467435147,0.469811795631851,1.0,tp1,2022,2022-08,2022-08-09,0.0587264744539847,0.9412735255460152,0.05-0.10R,3,2,1,0.7462235649546346,17,3,2,0.9214501510574032,1,1,0.19033232628395533,1,1,0.19033232628395533,True,True,True,True,True,5,5,19,5
5010,30min,m30_2c_1atr,demand,1796.49,1790.33,2022-08-09 19:00:00+00:00,2022-08-09 17:30:00+00:00,2022-08-09 18:00:00+00:00,2022-08-09 18:30:00+00:00,2,1.3616292348687005,1.6414160639512911,0.7386363636363464,2022-08-09 19:00:00+00:00,2022-08-09 19:05:00+00:00,1797.61,1790.058142857143,7.551857142857216,0.0,True,204895,204896,0,1797.61,0.7487179487178333,0.0913682537881001,1.0156442123980554,-0.0450220380984697,-1.0,stop,2022,2022-08,2022-08-09,0.0397253277339534,-1.039725327733953,0.03-0.05R,6,4,2,0.38636363636364895,18,4,2,0.38636363636364895,2,2,0.38636363636364895,2,2,0.38636363636364895,True,True,True,True,True,10,7,22,7
5013,30min,m30_2c_1atr,demand,1789.54,1787.66,2022-08-10 10:30:00+00:00,2022-08-10 09:00:00+00:00,2022-08-10 09:30:00+00:00,2022-08-10 10:00:00+00:00,2,1.157072368421061,1.082236842105208,0.1276595744680979,2022-08-10 11:10:00+00:00,2022-08-10 11:35:00+00:00,1790.61,1787.4505714285715,3.159428571428407,0.6666666666666666,True,205081,205082,4,1790.64,0.6993865030675968,1.4844456502080887,1.0191716404412992,-0.5697232772653436,1.0,tp1,2022,2022-08,2022-08-10,0.0949538795442263,0.9050461204557736,0.05-0.10R,7,4,2,0.8244680851064107,21,4,2,0.8244680851064107,6,2,1.0,12,4,1.0,True,True,True,True,True,19,7,45,7
5015,30min,m30_2c_1atr,supply,1795.16,1793.25,2022-08-10 14:00:00+00:00,2022-08-10 12:30:00+00:00,2022-08-10 13:00:00+00:00,2022-08-10 13:30:00+00:00,2,1.4710796915166957,0.8592544987146865,0.0890052356021285,2022-08-10 15:05:00+00:00,2022-08-10 15:20:00+00:00,1791.16,1795.3860000000002,4.226000000000113,1.0833333333333333,True,205126,205127,2,1791.06,0.7412280701754714,0.8920965451963752,3.715097018457027,-0.6034074775200867,-1.0,stop,2022,2022-08,2022-08-10,0.0709891150023644,-1.0709891150023645,0.05-0.10R,10,4,2,1.0,17,4,2,1.0,4,4,0.7068062827224352,4,4,0.7068062827224352,True,True,True,True,True,18,7,25,7
5016,30min,m30_2c_1atr,demand,1797.71,1791.58,2022-08-10 18:00:00+00:00,2022-08-10 16:30:00+00:00,2022-08-10 17:00:00+00:00,2022-08-10 17:30:00+00:00,2,1.3381424706943512,1.2897505259994269,0.1207177814029357,2022-08-10 18:15:00+00:00,2022-08-10 18:25:00+00:00,1800.04,1791.2011428571427,8.83885714285725,0.25,True,205163,205164,1,1800.13,0.8697916666666716,0.0056568399275872,1.1868050168088824,-1.1245797776053714,-1.0,stop,2022,2022-08,2022-08-10,0.0339410395655542,-1.0339410395655544,0.03-0.05R,8,4,2,0.8466557911908584,18,4,2,0.8466557911908584,2,2,0.184339314845039,2,2,0.184339314845039,True,True,True,True,True,12,7,22,7
5017,30min,m30_2c_1atr,supply,1798.56,1796.63,2022-08-10 21:30:00+00:00,2022-08-10 19:00:00+00:00,2022-08-10 19:30:00+00:00,2022-08-10 21:00:00+00:00,4,1.7360953461975157,0.3833711691259631,0.2590673575129753,2022-08-11 15:00:00+00:00,2022-08-11 15:35:00+00:00,1794.06,1798.9231428571427,4.863142857142748,17.5,True,205405,205406,6,1794.02,0.6408317580340498,0.6066036073086417,1.0651548087656797,-0.30844251219083,-1.0,stop,2022,2022-08,2022-08-11,0.061688502438166,-1.061688502438166,0.05-0.10R,5,3,2,1.0,6,4,2,1.0,2,2,1.0,2,2,1.0,True,True,True,True,True,9,7,10,7
5018,30min,m30_2c_1atr,supply,1791.75,1790.96,2022-08-11 04:30:00+00:00,2022-08-11 02:30:00+00:00,2022-08-11 03:00:00+00:00,2022-08-11 04:00:00+00:00,3,1.3410672853828636,0.3665893271461511,0.2278481012659138,2022-08-11 13:10:00+00:00,2022-08-11 13:45:00+00:00,1790.33,1791.9305714285715,1.600571428571584,8.666666666666666,True,205383,205384,6,1790.33,0.4833333333334438,0.3561228132808967,1.1121028204211532,2.4866119243125153,-1.0,stop,2022,2022-08,2022-08-11,0.1874330596215455,-1.1874330596215454,0.10-0.20R,4,3,2,1.0,8,4,2,1.0,1,1,1.0,2,1,1.0,True,True,True,True,True,6,5,12,7
5022,30min,m30_2c_1atr,supply,1799.24,1791.11,2022-08-11 18:00:00+00:00,2022-08-11 16:30:00+00:00,2022-08-11 17:00:00+00:00,2022-08-11 17:30:00+00:00,2,1.253485175731385,2.2348321225211443,0.3603936039360423,2022-08-11 18:00:00+00:00,2022-08-11 18:10:00+00:00,1789.74,1799.6062857142858,9.866285714285825,0.0,True,205436,205437,1,1789.74,0.930930930930924,0.4905594810610311,0.9071296189041994,-0.6831344839569029,-0.6831344839569029,time,2022,2022-08,2022-08-11,0.0304065794046098,-0.7135410633615128,0.03-0.05R,10,4,2,0.46986469864697233,36,4,2,1.0,7,4,0.3210332103320867,8,4,0.3210332103320867,True,True,True,True,True,24,7,52,7
5023,30min,m30_2c_1atr,demand,1788.47,1785.03,2022-08-12 00:00:00+00:00,2022-08-11 22:30:00+00:00,2022-08-11 23:00:00+00:00,2022-08-11 23:30:00+00:00,2,1.2850569145071475,1.1663841123759102,0.7616279069767004,2022-08-12 01:00:00+00:00,2022-08-12 01:05:00+00:00,1789.8,1784.8872857142858,4.9127142857141735,1.0,True,205507,205508,0,1789.8,1.0,2.5810578964204387,0.9974119631277394,2.0314635493908435,1.0,tp1,2022,2022-08,2022-08-12,0.0610660385588428,0.9389339614411571,0.05-0.10R,8,2,1,0.6918604651162998,25,4,2,1.0,9,4,1.0,15,4,1.0,True,True,True,True,True,26,7,55,7
5024,30min,m30_2c_1atr,demand,1788.45,1786.23,2022-08-12 06:30:00+00:00,2022-08-12 05:00:00+00:00,2022-08-12 05:30:00+00:00,2022-08-12 06:00:00+00:00,2,1.81995297279143,1.0440040309035918,0.2612612612613277,2022-08-12 10:40:00+00:00,2022-08-12 11:15:00+00:00,1789.54,1785.9647142857143,3.5752857142856556,4.166666666666667,True,205629,205630,6,1789.5,0.4471544715446718,0.0,1.0181004515123475,-1.636232868502019,-1.0,stop,2022,2022-08,2022-08-12,0.0839093778718997,-1.0839093778718998,0.05-0.10R,10,4,2,1.0,27,4,2,1.0,9,4,1.0,15,4,1.0,True,True,True,True,True,28,7,57,7
