feature,value,events,unique_days,net_r,avg_r,win_rate,profit_factor,avg_cost_r,median_risk_units
cost_bucket,0.03-0.05R,5160,1273,-197.93801044410912,-0.038360079543432,0.5007751937984496,0.9255031590886533,0.04010601878082117,7.485357142857083
stack_score,1,2014,953,-209.44632629861474,-0.10399519677190404,0.4925521350546177,0.8106851934844651,0.08946913045140632,4.049142857142897
stack_score,0,1709,1043,-217.8846342227204,-0.12749247175115294,0.48273844353423057,0.7742814936247215,0.09399850996890176,3.7332857142857847
same_dir_h1_overlap_96h,1,4623,1186,-225.0600440946676,-0.04868268312668562,0.5143845987454034,0.9065085811708308,0.078175819752687,4.5629999999998745
same_dir_intraday_overlap_7d,3,1999,856,-252.6214050509041,-0.12637388947018713,0.4762381190595298,0.7752259622887705,0.0809329090585568,4.624285714285861
same_dir_h1_overlap_96h,2,2857,832,-278.10343652495357,-0.09734106983722561,0.48932446622331116,0.8222831659896044,0.07822672876095044,4.648285714285521
stack_score_7d_30d_capped,3,2952,775,-280.5189451755115,-0.09502674294563397,0.4935636856368564,0.8258724782809672,0.07997797102771306,4.3054285714285925
same_dir_intraday_overlap_24h,1,3241,1312,-285.7869460424669,-0.08817863191683645,0.5004628201172477,0.8371842269428187,0.08900833895535305,3.993857142856996
spec_name,m30_2c_1atr,6117,1761,-287.8536990182537,-0.047057985780325925,0.5087461173777996,0.9093939234516459,0.06429824131527619,5.3724285714286
same_dir_intraday_overlap_24h,2,3652,1303,-289.67358621485573,-0.079319163804725,0.5016429353778752,0.8525595946556003,0.08352446091014905,4.356357142857064
same_dir_intraday_overlap_24h,0,2581,1331,-289.9920555679721,-0.11235647251761802,0.4901201084850833,0.797845752570986,0.09323142161160435,3.7585714285714857
has_intraday_stack,False,2581,1331,-289.9920555679721,-0.11235647251761802,0.4901201084850833,0.797845752570986,0.09323142161160435,3.7585714285714857
cost_bucket,>0.20R,1068,451,-311.3384107732563,-0.2915153658925621,0.48408239700374533,0.5507277051093354,0.2615528190760827,1.2518571428572614
same_dir_intraday_overlap_7d,4-5,3619,1192,-314.55751711247,-0.08691835233834484,0.4982039237358386,0.8396215113244203,0.08177201637198686,4.278999999999996
same_dir_intraday_overlap_24h,4-5,5682,1499,-338.1602944586225,-0.05951430736688182,0.5102076733544526,0.8871291950523307,0.07932353566154238,4.409571428571326
same_dir_intraday_overlap_24h,3,4136,1356,-348.5123841071378,-0.08426314896207393,0.4968568665377176,0.8439837877755645,0.0788180390527149,4.530428571428615
spec_name,m15_3c_1p5atr,5399,1700,-403.0388644128529,-0.07465065093773901,0.5017595851083534,0.8603081401099945,0.07923351520616628,4.430571428571966
same_dir_intraday_overlap_24h,6+,8378,1408,-414.83735630079724,-0.04951508191702044,0.5095488183337312,0.9048341713869201,0.06904723022497407,5.174428571428621
same_dir_h1_overlap_30d,0,4848,925,-460.6791134103517,-0.09502456959784482,0.4940181518151815,0.8261250312144705,0.08135861010328531,4.323714285714573
has_h1_stack_30d,False,4848,925,-460.6791134103517,-0.09502456959784482,0.4940181518151815,0.8261250312144705,0.08135861010328531,4.323714285714573
same_dir_h1_overlap_96h,3+,9136,1410,-613.0250821371842,-0.06709994331624171,0.5026269702276708,0.8733751918677363,0.07257316967421383,5.0135714285713675
cost_bucket,0.05-0.10R,10530,1529,-680.3670957803294,-0.06461225980819842,0.5038936372269706,0.8785049152246729,0.07228346722396359,4.232428571428613
cost_bucket,0.10-0.20R,6385,1219,-798.6117777869488,-0.1250762377113467,0.5044635865309318,0.7773125617827271,0.1339776903972944,2.347857142857265
same_dir_h1_overlap_96h,0,11054,1603,-850.7740599350469,-0.07696526686584466,0.504251854532296,0.856529670064735,0.08516320191995068,4.152214285714308
has_h1_stack,False,11054,1603,-850.7740599350469,-0.07696526686584466,0.504251854532296,0.856529670064735,0.08516320191995068,4.152214285714308
direction,demand,14361,1777,-907.1313319664739,-0.0631663068008129,0.5068588538402619,0.880401152748515,0.07738178140039277,4.656428571428478
same_dir_intraday_overlap_7d,6+,17819,1680,-969.2560711096166,-0.05439452669115083,0.5109153151130815,0.8960865130842419,0.07680428853634762,4.6571428571430715
stack_score,6+,16022,1696,-995.7728087320755,-0.0621503438229981,0.5054300337036575,0.8822311645263323,0.07363143438241818,4.863071428571402
direction,supply,13309,1771,-1059.8312907253783,-0.07963267643890437,0.5006386655646555,0.8519499630847952,0.08100107658444804,4.431142857142959
spec_name,m15_2c_1atr,13720,1805,-1110.4006382820523,-0.08093299112842947,0.503935860058309,0.849734919047796,0.08924186560559233,3.9649285714285725
has_h1_stack,True,16616,1720,-1116.1885627568054,-0.06717552736860889,0.5036109773712085,0.8733535274372299,0.07510405975748223,4.8187142857141225
same_dir_h1_overlap_30d,3+,18438,1678,-1303.9866243452643,-0.07072278036366549,0.5036880355786961,0.8671816382126322,0.07849014747223144,4.610571428571461
stack_score_7d_30d_capped,6+,19396,1717,-1357.2213506785656,-0.06997429112593141,0.5035058775005156,0.8684618584160678,0.07774144152832577,4.6385000000001355
has_h1_stack_30d,True,22822,1773,-1506.2835092815008,-0.06600138065382091,0.5059591622119008,0.8754509733532833,0.07864764478015653,4.598285714285794
has_intraday_stack,True,25089,1796,-1676.9705671238803,-0.06684086919063655,0.5052811989318028,0.8739960822402514,0.07767120219115585,4.619999999999891
has_intraday_stack_7d,True,26624,1803,-1842.7539411340065,-0.06921401521687223,0.5046574519230769,0.8698341332768872,0.07875662160581204,4.572785714285942
