direction,fvg_max_age_h,session,swing_lookback,require_m15_inside_h4,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,24,overlap,20,True,1.0,107,-51.38325808962771,-7.925540531571202,0.5887850467289719,0.4989299777907721,-54.15268290577976,-0.14635545473085512,2/8,"{2019: -2.02, 2020: -15.63, 2021: -2.46, 2022: -13.87, 2023: 4.41, 2024: -21.03, 2025: -1.07, 2026: 0.29}",16.504068998483838,False,False,False,False,False,long_age24h_sessoverlap_sw20_inside1_TP1.0R
long,24,overlap,20,True,2.0,107,-50.74422026292824,-7.826973013959154,0.411214953271028,0.5937985439977911,-50.55547421577865,-0.1548194955219372,1/8,"{2019: -6.12, 2020: -13.88, 2021: 2.54, 2022: -8.87, 2023: -4.59, 2024: -13.03, 2025: -4.07, 2026: -2.71}",16.504068998483838,False,False,False,False,False,long_age24h_sessoverlap_sw20_inside1_TP2.0R
long,24,overlap,20,True,3.0,107,-44.70176023740285,-6.894962012259607,0.32710280373831774,0.6628095010095386,-50.264707645171576,-0.13717302527515918,2/8,"{2019: -6.12, 2020: -15.41, 2021: 0.11, 2022: -5.87, 2023: -7.59, 2024: -9.03, 2025: -1.07, 2026: 0.29}",16.504068998483838,False,False,False,False,False,long_age24h_sessoverlap_sw20_inside1_TP3.0R
long,24,overlap,20,True,4.0,107,-27.134137286583115,-4.1852679812345865,0.29906542056074764,0.7956639925515661,-37.69708469435184,-0.11102365117007752,3/8,"{2019: -6.12, 2020: -10.41, 2021: 2.67, 2022: -4.87, 2023: -4.59, 2024: -9.03, 2025: 1.93, 2026: 3.29}",16.504068998483838,False,False,False,False,False,long_age24h_sessoverlap_sw20_inside1_TP4.0R
long,72,overlap,20,True,1.0,153,-55.1384587277541,-8.504756330027169,0.5686274509803921,0.5681852742816246,-58.4766726775786,-0.14543844477813633,2/8,"{2019: -2.02, 2020: -18.97, 2021: -9.13, 2022: -11.31, 2023: 4.38, 2024: -19.79, 2025: 2.58, 2026: -0.88}",23.599276231476892,False,False,False,False,False,long_age72h_sessoverlap_sw20_inside1_TP1.0R
long,72,overlap,20,True,2.0,153,-49.01018986190286,-7.559509860837737,0.40522875816993464,0.6822588891022512,-49.9301963262861,-0.15140156492551143,1/8,"{2019: -6.12, 2020: -16.23, 2021: -1.13, 2022: -8.9, 2023: -2.61, 2024: -9.77, 2025: 0.63, 2026: -4.88}",23.599276231476892,False,False,False,False,False,long_age72h_sessoverlap_sw20_inside1_TP2.0R
long,72,overlap,20,True,3.0,153,-41.91772018768175,-6.465541553613445,0.32679738562091504,0.7466701337007584,-56.08214189516625,-0.11528699395432172,1/8,"{2019: -6.12, 2020: -16.76, 2021: -4.55, 2022: -5.09, 2023: -6.61, 2024: -4.53, 2025: 2.63, 2026: -0.88}",23.599276231476892,False,False,False,False,False,long_age72h_sessoverlap_sw20_inside1_TP3.0R
long,72,overlap,20,True,4.0,153,-13.53180455393533,-2.0871947292723974,0.30718954248366015,0.9183293441459471,-37.514518944346506,-0.055636985039546685,3/8,"{2019: -6.12, 2020: -10.76, 2021: 0.01, 2022: -3.09, 2023: -1.61, 2024: -2.71, 2025: 7.63, 2026: 3.12}",23.599276231476892,False,False,False,False,False,long_age72h_sessoverlap_sw20_inside1_TP4.0R
short,12,all,20,True,1.0,90,2.090277218757109,0.3139713862170119,0.6333333333333333,1.0466972800852445,-10.85496537177241,0.028924218130946127,5/8,"{2019: 1.13, 2020: 0.84, 2021: 3.3, 2022: -6.03, 2023: 6.09, 2024: -1.71, 2025: -4.2, 2026: 2.67}",13.518505825908155,False,False,False,False,False,short_age12h_sessall_sw20_inside1_TP1.0R
short,12,all,20,True,2.0,90,43.59955522297989,6.5488982365428665,0.6555555555555556,1.954754160326225,-8.624425327509158,0.7593431432067683,6/8,"{2019: 3.13, 2020: 6.13, 2021: 4.75, 2022: 4.91, 2023: 24.09, 2024: -2.87, 2025: -1.2, 2026: 4.67}",13.518505825908155,False,True,False,False,False,short_age12h_sessall_sw20_inside1_TP2.0R
