,fvg_short_$,fvg_long_$,traderzden_$,martin_luke_$,total_$
2022-09,0.0,0.0,483.84000000015385,0.0,483.84000000015385
2022-10,103.96999999987474,-155.9400000000005,-548.6199999999926,0.0,-600.5900000001184
2022-11,386.3300000000181,1002.0400000001337,1260.5900000000365,-834.9299999999976,1814.0300000001907
2022-12,-315.60000000000764,-151.600000000004,1960.9100000000153,824.3499999999976,2318.0600000000013
2023-01,1017.0999999999558,577.9200000000183,-1017.8500000000367,708.9099999999899,1286.0799999999272
2023-02,-160.15999999999622,-11.87999999999829,-198.8600000000115,-153.13999999999942,-524.0400000000054
2023-03,0.0,-363.5199999999877,569.9199999998891,191.64999999999873,398.04999999990014
2023-04,0.0,324.8799999995508,1612.1599999997634,-110.43999999999596,1826.5999999993182
2023-05,-162.8999999999969,566.0999999999594,-525.3599999999942,271.09000000000196,148.92999999997028
2023-06,912.5600000002778,0.0,297.81999999999425,0.0,1210.380000000272
2023-07,0.0,0.0,686.7399999999298,-572.3799999999992,114.35999999993055
2023-08,1040.8000000000184,-245.73000000000138,-761.6999999998834,0.0,33.37000000013359
2023-09,1194.4200000000064,-127.01000000000568,-125.03999999980988,0.0,942.3700000001909
2023-10,1106.7399999998433,-322.84000000001015,-149.5200000000059,-566.0700000000033,68.30999999982396
2023-11,1436.4600000008068,213.37000000000353,247.1500000000533,1065.799999999992,2962.7800000008556
2023-12,0.0,0.0,21.40000000016971,1168.980000000006,1190.3800000001756
2024-01,-175.12000000000444,-67.31999999999243,-377.6399999999503,-203.96000000000367,-824.0399999999509
2024-02,-159.53000000000338,385.5600000001041,-556.0100000000184,-56.9200000000028,-386.8999999999205
2024-03,-159.4800000000041,1227.3999999999578,-429.30000000027303,4267.309999999989,4905.929999999669
2024-04,0.0,1078.0400000004192,63.85999999997148,172.86000000001422,1314.760000000405
2024-05,533.8399999999692,-153.3000000000011,-131.4699999999957,-407.21000000000276,-158.14000000003034
2024-06,438.7000000004282,688.0399999999909,-157.8000000000011,0.0,968.940000000418
2024-07,585.8999999999996,867.6200000006311,970.3200000004081,1879.529999999996,4303.370000001035
2024-08,-160.59999999999582,-179.129999999991,1526.3899999999558,894.5100000000111,2081.16999999998
2024-09,0.0,412.9900000000189,1390.070000000418,2357.4699999999975,4160.5300000004345
2024-10,0.0,241.13000000000648,-1164.9100000000753,2304.4599999999837,1380.6799999999148
2024-11,404.02999999997246,581.6799999999394,384.6000000000158,-219.13999999999578,1151.1699999999319
2024-12,0.0,887.679999999561,-454.40000000001055,-214.38000000000102,218.89999999954944
2025-01,0.0,321.13999999998305,133.54000000002816,1849.939999999965,2304.6199999999762
2025-02,-147.52000000000135,635.9799999999659,1102.3900000000021,1310.3699999999908,2901.2199999999575
2025-03,0.0,561.2999999999902,480.0399999999836,2127.0399999999954,3168.379999999969
2025-04,0.0,2037.41000000019,226.69000000008054,1533.2099999999891,3797.3100000002596
2025-05,0.0,0.0,607.0199999999913,-451.15000000000055,155.8699999999908
2025-06,-146.89999999999964,-179.33999999997468,673.7999999999565,-640.3999999999969,-292.8400000000147
2025-07,0.0,193.2299999998495,-802.9399999999914,296.9699999999975,-312.7400000001444
2025-08,0.0,960.9599999999919,773.4899999997269,1081.609999999987,2816.0599999997057
2025-09,-156.00000000000273,1024.2300000000032,1220.2899999999818,3240.9400000000005,5329.459999999983
2025-10,193.68000000015036,0.0,632.9299999999703,2237.4800000000023,3064.090000000123
2025-11,410.5999999999549,0.0,398.680000000013,-185.13999999999942,624.1399999999685
2025-12,0.0,231.38000000000193,-433.7600000000175,1237.949999999989,1035.5699999999733
2026-01,0.0,180.64000000010492,1081.3600000000324,1372.6599999999862,2634.6600000001235
2026-02,0.0,376.6400000000067,-152.28000000005704,583.6699999999973,808.029999999947
2026-03,0.0,434.25000000022555,-437.75999999999385,-248.98000000000047,-252.48999999976877
2026-04,-143.14999999999964,-408.4399999999887,2012.8500000003778,0.0,1461.2600000003895
2026-05,304.39999999999145,-131.16000000000258,-440.1900000000096,0.0,-266.95000000002074
2026-06,259.2600000000011,-125.70000000000073,-154.66000000000258,0.0,-21.100000000002183
