cfg,n,pf_close,pf_honest,net_close,net_honest,wr_honest,posY_h,oos_h
s_a4_all_sw10_in0_tp2.0,63,1.77,1.51,29.0,23.0,65.0,5/8,1.78
s_a4_all_sw10_in0_tp3.0,63,2.85,1.86,65.0,43.0,59.0,7/8,1.94
s_a4_all_sw10_in0_tp4.0,63,3.83,2.47,98.0,73.0,57.0,7/8,2.42
s_a4_all_sw10_in1_tp2.0,59,1.37,1.13,16.0,7.0,61.0,5/8,1.26
s_a4_all_sw10_in1_tp3.0,59,2.1,1.33,46.0,20.0,53.0,5/8,1.39
s_a4_all_sw10_in1_tp4.0,59,2.9,1.7,78.0,43.0,51.0,6/8,1.75
s_a4_all_sw20_in0_tp2.0,83,3.59,2.73,70.0,58.0,65.0,8/8,2.36
s_a4_all_sw20_in0_tp3.0,83,4.26,3.65,103.0,95.0,63.0,8/8,3.05
s_a4_all_sw20_in0_tp4.0,83,3.97,3.42,115.0,106.0,54.0,8/8,2.77
s_a4_all_sw20_in1_tp2.0,80,2.66,2.14,54.0,45.0,65.0,7/8,1.85
s_a4_all_sw20_in1_tp3.0,80,3.18,2.81,83.0,79.0,61.0,7/8,2.21
s_a4_all_sw20_in1_tp4.0,80,3.42,2.56,103.0,82.0,51.0,7/8,1.97
s_a4_all_sw30_in0_tp2.0,99,2.26,2.36,57.0,60.0,64.0,7/8,1.69
s_a4_all_sw30_in0_tp3.0,99,2.4,2.54,74.0,80.0,57.0,7/8,1.58
s_a4_all_sw30_in0_tp4.0,99,2.48,2.5,86.0,88.0,51.0,7/8,1.59
s_a4_all_sw30_in1_tp2.0,103,1.4,1.38,27.0,27.0,56.0,6/8,1.35
s_a4_all_sw30_in1_tp3.0,103,1.49,1.44,37.0,36.0,48.0,6/8,1.08
s_a4_all_sw30_in1_tp4.0,103,1.69,1.5,53.0,43.0,43.0,5/8,1.2
s_a4_london_sw10_in0_tp2.0,21,2.87,2.04,16.0,13.0,76.0,4/6,3.77
s_a4_london_sw10_in0_tp3.0,21,4.33,2.43,29.0,21.0,67.0,5/6,4.32
s_a4_london_sw10_in0_tp4.0,21,6.78,3.36,45.0,35.0,67.0,5/6,5.95
s_a4_london_sw10_in1_tp2.0,20,1.81,1.42,10.0,7.0,75.0,5/7,1.89
s_a4_london_sw10_in1_tp3.0,20,2.76,1.73,22.0,14.0,65.0,5/7,2.36
s_a4_london_sw10_in1_tp4.0,20,4.19,2.39,37.0,27.0,65.0,5/7,3.28
s_a4_london_sw20_in0_tp2.0,24,4.97,4.97,25.0,25.0,75.0,6/7,4.16
s_a4_london_sw20_in0_tp3.0,24,7.62,7.62,42.0,42.0,75.0,6/7,6.23
s_a4_london_sw20_in0_tp4.0,24,9.52,10.27,55.0,59.0,75.0,7/7,8.31
s_a4_london_sw20_in1_tp2.0,28,2.77,2.67,22.0,22.0,75.0,6/7,1.61
s_a4_london_sw20_in1_tp3.0,28,3.73,4.12,37.0,41.0,75.0,6/7,2.43
s_a4_london_sw20_in1_tp4.0,28,4.73,4.85,51.0,55.0,71.0,6/7,3.26
s_a4_london_sw30_in0_tp2.0,31,3.17,3.94,26.0,29.0,74.0,6/7,3.42
s_a4_london_sw30_in0_tp3.0,31,4.14,5.29,42.0,47.0,71.0,6/7,3.95
s_a4_london_sw30_in0_tp4.0,31,4.36,3.87,48.0,46.0,58.0,6/7,3.49
s_a4_london_sw30_in1_tp2.0,36,2.01,3.03,20.0,29.0,75.0,6/7,2.51
s_a4_london_sw30_in1_tp3.0,36,2.66,3.69,35.0,45.0,69.0,6/7,2.34
s_a4_london_sw30_in1_tp4.0,36,3.21,3.42,47.0,50.0,61.0,5/7,2.72
s_a4_ny_sw10_in0_tp2.0,39,1.55,1.36,15.0,12.0,69.0,4/8,1.8
s_a4_ny_sw10_in0_tp3.0,39,2.57,1.69,39.0,25.0,62.0,7/8,1.81
s_a4_ny_sw10_in0_tp4.0,39,4.07,2.35,67.0,47.0,62.0,8/8,2.48
s_a4_ny_sw10_in1_tp2.0,37,1.14,0.89,5.0,-4.0,59.0,5/8,1.07
s_a4_ny_sw10_in1_tp3.0,37,1.8,1.15,25.0,7.0,54.0,5/8,1.3
s_a4_ny_sw10_in1_tp4.0,37,2.67,1.54,49.0,24.0,54.0,6/8,1.78
s_a4_ny_sw20_in0_tp2.0,51,3.45,2.53,40.0,31.0,65.0,6/8,2.03
s_a4_ny_sw20_in0_tp3.0,51,4.36,3.53,62.0,54.0,63.0,7/8,2.56
s_a4_ny_sw20_in0_tp4.0,51,3.97,3.31,69.0,60.0,55.0,6/8,2.41
s_a4_ny_sw20_in1_tp2.0,49,2.58,1.91,32.0,23.0,63.0,5/8,1.69
s_a4_ny_sw20_in1_tp3.0,49,3.05,2.67,48.0,44.0,61.0,7/8,2.26
s_a4_ny_sw20_in1_tp4.0,49,3.17,2.35,58.0,43.0,51.0,6/8,2.02
s_a4_ny_sw30_in0_tp2.0,60,1.96,1.94,27.0,27.0,62.0,7/8,1.4
