rule,n_flags,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
orb_reversal + zone_fvg_overlap_100 + ob_fvg_bos_overlap_30d,3,667,-69.15845094029082,-10.28506685909659,48.7256371814093,0.8107615837767349,-74.61221688029406,-0.13784695441495445,1,8,32,82
orb_reversal + zone_fvg_overlap_100 + risk_ge_10,3,301,-53.83123716277114,-8.5412073734588,41.19601328903654,0.6925015109086987,-54.82433825476969,-0.1557922566026726,2,7,15,49
orb_reversal + zone_fvg_overlap_100 + risk_ge_15,3,158,-35.170213904467,-5.621847102234823,38.607594936708864,0.6297461909752604,-36.16331499646556,-0.15545718368972195,0,6,3,24
orb_reversal + zone_fvg_overlap_100 + dir_demand,3,1021,-152.6819201655175,-22.734232099655635,46.32713026444662,0.7390887863506062,-154.80260216675984,-0.14685949578008622,0,8,24,82
orb_reversal + zone_fvg_overlap_100 + dir_supply,3,902,-145.65842621871303,-21.661946325889634,46.34146341463415,0.7227695222564203,-151.11078856035678,-0.14335142137940338,0,8,27,82
orb_reversal + opposite_fvg_20 + ob_overlap_30d,3,1068,-165.710505107612,-24.644039898434563,46.16104868913858,0.7313207073105562,-172.26710232347438,-0.14305714536347888,0,8,22,82
orb_reversal + opposite_fvg_20 + ob_fvg_bos_overlap_30d,3,770,-110.62552134316645,-16.451942862618708,46.75324675324675,0.7481451452944922,-115.99961592094422,-0.14182756323806275,1,8,24,82
orb_reversal + opposite_fvg_20 + risk_ge_10,3,350,-61.48004782988731,-9.543386090040944,41.42857142857143,0.6968928679692799,-67.53306993948078,-0.14131426423518392,1,7,16,54
orb_reversal + opposite_fvg_20 + risk_ge_15,3,183,-32.20544093333666,-5.147937549628541,40.98360655737705,0.694210473319287,-33.19854202533521,-0.15506516959991593,0,6,3,24
orb_reversal + opposite_fvg_20 + dir_demand,3,1111,-162.45537976969592,-24.18949346142741,46.35463546354636,0.744424739617931,-165.53950824613386,-0.14612519825455234,0,8,27,82
orb_reversal + opposite_fvg_20 + dir_supply,3,1069,-193.54641493308463,-28.78372477781318,45.36950420954163,0.6941213188638182,-201.65487317721366,-0.1427375610829803,0,8,18,82
orb_reversal + ob_overlap_30d + ob_fvg_bos_overlap_30d,3,808,-120.53863019373524,-17.926194901572394,46.53465346534654,0.7398546167906123,-127.62346139981247,-0.140461594639046,1,8,22,82
orb_reversal + ob_overlap_30d + risk_ge_10,3,179,-35.65703112873262,-5.679777854238809,40.22346368715084,0.6618268193010314,-42.17324241219464,-0.13467728657724615,2,7,9,38
