month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2020-07,6,5.7748104512511045,68.04030701030536,100.0,inf,0.9624684085418508,0.9503463930201224,inf,0.0,0,0,0.0,6,1,1,1,1
2020-08,16,5.5249941764727515,74.74089344283972,68.75,2.074183640342677,0.34531213602954697,-2.1404904949339683,34.91764790347522,0.9542635402622095,6,2,-2.0722447774410795,5,1,1,1,1
2020-09,10,-0.37118364018196326,-5.894557590280961,50.0,0.9285745474394029,-0.03711836401819633,-3.130723796824469,-1.8828098461639706,1.3169521615197075,3,3,-3.130723796824469,3,0,1,0,1
2020-10,5,0.811114888670768,10.580704038821358,60.0,1.3907557669785093,0.1622229777341536,-1.1061482055762903,9.565358408106745,0.6770689613989637,3,1,-1.0439275404760917,2,1,1,1,1
2020-11,8,-0.31965671428122056,-4.6701845956486325,50.0,0.9231825118399418,-0.03995708928515257,-2.17196987374626,-2.1502068937970114,1.2482719849317527,4,2,-2.0849726212682027,2,0,1,0,1
2020-12,9,2.1374527681342386,30.027100906193485,66.66666666666666,1.6860606183400233,0.2374947520149154,-2.0732276764471043,14.48326261862904,0.9787375843835552,6,2,-2.0732276764471043,2,1,1,1,1
2021-01,7,1.4634136011474783,29.695100989950912,57.14285714285714,1.6109293935049611,0.20905908587821118,-2.3953890853928845,12.3967756098715,1.2615683278043777,3,3,-2.3953890853928845,4,1,1,1,1
2021-02,11,-0.136409666816236,-2.166244817592618,54.54545454545454,0.9736801009196601,-0.012400878801476,-3.0948305816805446,-0.69995586524685,1.254142903195546,4,3,-3.0948305816805446,3,0,1,0,1
2021-03,5,-3.1942739999577445,-44.873406864791,20.0,0.23282195326653574,-0.6388547999915489,-3.1942739999577445,-14.048076923076922,2.0730816831609324,5,2,-2.0842178361771135,1,0,1,0,1
2021-04,6,-0.5751194713759831,-7.243530583450959,50.0,0.7384774515076772,-0.09585324522933052,-2.0747016853878373,-3.491360051648524,1.1641101616988898,4,2,-2.0747016853878373,2,0,1,0,1
2021-05,5,-0.4447847591556371,-9.556331369505672,40.0,0.8110909858868749,-0.08895695183112742,-2.0946897981740653,-4.562170197150861,1.0532651664860773,2,2,-2.0946897981740653,1,0,1,0,1
2021-06,5,-3.178075913984819,-61.09432776752396,20.0,0.2339848758303883,-0.6356151827969638,-3.178075913984819,-19.223684210526315,1.8372002139957437,5,3,-3.125329439029011,1,0,1,0,1
2021-08,7,3.4448328250674813,57.19205406163171,71.42857142857143,3.5228150935133065,0.4921189750096402,-1.0321844012935062,55.4087564101532,0.4106890909094803,2,1,-1.0321844012935062,3,1,1,1,1
2021-09,7,4.712544685900204,63.75025727870553,85.71428571428571,5.596898066127953,0.6732206694143148,-1.025157534082469,62.18581550567537,0.38849147829580066,2,1,-1.025157534082469,5,1,1,1,1
2021-10,2,-0.07959800957403906,-1.1629269198767107,50.0,0.923285279833376,-0.03979900478701953,-1.0375845652718618,-1.1208020616343761,0.7358388319525369,2,1,-1.0375845652718618,1,0,1,0,1
2021-11,2,1.9394330462062144,354.1889600634099,100.0,inf,0.9697165231031072,0.9563146179609332,inf,0.0,0,0,0.0,2,1,1,1,1
2021-12,2,1.9176888075854794,700.4358369705964,100.0,inf,0.9588444037927397,0.951645214027495,inf,0.0,0,0,0.0,2,1,1,1,1
2022-01,1,-1.0401253439315188,-379.90578187098725,0.0,0.0,-1.0401253439315188,-1.0401253439315188,-365.25,1.0401253439315188,1,1,-1.0401253439315188,0,0,1,0,1
2022-02,10,1.2018104270658556,16.2578243883631,60.0,1.289308841777836,0.12018104270658556,-2.5516478327405423,6.371500087024836,1.1899890788196352,6,2,-2.0722441426966345,4,1,1,1,1
2022-03,17,2.375310882510586,28.91940999456639,58.82352941176471,1.3284646124348949,0.13972416955944625,-3.0707449710403383,9.41771793727591,1.4536843417798941,10,3,-3.0707449710403387,4,1,1,1,1
2022-04,7,-1.2780837395204299,-16.09724433999438,42.857142857142854,0.6918098625367535,-0.1825833913600614,-3.189472961210988,-5.046991943735598,1.8406895618458197,7,3,-3.111373633523398,2,0,1,0,1
2022-05,10,4.341148715256808,105.70697121650328,70.0,2.8323313483065236,0.4341148715256808,-2.0644543273435714,51.20334696506525,0.8166698877109607,4,2,-2.0644543273435714,5,1,1,1,1
2022-06,3,2.8608357881107858,36.031733503705674,100.0,inf,0.953611929370262,0.950189753320682,inf,0.0,0,0,0.0,3,1,1,1,1
2022-07,3,-0.39688513011635795,-10.354449555357125,33.33333333333333,0.7094292121057937,-0.1322950433721193,-1.365881040529303,-7.580784305597062,0.8444458847150693,3,2,-1.365881040529303,1,0,1,0,1
2022-08,6,-0.21569261402868722,-3.0300664336145386,50.0,0.9308416981155626,-0.0359487690047812,-2.082702415587958,-1.454872482470874,1.1339779229192768,3,2,-2.082702415587958,2,0,1,0,1
2022-09,10,0.5337588308556576,6.722600447242376,50.0,1.1244417962835054,0.053375883085565755,-2.1502437094607654,3.126436513993225,0.91537555926376,4,2,-2.0787513312131285,3,1,1,1,1
2022-10,4,1.8540798386685564,61.56387827942638,75.0,2.810076271190012,0.4635199596671391,-1.0243103388398185,60.1027598229229,0.5134388596282565,2,1,-1.0243103388398185,2,1,1,1,1
2022-11,6,0.048641069203392145,0.7724413272408254,66.66666666666666,1.0234134134482948,0.008106844867232024,-2.077487304907903,0.3718151853038969,1.2376286717150675,3,2,-2.077487304907903,3,1,1,1,1
2022-12,1,-1.0455798406876042,-381.89803681114745,0.0,0.0,-1.0455798406876042,-1.0455798406876042,-365.25,1.0455798406876042,1,1,-1.0455798406876042,0,0,1,0,1
2023-01,9,-1.6453273752082422,-22.2576231035115,44.44444444444444,0.6848303842311736,-0.1828141528009158,-3.205832028744435,-6.942853806420015,1.4363365129451322,5,3,-3.128380041630048,2,0,1,0,1
2023-02,6,-0.2217234458260351,-5.78460632771138,50.0,0.9284573229720388,-0.03695390763767251,-1.174709923841616,-4.924284889663797,0.7791236920523094,5,1,-1.0394292151708602,1,0,1,0,1
2023-03,8,1.6848503735933547,25.641316623123867,62.5,1.5416069188810235,0.21060629669916933,-1.098656881490558,23.33878488826835,0.6522503257282757,4,1,-1.0447560793674475,2,1,1,1,1
2023-04,9,3.449293298345731,54.776277270468626,66.66666666666666,2.4611246569173058,0.38325481092730346,-1.3942366094217868,39.287648093809025,0.673306457179955,5,2,-1.3215744149951492,3,1,1,1,1
2023-05,6,-2.2384174706401625,-40.879099057565966,33.33333333333333,0.4617859099843083,-0.3730695784400271,-3.125057531919372,-13.081070873104382,1.6459167686866076,3,3,-3.1250575319193716,2,0,1,0,1
2023-06,6,-2.2528096877259065,-28.37374960144439,33.33333333333333,0.45896165802608224,-0.3754682812876511,-4.163863284636691,-6.81428463468874,2.671002477815483,5,4,-4.163863284636691,1,0,1,0,1
2023-07,4,-1.0286876877599858,-31.310681496194565,50.0,0.5081041692888643,-0.25717192193999644,-2.091271410600915,-14.972079347270194,1.2992678853865864,3,2,-2.091271410600915,1,0,1,0,1
2023-08,2,-0.09241639242590194,-16.87754366678034,50.0,0.91193749257902,-0.04620819621295097,-1.049440847557387,-16.082415417756472,0.7449385485095349,2,1,-1.049440847557387,1,0,1,0,1
