run,net_r,max_drawdown_r
411,256.1066749737147,-14.005712035440965
412,256.10667497371566,-9.40743151586787
413,256.1066749737155,-10.38225190450855
414,256.10667497371537,-8.144563858646947
415,256.10667497371526,-9.14059025955791
416,256.10667497371537,-15.813220302809043
417,256.1066749737156,-9.172765284939913
418,256.1066749737151,-8.69000379321659
419,256.10667497371537,-11.742322231677576
420,256.106674973715,-7.9053598123854165
421,256.10667497371526,-7.424226148022058
422,256.1066749737149,-7.47336994684585
423,256.106674973715,-12.71833565122958
424,256.1066749737154,-12.406138356005517
425,256.10667497371526,-6.511355501919708
426,256.10667497371554,-9.221491236461333
427,256.1066749737151,-12.164767898187417
428,256.1066749737153,-10.538335851744097
429,256.10667497371526,-9.21821313500729
430,256.10667497371526,-9.551221105988134
431,256.1066749737154,-8.751153518562193
432,256.10667497371526,-8.62080840532741
433,256.10667497371514,-9.587079337947674
434,256.1066749737152,-8.440026622081817
435,256.10667497371514,-7.2585685622719325
436,256.10667497371537,-14.590297742848211
437,256.10667497371537,-9.18668747830009
438,256.1066749737154,-8.571906263418157
439,256.10667497371537,-8.196986361273417
440,256.10667497371554,-11.89399148569322
441,256.1066749737153,-7.242103512421849
442,256.1066749737153,-8.879900023120978
443,256.1066749737153,-8.46680323315536
444,256.10667497371526,-9.138308943491037
445,256.10667497371526,-11.080114621350184
446,256.10667497371537,-8.48033572838591
447,256.1066749737153,-8.692598938898726
448,256.10667497371537,-6.44151476664284
449,256.1066749737155,-8.921231349355338
450,256.10667497371514,-9.554781392681718
451,256.1066749737154,-7.5047584536827685
452,256.1066749737155,-12.395777150016514
453,256.1066749737151,-8.8608270193239
454,256.1066749737153,-8.733077984176177
455,256.1066749737153,-8.475801429192721
456,256.1066749737152,-8.454344453661207
457,256.1066749737151,-15.44486546030096
458,256.1066749737153,-7.770104698924939
459,256.10667497371537,-8.719518767935426
460,256.10667497371514,-8.581204506957427
461,256.10667497371526,-12.01238487834965
462,256.1066749737155,-6.874540168362472
463,256.1066749737154,-10.796405663171974
464,256.1066749737153,-8.456908008463188
465,256.10667497371503,-7.729669875483324
466,256.1066749737151,-8.638341477898464
467,256.1066749737156,-8.781725804542248
468,256.1066749737154,-11.275447895854143
469,256.10667497371526,-7.8849935000342555
470,256.1066749737153,-10.768007774261946
471,256.10667497371503,-9.03974556283157
472,256.10667497371537,-13.199787122798853
473,256.1066749737153,-8.480718273516956
474,256.1066749737151,-6.8939468233595935
475,256.10667497371537,-9.905168118116563
476,256.10667497371526,-9.337498833040328
477,256.10667497371475,-9.539038900054095
478,256.10667497371526,-11.349203378876226
479,256.10667497371526,-9.558365341567225
480,256.10667497371537,-9.618825128053572
481,256.1066749737155,-9.896085708246929
482,256.10667497371554,-10.74825293695909
483,256.10667497371526,-13.570027189645245
484,256.1066749737152,-10.841380378649575
485,256.1066749737156,-10.676371748336095
486,256.1066749737152,-12.692362798470612
487,256.1066749737155,-8.70649625649284
488,256.1066749737152,-8.440842497432683
489,256.10667497371537,-9.912646158902788
490,256.1066749737152,-8.415067622039402
491,256.1066749737152,-7.714670401819944
492,256.1066749737154,-6.993111438307551
493,256.1066749737151,-13.01107252521166
494,256.106674973715,-10.821526521065607
495,256.1066749737154,-7.557533307171781
496,256.1066749737152,-6.574058522308761
497,256.1066749737155,-7.6682843815138995
498,256.1066749737151,-10.798710228851682
499,256.1066749737153,-12.020751212821551
500,256.10667497371554,-8.644715026468688
501,256.1066749737151,-7.221501552393988
502,256.10667497371537,-8.53964731227521
503,256.1066749737153,-14.375687748180951
504,256.1066749737153,-9.99466430478303
505,256.1066749737152,-7.324273950881121
506,256.1066749737155,-18.303845212150406
507,256.10667497371526,-13.331947756788736
508,256.1066749737152,-7.589230026023301
509,256.1066749737152,-10.212621368210309
510,256.106674973715,-7.35975360161936
511,256.10667497371514,-7.379463821450372
512,256.1066749737154,-9.414154892177757
513,256.1066749737149,-8.090987113508902
514,256.1066749737153,-10.035670154239234
515,256.10667497371537,-9.69422523196053
516,256.106674973715,-8.837230125118744
517,256.1066749737151,-6.91058945820118
518,256.1066749737151,-11.030282421369378
519,256.10667497371526,-8.491838123482353
520,256.1066749737149,-10.968996174215977
521,256.1066749737155,-9.18377872480609
522,256.1066749737151,-9.500920241897518
