name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,window_months,start_month,end_month
6m_2025-03_2025-08,147,50.309928425291766,1,50.309928425291766,0.6870748299319728,2.0604482930641,0.34224441105640657,-5.305986034022624,1,0,5,1,50.309928425291766,50.309928425291766,-0.6922631015068405,22.035946084435466,6,2025-03,2025-08
6m_2025-04_2025-09,155,56.08445533775113,1,56.08445533775113,0.6967741935483871,2.1579265612610095,0.3618351957274267,-5.305986034022624,1,0,5,1,56.08445533775114,56.08445533775114,-0.6922631015068405,22.035946084435466,6,2025-04,2025-09
6m_2025-05_2025-10,154,47.22179108518105,1,47.22179108518105,0.6688311688311688,1.8989781870293296,0.3066350070466302,-5.305986034022624,1,0,5,1,47.22179108518106,47.22179108518106,-0.6922631015068405,16.04780671162286,6,2025-05,2025-10
6m_2025-06_2025-11,161,42.15946180707148,1,42.15946180707148,0.6459627329192547,1.7194659760929978,0.26186001122404645,-5.305986034022624,1,0,5,1,42.15946180707149,42.15946180707149,-0.6922631015068405,16.04780671162286,6,2025-06,2025-11
6m_2025-07_2025-12,166,41.23399560536335,1,41.23399560536335,0.6385542168674698,1.6690027701511112,0.24839756388773102,-5.305986034022627,1,0,5,1,41.23399560536334,41.23399560536334,-0.6922631015068405,16.04780671162286,6,2025-07,2025-12
6m_2025-08_2026-01,175,34.514911656915984,2,17.257455828457992,0.6114285714285714,1.495363657049477,0.1972280666109485,-5.251681746741472,2,0,5,1,9.328722763175511,25.18618889374048,-0.6922631015068405,13.173281831865388,6,2025-08,2026-01
6m_2025-09_2026-02,187,47.02323855266537,2,23.511619276332684,0.6363636363636364,1.6838513467989136,0.25146116873083085,-4.1263595103295465,2,0,6,0,21.144786557418055,25.878451995247318,1.357321692297695,13.173281831865388,6,2025-09,2026-02
6m_2025-10_2026-03,195,55.4624799048749,2,27.73123995243745,0.6512820512820513,1.8085985406957799,0.28442297387115334,-4.126359510329548,2,0,6,0,19.698875782782924,35.76360412209198,1.357321692297695,14.618817564673927,6,2025-10,2026-03
6m_2025-11_2026-04,196,62.561476865019486,2,31.280738432509743,0.6683673469387755,1.954669141455246,0.3191912084949974,-4.126359510329548,2,0,6,0,6.525593950917536,56.03588291410194,1.357321692297695,20.272278792009963,6,2025-11,2026-04
6m_2025-12_2026-05,206,74.35942728341522,2,37.17971364170761,0.6893203883495146,2.153045507730349,0.3609680936088117,-5.201331928203885,2,0,6,0,5.16827225861984,69.19115502479536,5.16827225861984,20.272278792009963,6,2025-12,2026-05
