n,sumR,deltaR,pf,wr,combo,depth
6839,3071.7,-5207.5,1.918,56.4,impulse_ge_q40 & leg_A,2
7450,3071.5,-5207.7,1.759,52.2,nyh_7_12 & near_key_level,2
9624,3058.1,-5221.1,1.61,53.7,impulse_ge_q30 & sent_align,2
8234,3053.6,-5225.5,1.758,55.8,impulse_ge_q50 & atrpct_0.4_1.0,2
9789,3010.9,-5268.3,1.565,52.1,retr_0.3_0.6 & sent_align,2
11569,2981.8,-5297.4,1.449,49.5,retr_0.4_0.7 & sent_counter,2
8696,2945.7,-5333.5,1.639,54.2,impulse_ge_q40 & retr_0.5_0.8,2
8371,2943.8,-5335.4,1.608,48.4,retr_0.5_0.8 & atrpct_0.3_0.9,2
10470,2943.1,-5336.1,1.513,52.3,retr_0.2_0.5 & near_key_level,2
8613,2942.2,-5336.9,1.618,50.9,dow_not_fri & leg_A,2
8887,2912.1,-5367.1,1.635,54.7,impulse_ge_q40 & atrpct_0.1_0.7,2
7184,2897.6,-5381.6,1.758,53.1,nyh_7_12 & dow_not_fri,2
9026,2894.7,-5384.5,1.534,46.9,nyh_0_7 & near_key_level,2
10417,2892.6,-5386.5,1.508,52.2,retr_0.3_0.6 & atrpct_0.2_0.8,2
9341,2874.7,-5404.5,1.542,49.7,atrpct_0.3_0.9 & atrpct_0.1_0.7,2
9949,2870.9,-5408.3,1.522,51.6,retr_0.3_0.6 & pd_bull,2
7955,2869.3,-5409.9,1.673,52.1,atrpct_0.4_1.0 & sent_align,2
10017,2868.9,-5410.3,1.531,52.9,retr_0.4_0.7 & retr_0.2_0.5,2
11599,2862.2,-5417.0,1.455,52.5,impulse_ge_q30 & leg_D,2
7104,2857.6,-5421.6,1.766,53.8,nyh_7_12 & retr_0.4_0.7,2
9193,2855.5,-5423.7,1.616,55.1,impulse_ge_q30 & retr_0.2_0.5,2
8163,2850.6,-5428.6,1.641,51.5,atrpct_0.4_1.0 & pd_bear,2
8370,2841.2,-5438.0,1.663,54.6,impulse_ge_q40 & sent_align,2
8052,2809.5,-5469.7,1.624,50.6,atrpct_0.3_0.9 & sent_counter,2
8394,2803.1,-5476.1,1.646,54.5,impulse_ge_q40 & pd_bull,2
7565,2782.5,-5496.7,1.677,52.3,nyh_0_7 & impulse_ge_q20,2
7477,2777.5,-5501.7,1.707,53.7,retr_0.3_0.6 & leg_A,2
12202,2766.2,-5513.0,1.399,50.4,retr_0.3_0.6 & leg_D,2
6389,2734.1,-5545.0,1.819,53.5,atrpct_0.4_1.0 & leg_A,2
8356,2724.0,-5555.2,1.636,54.7,impulse_ge_q40 & pd_bear,2
10118,2716.7,-5562.5,1.497,52.5,retr_0.2_0.5 & dow_not_fri,2
10291,2708.2,-5571.0,1.474,51.5,retr_0.3_0.6 & atrpct_0.1_0.7,2
5735,2704.0,-5575.2,1.989,57.1,impulse_ge_q50 & leg_A,2
8380,2685.9,-5593.3,1.619,54.6,impulse_ge_q40 & sent_counter,2
8674,2685.0,-5594.2,1.511,45.6,retr_0.5_0.8 & sent_counter,2
7219,2684.6,-5594.6,1.727,54.8,nyh_7_12 & impulse_ge_q30,2
9730,2672.8,-5606.4,1.5,51.7,retr_0.3_0.6 & pd_bear,2
8235,2666.4,-5612.8,1.542,46.6,retr_0.5_0.8 & atrpct_0.2_0.8,2
7426,2666.1,-5613.1,1.728,56.0,impulse_ge_q50 & atrpct_0.3_0.9,2
7464,2654.8,-5624.4,1.711,55.7,impulse_ge_q50 & atrpct_0.2_0.8,2
8040,2558.3,-5720.9,1.639,55.2,impulse_ge_q40 & retr_0.2_0.5,2
7078,2552.3,-5726.9,1.693,55.1,impulse_ge_q50 & retr_0.5_0.8,2
7081,2549.8,-5729.4,1.716,55.1,impulse_ge_q50 & sent_align,2
9466,2549.7,-5729.5,1.436,44.3,retr_0.5_0.8 & leg_D,2
9890,2532.8,-5746.4,1.459,51.2,retr_0.3_0.6 & sent_counter,2
9342,2521.4,-5757.8,1.473,49.3,atrpct_0.3_0.9 & leg_D,2
7424,2512.4,-5766.8,1.613,50.9,atrpct_0.3_0.9 & pd_bear,2
7434,2493.0,-5786.1,1.571,47.1,retr_0.5_0.8 & pd_bear,2
8090,2483.9,-5795.3,1.517,47.2,nyh_0_7 & dow_not_fri,2
7421,2458.8,-5820.3,1.648,55.0,impulse_ge_q50 & atrpct_0.1_0.7,2
9911,2455.4,-5823.8,1.465,53.4,impulse_ge_q40 & leg_D,2
8108,2450.3,-5828.9,1.517,48.7,nyh_0_7 & retr_0.4_0.7,2
7455,2427.5,-5851.7,1.576,50.0,atrpct_0.2_0.8 & pd_bear,2
6994,2426.5,-5852.7,1.685,55.2,impulse_ge_q50 & pd_bull,2
5122,2415.0,-5864.2,1.86,51.8,nyh_7_12 & retr_0.5_0.8,2
7948,2393.7,-5885.5,1.52,48.9,atrpct_0.2_0.8 & sent_counter,2
6320,2389.9,-5889.3,1.715,53.7,nyh_0_7 & impulse_ge_q30,2
7657,2379.8,-5899.4,1.556,50.6,atrpct_0.3_0.9 & pd_bull,2
6242,2377.1,-5902.1,1.669,49.8,nyh_0_7 & atrpct_0.4_1.0,2
9236,2372.0,-5907.2,1.438,47.8,atrpct_0.2_0.8 & leg_D,2
5739,2370.8,-5908.4,1.778,53.0,atrpct_0.3_0.9 & leg_A,2
6964,2367.0,-5912.2,1.673,55.0,impulse_ge_q50 & pd_bear,2
6402,2364.0,-5915.2,1.735,55.6,nyh_7_12 & impulse_ge_q40,2
7949,2362.5,-5916.7,1.486,45.3,retr_0.5_0.8 & pd_bull,2
6148,2342.9,-5936.3,1.74,54.7,nyh_7_12 & retr_0.3_0.6,2
8065,2340.7,-5938.5,1.474,44.9,retr_0.5_0.8 & atrpct_0.1_0.7,2
5322,2327.5,-5951.7,1.861,54.8,nyh_7_12 & atrpct_0.4_1.0,2
5917,2305.8,-5973.4,1.683,49.2,retr_0.5_0.8 & leg_A,2
7218,2298.0,-5981.2,1.555,49.1,atrpct_0.1_0.7 & pd_bear,2
7510,2297.3,-5981.9,1.585,53.6,retr_0.2_0.5 & atrpct_0.4_1.0,2
7197,2247.4,-6031.8,1.552,49.9,atrpct_0.1_0.7 & atrpct_0.4_1.0,2
6877,2243.6,-6035.6,1.641,55.2,impulse_ge_q50 & sent_counter,2
6871,2236.4,-6042.8,1.664,55.2,impulse_ge_q50 & retr_0.2_0.5,2
7222,2183.9,-6095.2,1.53,50.2,retr_0.3_0.6 & retr_0.5_0.8,2
6709,2170.5,-6108.7,1.546,46.9,retr_0.5_0.8 & sent_align,2
9632,2137.3,-6141.9,1.373,46.8,sent_counter & leg_D,2
5659,2122.1,-6157.1,1.688,52.0,atrpct_0.2_0.8 & leg_A,2
5056,2118.1,-6161.1,1.794,52.9,pd_bear & leg_A,2
7468,2108.2,-6171.0,1.492,48.9,sent_counter & pd_bear,2
5478,2102.4,-6176.8,1.731,52.6,sent_align & leg_A,2
