rule,k,n,net_r,r_per_year,wr,pf,avg_r,max_dd,mar,sharpe_trade,pos_years,years,rank_net
ema8_aligned+recent_fvg_20,2,2826,33.13533647614105,11.670859834050644,0.5580325548478414,1.0241859471215597,0.011725172143008156,-47.35661328329836,0.24644625164035328,0.18774339606098056,2,3,44
ema8_aligned+tight_zone,2,1438,29.872881173171656,10.707624973995042,0.5730180806675939,1.0433001925814618,0.02077390902167709,-40.36924652911394,0.26524213094422755,0.3324159612611691,2,3,45
ema8_aligned+dir_supply,2,1480,27.552557962368432,9.704505106803346,0.5635135135135135,1.038653368880437,0.01861659321781651,-37.255281349138464,0.2604866949160153,0.2981219959314351,2,3,46
ema8_aligned+dir_demand,2,1644,27.333919461481713,9.807184757668168,0.5590024330900243,1.034532366813701,0.01662647169189885,-45.81331363158075,0.21406844387059848,0.26651654683190246,3,3,47
cost_le_0p05+wide_zone,2,110,26.63143189760181,10.70091364202317,0.6181818181818182,1.6925546421395739,0.24210392634183464,-5.39045699824409,1.9851588920028358,4.138940763398767,3,3,48
ema8_aligned+impulse_ge_2,2,290,26.590660625719245,10.343172304093667,0.593103448275862,1.2087898279838012,0.09169193319213532,-10.961486346282406,0.9435921349846464,1.4900378595216737,3,3,49
cost_le_0p05+ema8_aligned,2,563,25.04487527273444,8.889835464884602,0.5381882770870338,1.0966334154270372,0.04448468076862245,-19.353262128617523,0.45934558245554213,0.7231417009983796,1,3,50
wide_zone+ob_overlap_30d,2,117,23.6961169580737,9.448697291415304,0.6153846153846154,1.539616304855819,0.20253091417157007,-5.945651324350278,1.5891778336745683,3.39469734383374,3,3,51
ema8_aligned+wide_zone,2,194,19.70867827154104,7.85872788065542,0.5721649484536082,1.2341739712419997,0.10159112511103628,-6.078307783680685,1.292913778034552,1.6529251429628842,3,3,52
ema8_aligned+body_ge_70,2,1214,19.54650978108303,6.884631338033343,0.556013179571664,1.0333710718035842,0.016100914152457194,-23.532412572865248,0.29255952047908057,0.2580149820836443,2,3,53
wide_zone+h1_stack_30d,2,196,19.16905948114203,7.643557833501229,0.5663265306122449,1.2256623006298337,0.0978013238833777,-6.121653288928071,1.248610052340885,1.5969736079300425,3,3,54
