tf,family,side,sl,tp,n,net,wr,pf,dd,mar,pos_years,trades_per_year,flag
M5,rsi,S,1.0,1.5,5868,-3756.163830039031,0.40354464894342196,0.36393385265893596,-3760.5561471023257,-0.14983569717470022,0/8,880.2640164625251,False
M5,rsi,S,1.0,2.0,5868,-3496.5858356899507,0.36537150647580097,0.45418895586460445,-3503.4553679500273,-0.14971676986868324,0/8,880.2640164625251,False
M5,rsi,S,1.0,3.0,5868,-3031.992004704549,0.3007839127471029,0.5741042290112557,-3037.8615369646323,-0.14972106938985275,0/8,880.2640164625251,False
M5,rsi,S,2.0,1.5,5868,-1748.7581919557451,0.4224608043626448,0.6199077134725873,-1755.0515959753902,-0.14947298833170722,0/8,880.2640164625251,False
M5,rsi,S,2.0,2.0,5868,-1659.0596658460256,0.3619631901840491,0.674217316456981,-1684.324595937721,-0.14776074032991082,1/8,880.2640164625251,False
M5,rsi,S,2.0,3.0,5868,-1465.1448375632613,0.2898773006134969,0.7420082938775114,-1514.4744960934572,-0.14512473473691018,1/8,880.2640164625251,False
M5,vwap_mss,L,1.0,1.5,4620,-6134.829642144028,0.2119047619047619,0.11380980136539862,-6133.339297603299,-0.15007368454979583,0/8,693.1719882585514,False
M5,vwap_mss,L,1.0,2.0,4620,-6032.329642144028,0.19675324675324676,0.15671952774545606,-6030.839297603299,-0.15007430418320855,0/8,693.1719882585514,False
M5,vwap_mss,L,1.0,3.0,4620,-5880.329642144028,0.1606060606060606,0.21450806210216586,-5878.839297603299,-0.15007526283293554,0/8,693.1719882585514,False
M5,vwap_mss,L,2.0,1.5,4620,-3144.8923883345738,0.30822510822510824,0.3274432866339314,-3147.2706796310317,-0.149923848585758,0/8,693.1719882585514,False
M5,vwap_mss,L,2.0,2.0,4620,-3044.4973131572033,0.26774891774891774,0.38605778114544637,-3043.9917187039878,-0.15006214745954494,0/8,693.1719882585514,False
M5,vwap_mss,L,2.0,3.0,4620,-2846.078066921109,0.21688311688311687,0.46363798099350106,-2846.1381543160005,-0.15003405932429098,0/8,693.1719882585514,False
M5,vwap_mss,S,1.0,1.5,4625,-6158.916286674037,0.2211891891891892,0.11727471140308411,-6159.87291232379,-0.15010298952037449,0/8,694.334156331616,False
M5,vwap_mss,S,1.0,2.0,4625,-6000.416286674037,0.2077837837837838,0.16451004902545746,-6001.87291232379,-0.15008986914073705,0/8,694.334156331616,False
M5,vwap_mss,S,1.0,3.0,4625,-5909.416286674037,0.16583783783783784,0.22117191834224093,-5911.8729123237845,-0.15006392043545655,0/8,694.334156331616,False
M5,vwap_mss,S,2.0,1.5,4625,-3254.1796471945936,0.3031351351351351,0.3190950023450916,-3255.407960019471,-0.15006965923120535,0/8,694.334156331616,False
M5,vwap_mss,S,2.0,2.0,4625,-3175.27668051321,0.2616216216216216,0.3733092210560034,-3174.004993338088,-0.15018645321952415,0/8,694.334156331616,False
M5,vwap_mss,S,2.0,3.0,4625,-3039.2255464793216,0.2077837837837838,0.44042073926492775,-3037.953859304197,-0.15018914692724714,0/8,694.334156331616,False
M5,vwap_mom,L,1.0,1.5,32893,-29340.3584430511,0.352141793086675,0.2474397832527879,-29342.638297763122,-0.14999561755274748,0/8,4934.189223182734,False
M5,vwap_mom,L,1.0,2.0,32893,-28070.3584430511,0.32392910345666254,0.32472617149166466,-28073.638297763064,-0.149989747357366,0/8,4934.189223182734,False
M5,vwap_mom,L,1.0,3.0,32893,-26409.25537022408,0.2659532423311951,0.42078651304253345,-26411.78213022133,-0.14999292188647834,0/8,4934.189223182734,False
M5,vwap_mom,L,2.0,1.5,32893,-14648.27255365529,0.3912078557747849,0.4908741529052994,-14649.53593365396,-0.14999433610039256,0/8,4934.189223182734,False
M5,vwap_mom,L,2.0,2.0,32893,-13480.996245994185,0.3426564922627915,0.5681021796284479,-13482.75962599283,-0.14998765365280559,0/8,4934.189223182734,False
M5,vwap_mom,L,2.0,3.0,32893,-11856.069113084071,0.2752865351290548,0.6552766636066929,-11858.83249308269,-0.14997231763321103,0/8,4934.189223182734,False
M5,vwap_mom,S,1.0,1.5,31070,-27158.736513833253,0.35214032829095593,0.25615336128433336,-27157.283876904377,-0.15001230170852478,0/8,4660.6329178906535,False
M5,vwap_mom,S,1.0,2.0,31070,-26033.925314791202,0.32442870936594786,0.3323417378598969,-26032.4726778624,-0.15001264839636025,0/8,4660.6329178906535,False
M5,vwap_mom,S,1.0,3.0,31070,-24467.20439010456,0.26485355648535563,0.4273109352392474,-24466.740933408426,-0.15000711944203804,0/8,4660.6329178906535,False
M5,vwap_mom,S,2.0,1.5,31070,-13702.918046545072,0.38921789507563564,0.4944490298593895,-13704.186318196998,-0.14999039567389139,0/8,4660.6329178906535,False
M5,vwap_mom,S,2.0,2.0,31070,-12986.66921785536,0.3368200836820084,0.5600858414542774,-12985.442899390955,-0.1500184441087174,0/8,4660.6329178906535,False
M5,vwap_mom,S,2.0,3.0,31070,-12184.002720627483,0.26472481493401995,0.6276324472685787,-12182.776402163077,-0.1500193774468468,0/8,4660.6329178906535,False
M15,fvg_break,L,1.0,1.5,14685,-6260.547317579064,0.4032005447735785,0.5056575615096115,-6259.3745232505635,-0.1500454356186311,0/8,2203.0044537998488,False
M15,fvg_break,L,1.0,2.0,14685,-5612.089602022463,0.3557371467483827,0.5911038839983512,-5616.36218804578,-0.14990320342453212,0/8,2203.0044537998488,False
M15,fvg_break,L,1.0,3.0,14685,-4679.006575120326,0.2881852230166837,0.6913377902418032,-4696.486821694071,-0.1494589654421677,0/8,2203.0044537998488,False
M15,fvg_break,L,2.0,1.5,14685,-2812.2803995980003,0.4164113040517535,0.7258360990576632,-2816.009745732021,-0.14981865395344704,0/8,2203.0044537998488,False
M15,fvg_break,L,2.0,2.0,14685,-2272.7413687953035,0.37058222676200203,0.7940000777883265,-2272.921579781437,-0.1500054331812621,0/8,2203.0044537998488,False
M15,fvg_break,L,2.0,3.0,14685,-1291.0771424342008,0.3239359891045284,0.8907583825781861,-1544.1147192541603,-0.12543364818813446,2/8,2203.0044537998488,False
M15,fvg_break,S,1.0,1.5,14070,-6437.131499116162,0.3934612651030561,0.4799433582019793,-6444.686126413738,-0.14985493716555234,0/8,2110.9334565619224,False
