direc,reg,sess,lb,hold,ext,sl,vol,n,tpd,pf30,wr30,netR30,pf65,wr65,pf_is,pf_oos,pf_delay,posY,ROBUST,GOOD
long,any,all,5,24,1.618,0.1,0,14864,2.91,1.144,33.0,1535.0,0.975,32.5,1.076,1.208,1.158,15/21,0,0
long,any,all,5,24,1.618,0.1,1.5,3110,0.61,1.106,31.3,245.0,0.94,31.0,1.083,1.127,1.185,13/21,0,0
long,any,all,5,24,2.618,0.02,0,14895,2.91,1.277,29.7,3203.0,1.075,29.3,1.222,1.328,1.305,20/21,0,0
long,any,all,5,24,2.618,0.02,1.5,3112,0.61,1.282,28.3,699.0,1.075,28.1,1.303,1.262,1.403,18/21,0,0
long,any,all,5,24,2.618,0.1,0,14864,2.91,1.237,31.8,2572.0,1.061,31.4,1.174,1.296,1.255,19/21,0,0
long,any,all,5,24,2.618,0.1,1.5,3110,0.61,1.216,30.1,506.0,1.039,29.7,1.203,1.227,1.301,18/21,0,0
long,any,all,5,24,3.618,0.02,0,14895,2.91,1.327,29.4,3798.0,1.119,29.0,1.267,1.383,1.356,20/21,0,0
long,any,all,5,24,3.618,0.02,1.5,3112,0.61,1.366,28.1,912.0,1.149,27.8,1.429,1.31,1.495,18/21,0,1
long,any,all,5,24,3.618,0.1,0,14864,2.91,1.288,31.5,3135.0,1.106,31.0,1.218,1.353,1.306,18/21,0,0
long,any,all,5,24,3.618,0.1,1.5,3110,0.61,1.291,29.7,686.0,1.107,29.4,1.315,1.271,1.389,18/21,0,0
long,any,all,8,4,1.618,0.02,0,7144,1.4,1.1,44.4,329.0,0.847,40.7,1.088,1.112,1.117,12/21,0,0
long,any,all,8,4,1.618,0.02,1.5,1243,0.24,1.232,43.0,149.0,0.966,39.7,1.128,1.339,1.383,17/21,0,0
long,any,all,8,4,1.618,0.1,0,7130,1.4,1.061,45.6,178.0,0.828,41.8,1.035,1.085,1.073,10/21,0,0
long,any,all,8,4,1.618,0.1,1.5,1241,0.24,1.21,44.6,120.0,0.961,41.2,1.107,1.314,1.358,14/21,0,0
long,any,all,8,4,2.618,0.02,0,7144,1.4,1.121,44.4,397.0,0.865,40.6,1.113,1.129,1.146,12/21,0,0
long,any,all,8,4,2.618,0.02,1.5,1243,0.24,1.267,43.0,172.0,0.996,39.7,1.199,1.338,1.439,17/21,0,0
long,any,all,8,4,2.618,0.1,0,7130,1.4,1.083,45.6,243.0,0.848,41.7,1.06,1.104,1.103,12/21,0,0
long,any,all,8,4,2.618,0.1,1.5,1241,0.24,1.251,44.6,144.0,0.997,41.2,1.187,1.315,1.42,16/21,0,0
long,any,all,8,4,3.618,0.02,0,7144,1.4,1.133,44.4,436.0,0.876,40.6,1.13,1.136,1.155,13/21,0,0
long,any,all,8,4,3.618,0.02,1.5,1243,0.24,1.289,43.0,186.0,1.015,39.7,1.23,1.35,1.456,17/21,0,0
long,any,all,8,4,3.618,0.1,0,7130,1.4,1.094,45.6,277.0,0.858,41.7,1.077,1.11,1.112,12/21,0,0
long,any,all,8,4,3.618,0.1,1.5,1241,0.24,1.274,44.6,157.0,1.017,41.2,1.222,1.327,1.441,16/21,0,0
long,any,all,8,8,1.618,0.02,0,8502,1.66,1.15,41.0,702.0,0.936,39.1,1.112,1.186,1.146,16/21,0,0
long,any,all,8,8,1.618,0.02,1.5,1586,0.31,1.22,40.1,211.0,1.001,38.3,1.12,1.323,1.296,16/21,0,0
long,any,all,8,8,1.618,0.1,0,8481,1.66,1.102,42.5,437.0,0.91,40.5,1.047,1.154,1.097,12/21,0,0
long,any,all,8,8,1.618,0.1,1.5,1583,0.31,1.182,42.1,160.0,0.985,40.2,1.069,1.299,1.255,17/21,0,0
long,any,all,8,8,2.618,0.02,0,8502,1.66,1.182,40.8,855.0,0.965,38.9,1.156,1.206,1.186,16/21,0,0
long,any,all,8,8,2.618,0.02,1.5,1586,0.31,1.219,39.7,211.0,1.001,37.8,1.147,1.292,1.308,16/21,0,0
long,any,all,8,8,2.618,0.1,0,8481,1.66,1.135,42.3,582.0,0.941,40.3,1.09,1.178,1.137,12/21,0,0
long,any,all,8,8,2.618,0.1,1.5,1583,0.31,1.19,41.7,168.0,0.993,39.7,1.103,1.28,1.276,16/21,0,0
long,any,all,8,8,3.618,0.02,0,8502,1.66,1.196,40.8,921.0,0.977,38.9,1.175,1.215,1.2,17/21,0,0
long,any,all,8,8,3.618,0.02,1.5,1586,0.31,1.229,39.6,222.0,1.011,37.7,1.171,1.289,1.322,15/21,0,0
long,any,all,8,8,3.618,0.1,0,8481,1.66,1.15,42.2,645.0,0.954,40.2,1.108,1.189,1.152,13/21,0,0
