swing_k,ote_fib,sweep_lb,min_conf,require_fvg,sl_buf_atr,tp_mode,session,h4_trend,wait_bars,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
2,0.5,3,3,0,0.25,bsl,kz,1,96,1952,291.0,0.96,-34.4,-0.06,0.603,-92.1,3/8,0.81,False
2,0.5,3,3,0,0.25,2R,all,0,48,5232,780.0,1.054,191.5,0.15,0.386,-195.3,5/8,2.0,False
2,0.5,3,3,0,0.25,2R,all,0,96,6476,965.0,1.079,343.0,0.25,0.391,-207.5,5/8,2.0,False
2,0.5,3,3,0,0.25,2R,all,1,48,2835,423.0,1.084,160.6,0.22,0.394,-110.4,6/8,2.0,False
2,0.5,3,3,0,0.25,2R,all,1,96,3540,528.0,1.117,274.3,0.44,0.401,-92.7,6/8,2.0,False
2,0.5,3,3,0,0.25,2R,kz,0,48,2888,431.0,1.126,241.6,0.28,0.403,-127.0,6/8,2.0,False
2,0.5,3,3,0,0.25,2R,kz,0,96,3524,525.0,1.146,338.7,0.37,0.406,-135.5,6/8,2.0,False
2,0.5,3,3,0,0.25,2R,kz,1,48,1597,238.0,1.181,187.3,0.34,0.417,-81.9,5/8,2.0,False
2,0.5,3,3,0,0.25,2R,kz,1,96,1952,291.0,1.192,242.0,0.45,0.418,-80.5,6/8,2.0,False
2,0.5,3,3,0,0.25,3R,all,0,48,5232,780.0,1.152,602.9,0.7,0.318,-128.2,6/8,3.0,False
2,0.5,3,3,0,0.25,3R,all,0,96,6476,965.0,1.181,877.0,0.87,0.324,-150.4,6/8,3.0,False
2,0.5,3,3,0,0.25,3R,all,1,48,2835,423.0,1.17,362.2,0.37,0.322,-144.2,6/8,3.0,False
2,0.5,3,3,0,0.25,3R,all,1,96,3540,528.0,1.208,546.4,0.67,0.329,-121.6,6/8,3.0,False
2,0.5,3,3,0,0.25,3R,kz,0,48,2888,431.0,1.223,480.2,0.56,0.33,-128.0,6/8,3.0,False
2,0.5,3,3,0,0.25,3R,kz,0,96,3524,525.0,1.235,612.1,0.73,0.333,-125.6,6/8,3.0,False
2,0.5,3,3,0,0.25,3R,kz,1,48,1597,238.0,1.266,312.9,0.37,0.34,-125.1,6/8,3.0,False
2,0.5,3,3,0,0.25,3R,kz,1,96,1952,291.0,1.258,369.7,0.43,0.339,-128.6,6/8,3.0,False
2,0.5,3,3,0,0.5,bsl,all,0,48,5279,787.0,0.801,-453.8,-0.14,0.602,-492.7,1/8,0.67,False
2,0.5,3,3,0,0.5,bsl,all,0,96,6533,973.0,0.825,-491.5,-0.13,0.604,-549.3,3/8,0.68,False
2,0.5,3,3,0,0.5,bsl,all,1,48,2866,427.0,0.847,-184.2,-0.12,0.613,-225.1,1/8,0.68,False
2,0.5,3,3,0,0.5,bsl,all,1,96,3577,533.0,0.88,-178.1,-0.12,0.618,-229.2,2/8,0.69,False
2,0.5,3,3,0,0.5,bsl,kz,0,48,2915,435.0,0.831,-210.6,-0.12,0.609,-253.4,1/8,0.68,False
2,0.5,3,3,0,0.5,bsl,kz,0,96,3558,530.0,0.849,-228.7,-0.12,0.609,-281.8,2/8,0.69,False
2,0.5,3,3,0,0.5,bsl,kz,1,48,1616,241.0,0.909,-59.5,-0.09,0.629,-94.4,2/8,0.68,False
2,0.5,3,3,0,0.5,bsl,kz,1,96,1975,295.0,0.939,-48.5,-0.08,0.632,-94.6,2/8,0.69,False
2,0.5,3,3,0,0.5,2R,all,0,48,5279,787.0,1.059,209.6,0.16,0.382,-197.5,5/8,2.0,False
2,0.5,3,3,0,0.5,2R,all,0,96,6533,973.0,1.082,357.3,0.26,0.387,-203.8,5/8,2.0,False
2,0.5,3,3,0,0.5,2R,all,1,48,2866,427.0,1.07,133.5,0.13,0.386,-150.6,5/8,2.0,False
2,0.5,3,3,0,0.5,2R,all,1,96,3577,533.0,1.113,265.7,0.32,0.395,-125.2,5/8,2.0,False
