risk_pct,month,trades,start_equity,end_equity,pnl_usd,return_pct,max_intramonth_dd_usd
0.01,2026-02,43,5000.0,5536.506072769203,536.5060727692025,10.730121455384056,-166.84344549753405
0.01,2026-03,40,5000.0,4865.916768616635,-134.08323138336527,-2.6816646276673017,-386.66674220965797
0.01,2026-04,37,5000.0,5536.077450123928,536.0774501239284,10.72154900247857,-157.98476295001274
0.01,2026-05,34,5000.0,4857.083141099329,-142.9168589006713,-2.858337178013426,-452.45938227752595
0.01,2026-06,24,5000.0,5075.3502576155915,75.35025761559154,1.5070051523118355,-162.1368811214952
0.02,2019-06,8,5000.0,4954.47764264684,-45.52235735316026,-0.9104471470632092,-325.37540858650846
0.02,2019-07,14,5000.0,5997.147278012582,997.1472780125823,19.942945560251644,-117.898678197349
0.02,2019-08,14,5000.0,5130.342703538241,130.34270353824104,2.606854070764819,-334.61514439703933
0.02,2019-09,13,5000.0,5219.179262441357,219.17926244135742,4.383585248827138,-205.4850927853886
0.02,2019-10,40,5000.0,5165.626554217589,165.62655421758882,3.3125310843517664,-595.6777274573342
0.02,2019-11,32,5000.0,6964.824574781045,1964.8245747810452,39.29649149562091,-159.69648419238183
0.02,2019-12,40,5000.0,4759.5821152799235,-240.41788472007647,-4.808357694401533,-772.9927237273123
0.02,2020-01,45,5000.0,4164.460517005082,-835.5394829949182,-16.71078965989836,-1178.6021115362537
0.02,2020-02,35,5000.0,4721.215711553247,-278.7842884467527,-5.575685768935057,-576.1212760451563
0.02,2020-03,39,5000.0,5329.537246546892,329.53724654689177,6.590744930937831,-428.0781669870521
0.02,2020-04,27,5000.0,4787.334602693516,-212.665397306484,-4.253307946129681,-456.55161415360453
0.02,2020-05,39,5000.0,6068.975151737432,1068.9751517374316,21.379503034748627,-472.4952240048915
0.02,2020-06,37,5000.0,6606.697139804955,1606.6971398049554,32.13394279609911,-249.20005475958442
0.02,2020-07,33,5000.0,5951.141486369832,951.1414863698319,19.02282972739664,-247.78352909453588
0.02,2020-08,39,5000.0,7591.521704769163,2591.521704769163,51.83043409538326,-258.04996693215344
0.02,2020-09,36,5000.0,5577.39238025621,577.3923802562103,11.547847605124218,-493.80562554591233
0.02,2020-10,44,5000.0,5047.028828045938,47.0288280459381,0.9405765609187711,-596.0668044635049
0.02,2020-11,32,5000.0,4757.085443007467,-242.9145569925331,-4.858291139850657,-576.1565786685915
0.02,2020-12,30,5000.0,4746.857127706054,-253.1428722939463,-5.062857445878921,-498.2011896640797
0.02,2021-01,27,5000.0,6097.900640120675,1097.9006401206752,21.958012802413496,-489.8931017516961
0.02,2021-02,36,5000.0,6221.173450151245,1221.1734501512447,24.4234690030249,-331.77951576664327
0.02,2021-03,41,5000.0,5166.578676081199,166.57867608119886,3.3315735216239872,-1026.1847889304836
0.02,2021-04,35,5000.0,5036.489396300924,36.489396300924454,0.7297879260184992,-357.71902417608544
0.02,2021-05,31,5000.0,4455.438115258055,-544.5618847419446,-10.891237694838896,-1055.6457981047206
0.02,2021-06,30,5000.0,5434.553919895738,434.55391989573764,8.691078397914742,-429.54078759818185
0.02,2021-07,34,5000.0,5036.971649473214,36.9716494732138,0.7394329894642837,-645.1373795392083
