month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2020-08,39,21.24481159316168,277.1309798000823,79.48717948717949,3.5627361023013777,0.5447387587990173,-2.1749711297265284,127.41823374682107,0.777213387630312,10,2,-2.055199805408637,13,1,1,1,1
2020-09,36,5.816364695430911,73.25611051745311,61.111111111111114,1.3913929289062954,0.16156568598419196,-4.238518682287294,17.283422820238894,1.5209019579004988,9,4,-4.159727196849578,4,1,1,1,1
2020-10,44,0.9010489592043367,10.9702710783128,54.54545454545454,1.0423213116566181,0.020478385436462198,-5.375547011323378,2.040772977188062,2.0612793031200773,20,3,-3.1526320212075682,3,1,1,1,1
2020-11,32,-2.169792216209954,-27.328158861058128,50.0,0.8725381121943037,-0.06780600675656107,-5.636986920439855,-4.848008208421691,3.0981128586790145,30,3,-3.147778925239754,3,0,1,0,1
2020-12,30,-2.3070194771415555,-27.181898839546875,50.0,0.8538576853262975,-0.07690064923805186,-5.042750608858519,-5.390292113950047,2.938869215096086,30,4,-4.23770541670606,3,0,1,0,1
2021-01,27,10.171912891920073,161.53439929451335,70.37037037037037,2.3199519441951004,0.37673751451555826,-3.8625693787635544,41.8204525160457,1.3693751375611585,9,3,-2.4380152129394626,9,1,1,1,1
2021-02,36,11.252125777164554,158.07072846574437,66.66666666666666,1.9903373785875729,0.3125590493656821,-3.3594227689078036,47.05294312127777,1.291573464362215,12,3,-3.154685546601786,8,1,1,1,1
2021-03,41,2.048905874674258,24.140737765315247,56.09756097560976,1.1055838627007415,0.049973314016445315,-8.947312724905856,2.698099251422919,3.847876415070848,26,4,-4.367548838744428,6,1,1,1,1
2021-04,35,0.690332364069383,8.404796532544738,54.285714285714285,1.0426185492302327,0.019723781830553802,-3.581196634276314,2.3469240566409653,1.7910855795807454,12,3,-3.207298076577389,6,1,1,1,1
2021-05,31,-5.449910984623046,-71.09214239762743,45.16129032258064,0.7017020565791401,-0.17580358014913053,-10.702194784382904,-6.642762893959667,5.834950649059597,25,4,-4.255383295171774,5,0,1,0,1
2021-06,30,4.440673470163354,54.06519949923884,60.0,1.372863193253778,0.14802244900544512,-3.8012264277544254,14.223093658532163,2.097526586032453,17,3,-3.168273453044618,10,1,1,1,1
2021-07,34,0.6928781113656469,8.435791005876752,55.88235294117647,1.0431126724199056,0.020378767981342555,-6.075355719422921,1.3885262683315012,3.7048683654462327,26,2,-2.1741054715797494,6,1,1,1,1
2021-08,33,6.974414923514389,84.9135016937877,63.63636363636363,1.5697736124162718,0.2113459067731633,-5.785328157504999,14.677387242698396,2.278260773015206,13,4,-4.270007227124989,8,1,1,1,1
2021-09,36,10.261566126028688,129.24265612179235,66.66666666666666,1.8633795416589494,0.2850435035007969,-4.2679307898050665,30.28227553045568,1.6733526504474716,12,3,-2.8368811185200635,9,1,1,1,1
2021-10,28,9.608849185852426,125.34400589759282,71.42857142857143,2.113972426303317,0.34317318520901524,-2.246051665582252,55.806376949525536,0.8433643518152352,6,2,-2.072136541315826,5,1,1,1,1
2021-11,33,1.1180674768782548,14.584790926063665,54.54545454545454,1.0724110574517118,0.033880832632674385,-7.032924897285348,2.0737873842067156,3.563975132285839,17,6,-6.489221030905329,6,1,1,1,1
2021-12,42,-0.5737507783697106,-6.985415726651226,54.761904761904766,0.9727575083577276,-0.013660732818326441,-4.78572476557431,-1.4596359107193544,2.5015213623435337,42,4,-4.334213868627548,3,0,1,0,1
