risk_pct,entry_timestamp,direction,entry_session,entry_price,stop_price,risk_units,r,risk_usd,lots_est,pnl_usd,equity_after,drawdown_usd,month,year
0.05,2023-12-19 13:40:00+00:00,demand,london_ny_overlap,2026.51,2024.4751428571428,2.034857142857163,0.8525695029486114,249.8831874445399,1.2280134176577941,213.0427849148061,5210.7065338056045,-66.43273783282893,2023-12,2023
0.05,2023-12-19 14:40:00+00:00,demand,london_ny_overlap,2029.5,2026.0404285714285,3.4595714285715076,0.9132840566544184,260.5353266902802,0.753085554293232,237.94276006148328,5448.649293867088,0.0,2023-12,2023
0.05,2023-12-19 16:30:00+00:00,demand,london_ny_overlap,2031.12,2028.2421428571429,2.8778571428570103,0.8957557706626906,272.4324646933544,0.9466504109474155,244.03295236493193,5692.68224623202,0.0,2023-12,2023
0.05,2023-12-20 14:15:00+00:00,supply,london_ny_overlap,2034.2,2037.3237142857145,3.123714285714186,0.903960486600198,284.634112311601,0.91120405477969,257.2979906682102,5949.98023690023,0.0,2023-12,2023
0.05,2023-12-20 16:50:00+00:00,demand,london_ny_overlap,2036.62,2032.032428571429,4.587571428571209,-1.065394077165014,297.4990118450115,0.6484891112369384,-316.95368518211967,5633.026551718111,-316.95368518211944,2023-12,2023
0.05,2023-12-20 17:05:00+00:00,supply,ny_main,2035.18,2040.246571428571,5.066571428571251,0.9407883606834694,281.65132758590556,0.555901227401288,264.9742907638669,5898.000842481977,-51.97939441825292,2023-12,2023
0.05,2023-12-20 17:45:00+00:00,supply,ny_main,2034.03,2038.7662857142857,4.736285714285714,0.9366592266393196,294.9000421240989,0.6226398910745891,276.22084539186125,6174.221687873838,0.0,2023-12,2023
0.05,2023-12-21 13:40:00+00:00,supply,london_ny_overlap,2034.72,2036.262714285714,1.5427142857140552,-1.194462450226902,308.7110843936919,2.001090462780041,-368.74379827709316,5805.477889596745,-368.74379827709345,2023-12,2023
0.05,2023-12-21 15:35:00+00:00,demand,london_ny_overlap,2040.26,2032.9187142857145,7.341285714285732,0.9591352234914088,290.2738944798372,0.3953992608065648,278.4119166556403,6083.889806252385,-90.33188162145325,2023-12,2023
0.05,2023-12-21 16:50:00+00:00,demand,london_ny_overlap,2045.92,2036.5012857142856,9.41871428571426,0.9681485189061292,304.1944903126193,0.3229681685684034,294.5054452555672,6378.395251507952,0.0,2023-12,2023
0.05,2023-12-22 15:15:00+00:00,demand,london_ny_overlap,2062.37,2057.532857142857,4.83714285714268,0.9379799173065542,318.9197625753976,0.659314334916676,299.1403325278973,6677.535584035849,0.0,2023-12,2023
0.05,2023-12-22 20:35:00+00:00,supply,ny_main,2056.48,2062.432,5.951999999999771,-1.0504032258064535,333.8767792017925,0.5609488897879794,-350.70524589543186,6326.830338140417,-350.7052458954322,2023-12,2023
0.05,2023-12-26 15:15:00+00:00,supply,london_ny_overlap,2062.05,2064.3038571428574,2.253857142857214,0.8668948469290781,316.34151690702083,1.4035562010198872,274.2348308764242,6601.065169016841,-76.47041501900821,2023-12,2023
0.05,2023-12-26 16:40:00+00:00,supply,london_ny_overlap,2056.65,2064.2022857142856,7.552285714285517,-1.0397230734309395,330.05325845084207,0.43702432738545655,-343.16398827240573,6257.901180744435,-419.63440329141395,2023-12,2023
0.05,2023-12-26 20:05:00+00:00,demand,ny_main,2058.09,2056.39,1.7000000000002728,0.8235294117647343,312.89505903722176,1.8405591708068914,257.67828391301504,6515.5794646574495,-161.9561193783993,2023-12,2023
