name,iter,net_r,max_dd_r
top10_stretch__fixed_fee_stretch__rolling_strict,169,266.7495582574918,-11.897002652203533
top10_stretch__fixed_fee_stretch__rolling_strict,170,266.7495582574918,-9.685154550891667
top10_stretch__fixed_fee_stretch__rolling_strict,171,266.7495582574918,-10.455008637021194
top10_stretch__fixed_fee_stretch__rolling_strict,172,266.7495582574918,-15.275130613151731
top10_stretch__fixed_fee_stretch__rolling_strict,173,266.7495582574918,-10.442759035443231
top10_stretch__fixed_fee_stretch__rolling_strict,174,266.7495582574918,-12.750772478366883
top10_stretch__fixed_fee_stretch__rolling_strict,175,266.7495582574918,-10.774345434378517
top10_stretch__fixed_fee_stretch__rolling_strict,176,266.7495582574918,-12.376999279017923
top10_stretch__fixed_fee_stretch__rolling_strict,177,266.7495582574918,-9.555670667445042
top10_stretch__fixed_fee_stretch__rolling_strict,178,266.7495582574918,-9.144629645496195
top10_stretch__fixed_fee_stretch__rolling_strict,179,266.7495582574918,-10.913729168660737
top10_stretch__fixed_fee_stretch__rolling_strict,180,266.74955825749174,-9.266048257325622
top10_stretch__fixed_fee_stretch__rolling_strict,181,266.7495582574918,-9.432706146819864
top10_stretch__fixed_fee_stretch__rolling_strict,182,266.7495582574918,-10.18959225788905
top10_stretch__fixed_fee_stretch__rolling_strict,183,266.7495582574918,-12.841619269652185
top10_stretch__fixed_fee_stretch__rolling_strict,184,266.7495582574918,-7.544051681188674
top10_stretch__fixed_fee_stretch__rolling_strict,185,266.7495582574918,-8.710694946223953
top10_stretch__fixed_fee_stretch__rolling_strict,186,266.7495582574918,-12.41849556867463
top10_stretch__fixed_fee_stretch__rolling_strict,187,266.7495582574918,-12.82326768504685
top10_stretch__fixed_fee_stretch__rolling_strict,188,266.7495582574918,-10.981221843661842
top10_stretch__fixed_fee_stretch__rolling_strict,189,266.7495582574918,-9.934424041645343
top10_stretch__fixed_fee_stretch__rolling_strict,190,266.7495582574918,-6.622008991139381
top10_stretch__fixed_fee_stretch__rolling_strict,191,266.7495582574918,-11.671556055727992
top10_stretch__fixed_fee_stretch__rolling_strict,192,266.7495582574918,-8.762972753588912
top10_stretch__fixed_fee_stretch__rolling_strict,193,266.7495582574918,-17.081643414805058
