risk_pct,entry_timestamp,year,month,direction,entry_price,stop_price,risk_units,net_r,equity_before,risk_usd,lot,pnl_usd,equity_after
0.04,2020-08-28 13:40:00+00:00,2020,2020-08,demand,1956.33,1945.2694285714283,11.060571428571391,0.9728766274023558,5581.499021633213,223.2599608653285,0.20185210348952584,217.20439776064273,5798.703419393855
0.04,2020-08-28 16:20:00+00:00,2020,2020-08,demand,1957.59,1949.5897142857143,8.00028571428561,0.9625013392378838,5798.703419393855,231.94813677575422,0.289924816511964,223.2503922803953,6021.953811674251
0.04,2020-08-31 15:45:00+00:00,2020,2020-08,demand,1964.95,1956.9722857142856,7.977714285714228,0.9623952438937036,6021.953811674251,240.87815246697002,0.3019388058285227,231.81998829211432,6253.773799966365
0.04,2020-09-03 15:25:00+00:00,2020,2020-09,demand,1934.7,1926.795,7.9050000000002,0.9620493358633786,5000.0,200.0,0.2530044275774762,192.40986717267572,5192.409867172676
0.04,2020-10-02 19:30:00+00:00,2020,2020-10,supply,1902.21,1910.2252857142855,8.01528571428571,0.9625715151407132,5000.0,200.0,0.24952323239524493,192.51430302814262,5192.514303028142
0.04,2020-10-26 14:30:00+00:00,2020,2020-10,demand,1905.16,1898.2674285714288,6.8925714285715,-1.0435251202122364,5192.514303028142,207.7005721211257,0.30133974565740856,-216.740764490848,4975.773538537294
0.04,2020-10-30 17:05:00+00:00,2020,2020-10,demand,1884.25,1877.4205714285715,6.82942857142848,-1.0439275404760917,4975.773538537294,199.03094154149179,0.29143132468528243,-207.7738812820503,4767.9996572552445
0.04,2020-11-03 17:05:00+00:00,2020,2020-11,demand,1906.75,1899.4894285714288,7.2605714285714384,0.9586809381394618,5000.0,200.0,0.2754604124035885,191.73618762789235,5191.736187627892
0.04,2020-11-06 15:40:00+00:00,2020,2020-11,demand,1958.21,1947.4584285714288,10.751571428571424,-1.027902897915255,5191.736187627892,207.66944750511567,0.19315264646175448,-213.4640268989683,4978.272160728924
0.04,2020-11-19 16:15:00+00:00,2020,2020-11,supply,1857.7,1865.5287142857144,7.828714285714341,-1.0383204686045873,4978.272160728924,199.13088642915696,0.2543596293870712,-206.7616753107691,4771.5104854181545
0.04,2020-11-24 16:00:00+00:00,2020,2020-11,supply,1805.83,1812.2605714285712,6.430571428571511,-1.0466521526636152,4771.5104854181545,190.8604194167262,0.2968016474690243,-199.76446884079692,4571.746016577357
0.04,2020-12-03 16:35:00+00:00,2020,2020-12,supply,1837.21,1844.5128571428572,7.302857142857192,0.9589201877934276,5000.0,200.0,0.27386541471048326,191.78403755868553,5191.784037558686
0.04,2020-12-11 16:35:00+00:00,2020,2020-12,demand,1838.56,1831.219857142857,7.340142857142837,0.9591288608629648,5191.784037558686,207.67136150234742,0.28292550369133257,199.18359639160744,5390.967633950293
0.04,2020-12-23 17:35:00+00:00,2020,2020-12,demand,1874.62,1866.603285714286,8.016714285713988,0.4378352370939666,5390.967633950293,215.63870535801172,0.268986392270816,94.41422368706107,5485.381857637354
0.04,2021-01-18 13:25:00+00:00,2021,2021-01,supply,1833.96,1841.0702857142855,7.110285714285737,-1.042192397331833,5000.0,200.0,0.2812826488788868,-208.4384794663666,4791.5615205336335
0.04,2021-01-21 16:40:00+00:00,2021,2021-01,supply,1864.88,1871.2652857142857,6.385285714285601,-1.046983018994564,4791.5615205336335,191.66246082134535,0.30016270124380634,-200.66734185865948,4590.894178674974
0.04,2021-02-09 17:05:00+00:00,2021,2021-02,demand,1839.76,1831.7324285714287,8.027571428571264,0.9626287971811428,5000.0,200.0,0.24914135212571473,192.52575943622855,5192.525759436228
0.04,2021-02-18 16:05:00+00:00,2021,2021-02,supply,1782.4,1790.148428571429,7.748428571428576,0.9612824720219768,5192.525759436228,207.70103037744914,0.2680556818234376,199.659359922746,5392.185119358975
0.04,2021-02-18 18:30:00+00:00,2021,2021-02,supply,1777.08,1783.4109999999998,6.330999999999904,0.9526141209919436,5392.185119358975,215.68740477435898,0.34068457553998144,205.46686750815954,5597.651986867134
0.04,2021-02-18 20:30:00+00:00,2021,2021-02,demand,1776.16,1768.19,7.970000000000027,-1.0376411543287327,5597.651986867134,223.90607947468536,0.28093610975493677,-232.33416276733348,5365.3178240998
0.04,2021-02-24 20:15:00+00:00,2021,2021-02,demand,1799.08,1790.2759999999998,8.804000000000087,-1.0340754202635165,5365.3178240998,214.612712963992,0.24376727960471364,-221.92573135213348,5143.3920927476665
0.04,2021-03-11 18:05:00+00:00,2021,2021-03,supply,1723.21,1733.0117142857143,9.801714285714295,0.9693931090771294,5000.0,200.0,0.20404593948580405,193.87862181542587,5193.8786218154255
0.04,2021-04-01 16:05:00+00:00,2021,2021-04,demand,1724.48,1715.127857142857,9.352142857143008,0.3186435499885354,5000.0,200.0,0.2138547315359318,63.72870999770708,5063.7287099977075
0.04,2021-04-16 17:40:00+00:00,2021,2021-04,supply,1776.97,1784.2262857142855,7.256285714285696,-1.0413434657636729,5063.7287099977075,202.5491483999083,0.27913612607775756,-210.92323218224098,4852.8054778154665
0.04,2021-06-17 19:05:00+00:00,2021,2021-06,supply,1773.86,1783.4208571428571,9.56085714285723,-1.0313779398141227,5000.0,200.0,0.20918626542748517,-206.27558796282455,4793.724412037175
0.04,2021-06-22 16:25:00+00:00,2021,2021-06,supply,1777.68,1783.7892857142856,6.109285714285534,-1.049105576990531,4793.724412037175,191.748976481487,0.3138648042489065,-201.1649206089542,4592.559491428221
0.04,2021-06-28 18:05:00+00:00,2021,2021-06,demand,1781.2,1774.5104285714283,6.689571428571526,-1.0448459222243571,4592.559491428221,183.70237965712883,0.27461008768443057,-191.94068228766176,4400.618809140559
0.04,2021-08-09 17:35:00+00:00,2021,2021-08,supply,1738.33,1744.8522857142857,6.522285714285772,0.954003854915017,5000.0,200.0,0.30664096723321965,190.80077098300342,5190.8007709830035
0.04,2021-08-10 17:20:00+00:00,2021,2021-08,supply,1719.79,1729.1112857142855,9.32128571428575,-1.0321844012935062,5190.8007709830035,207.63203083932015,0.2227504200639451,-214.3145434412385,4976.486227541765
0.04,2021-09-21 15:25:00+00:00,2021,2021-09,demand,1772.35,1765.0707142857143,7.2792857142856064,0.9587871651457162,5000.0,200.0,0.274752232361892,191.75743302914324,5191.757433029144
0.04,2021-09-29 17:10:00+00:00,2021,2021-09,supply,1734.21,1740.3055714285713,6.0955714285712475,0.9507839415031976,5191.757433029144,207.67029732116575,0.34069045003356146,197.4495838201589,5389.207016849303
0.04,2021-10-28 17:55:00+00:00,2021,2021-10,supply,1797.81,1804.9505714285713,7.14057142857132,0.9579865556978228,5000.0,200.0,0.2800896286811822,191.59731113956454,5191.597311139564
0.04,2021-11-05 15:30:00+00:00,2021,2021-11,demand,1801.85,1784.0791428571429,17.77085714285704,0.9831184282452812,5000.0,200.0,0.112543811698126,196.62368564905623,5196.623685649056
0.04,2021-12-09 16:40:00+00:00,2021,2021-12,supply,1777.55,1783.754142857143,6.204142857143097,0.951645214027495,5000.0,200.0,0.3223652398166999,190.329042805499,5190.329042805499
0.04,2021-12-10 15:35:00+00:00,2021,2021-12,demand,1780.52,1771.6851428571429,8.834857142857118,0.9660435935579844,5190.329042805499,207.61316171221995,0.234993230060401,200.5633648104079,5390.892407615906
0.04,2022-02-15 16:35:00+00:00,2022,2022-02,supply,1848.14,1856.757142857143,8.61714285714288,-1.034814323607427,5000.0,200.0,0.23209549071617974,-206.9628647214854,4793.037135278515
0.04,2022-02-16 21:10:00+00:00,2022,2022-02,demand,1871.1,1863.874857142857,7.225142857142828,0.958478329642518,4793.037135278515,191.7214854111406,0.2653532105896057,183.76088909345242,4976.798024371968
0.04,2022-02-17 16:25:00+00:00,2022,2022-02,demand,1891.88,1885.074,6.80600000000004,0.9559212459594478,4976.798024371968,199.0719209748787,0.29249474136773074,190.2970787338468,5167.095103105815
0.04,2022-02-28 16:40:00+00:00,2022,2022-02,demand,1914.8,1907.7014285714288,7.098571428571404,-1.0422620245522238,5167.095103105815,206.6838041242326,0.29116253348151205,-215.41868012867795,4951.676422977137
0.04,2022-03-01 15:25:00+00:00,2022,2022-03,supply,1917.6,1923.608,6.008000000000038,-1.0499334221038612,5000.0,200.0,0.332889480692408,-209.98668442077224,4790.013315579228
