trades,net,wr,pf,dd,years_pos,years,months_pos,months,mar,rule
279,25.82452132381854,55.19713261648745,1.210561845585491,-12.353778415989368,6,8,20,36,0.261301850881449,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + risk_ge_15
280,17.279553307547367,54.285714285714285,1.135248297678192,-9.730437930067888,5,8,33,62,0.22197810406549207,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + fast_confirm_1
366,32.81735134507795,55.73770491803278,1.2020933265753637,-12.227303586241291,5,8,36,66,0.33549252205945784,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + fast_confirm_2
435,30.221344694781806,54.252873563218394,1.1544259474759773,-11.452869783149698,4,8,38,70,0.32984467285271224,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + fast_confirm_3
421,44.21705475152281,55.819477434679335,1.2440622778398518,-9.21681370460751,7,8,35,66,0.5996792406878445,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + body_ge_45
323,9.004240162677263,51.702786377708975,1.0593035147207503,-15.018156633491959,4,8,28,63,0.07494461855755424,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + body_ge_60
245,12.765426709962572,52.6530612244898,1.1140691998206598,-12.750223621696453,6,8,26,55,0.12514904727082835,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + body_ge_70
146,6.29139785714932,53.42465753424658,1.0919564251312994,-14.397560605056318,4,8,16,34,0.05462208173428201,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + tight_zone
209,24.921367955108266,56.45933014354066,1.2870296626798212,-8.179877377461448,7,8,32,61,0.3808334588207848,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + impulse_ge_1p5
166,43.9005678645318,64.45783132530121,1.7506335800838644,-5.279022417026415,8,8,30,43,1.0395051487880465,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + base_body_low
211,0.5673736924452708,50.23696682464455,1.0055484759626292,-16.699444110131836,3,8,27,57,0.004246950442657516,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + risk_ge_10 + base_body_high
