zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped,winner,entry_ny_hour,entry_weekday,entry_session,trend_ema50_200,atr_pct_rank_500,vol_regime,orb30_state,orb15_state,orb30_width_atr,entry_close_location,entry_ema8_distance_atr,entry_ema20_distance_atr,profile_complete,profile_location,volume_node,zone_contains_poc,zone_overlaps_value,poc_distance_r,zone_volume_percentile,ob_overlap_30d,ob_fvg_bos_overlap_30d,ob_min_discount_position_30d,recent_fvg_20,zone_fvg_overlap_100,opposite_fvg_20,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,h1_stack_96,h1_stack_30d,intraday_stack_24h,intraday_stack_7d,stack_score3,stack_7d30d_score3,trend_aligned,orb_continuation,orb_reversal,orb_inside,vp_lvn,vp_hvn,vp_value_low,vp_value_high,vp_below_value,vp_above_value,ob_quality,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned,closed_m15_ema8_aligned,m15_boundary_entry
22280,15min,m15_2c_1atr,demand,4413.37,4406.33,2025-12-22 15:00:00+00:00,2025-12-22 14:00:00+00:00,2025-12-22 14:15:00+00:00,2025-12-22 14:45:00+00:00,3,2.0983839460130613,1.7503107796128643,0.4318181818181789,2025-12-22 15:25:00+00:00,2025-12-22 15:30:00+00:00,4418.7,4405.4914285714285,13.208571428571304,0.4166666666666667,True,443887,443888,0,4418.71,0.7147147147147631,5.996863508544295,0.494375946355166,2.958684836686157,1.0,tp1,2025,2025-12,2025-12-22,0.0227125243348477,0.9772874756651524,<=0.03R,3,2,2,1.0,3,2,2,1.0,0,0,0.0,0,0,0.0,True,True,True,False,False,3,3,3,3,True,10,Monday,london_ny_overlap,bull,0.48,mid,above,above,1.236792571213438,0.6863691194209439,1.214735413881566,1.96088017524587,True,value_high_half,hvn,True,True,0.0075708414449767,1.0,False,False,,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,True
22296,15min,m15_2c_1atr,supply,4494.35,4487.44,2025-12-23 14:30:00+00:00,2025-12-23 13:45:00+00:00,2025-12-23 14:00:00+00:00,2025-12-23 14:15:00+00:00,2,1.60684474123541,1.3458542014470196,0.7438494934876642,2025-12-23 14:35:00+00:00,2025-12-23 14:45:00+00:00,4486.1,4494.841714285714,8.741714285713897,0.0833333333333333,True,444154,444155,1,4486.09,0.5314285714287378,0.0297424499934894,1.2983723362531003,0.1235455615113058,-1.0,stop,2025,2025-12,2025-12-23,0.0343182115309206,-1.0343182115309206,0.03-0.05R,6,3,2,1.0,6,3,2,1.0,1,1,1.0,1,1,1.0,True,True,True,True,True,8,5,8,5,False,9,Tuesday,london_ny_overlap,bull,0.186,low,inside,inside,2.283703822165329,0.2363112391929823,0.0468858930831092,0.302466727714054,True,value_high_half,hvn,False,True,0.7601483854099412,0.7627118644067796,False,False,,True,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,True,True,False,True,True
22297,15min,m15_2c_1atr,demand,4486.16,4483.5,2025-12-23 15:15:00+00:00,2025-12-23 14:15:00+00:00,2025-12-23 14:30:00+00:00,2025-12-23 15:00:00+00:00,3,1.953834472285622,0.5655277145026314,0.233082706766889,2025-12-23 15:30:00+00:00,2025-12-23 15:35:00+00:00,4491.88,4482.633285714286,9.246714285714006,0.25,True,444164,444165,0,4491.83,0.3491864831038848,0.0562361920063775,1.9953033509973064,-2.058028334389084,-1.0,stop,2025,2025-12,2025-12-23,0.0324439569267857,-1.0324439569267858,0.03-0.05R,6,4,2,1.0,6,4,2,1.0,2,1,1.0,2,1,1.0,True,True,True,True,True,10,7,10,7,False,10,Tuesday,london_ny_overlap,bull,0.376,mid,inside,inside,1.923750505186559,0.6236024844720899,0.1720112272704724,0.5317536962472701,True,value_high_half,hvn,True,True,0.0627249833917779,0.9881656804733728,False,False,,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,True,True,False
22333,15min,m15_2c_1atr,supply,4467.75,4457.91,2025-12-29 14:00:00+00:00,2025-12-29 13:15:00+00:00,2025-12-29 13:30:00+00:00,2025-12-29 13:45:00+00:00,2,1.6880339093576646,0.8983371372677047,0.6971544715447643,2025-12-29 14:35:00+00:00,2025-12-29 15:15:00+00:00,4457.9,4468.698714285714,10.798714285714595,0.5833333333333334,True,444949,444950,7,4457.84,0.7524950099800035,14.33318781336359,0.1926155230119865,9.000145519969013,1.0,tp1,2025,2025-12,2025-12-29,0.0277810850498067,0.9722189149501932,<=0.03R,4,2,1,0.7560975609755579,5,2,1,0.7560975609755579,1,1,0.8749999999999538,1,1,0.8749999999999538,True,True,True,True,True,6,5,7,5,True,10,Monday,london_ny_overlap,bear,0.808,high,inside,inside,1.1417766678559007,0.4284727021423703,-0.5908371910711558,-1.215720957337907,True,below_value,hvn,False,False,-4.854281594369567,0.958904109589041,False,False,,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,True,True,True
22350,15min,m15_2c_1atr,supply,4391.36,4380.96,2025-12-30 17:00:00+00:00,2025-12-30 16:15:00+00:00,2025-12-30 16:30:00+00:00,2025-12-30 16:45:00+00:00,2,2.1748095024653185,0.9323173464813816,0.4269230769230533,2025-12-30 19:00:00+00:00,2025-12-30 19:35:00+00:00,4373.35,4392.271571428571,18.92157142857104,2.0,True,445271,445272,6,4373.3,0.4619565217391586,5.2099266898703185,0.2848600614566647,2.6039063502730073,1.0,tp1,2025,2025-12,2025-12-30,0.0158549199326546,0.9841450800673454,<=0.03R,2,2,1,1.0,2,2,1,1.0,2,2,0.7538461538461068,2,2,0.7538461538461068,True,True,True,True,True,6,6,6,6,True,14,Tuesday,ny_main,bear,0.902,high,below,below,1.2477676048377764,0.3387931034482385,-0.2019423914628771,-0.4135736736748204,True,value_high_half,hvn,False,True,1.0258133196427492,0.8793103448275862,False,False,,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,True,True,False
22372,15min,m15_2c_1atr,supply,4346.79,4331.8,2026-01-02 18:15:00+00:00,2026-01-02 17:30:00+00:00,2026-01-02 17:45:00+00:00,2026-01-02 18:00:00+00:00,2,1.6346476924597506,1.036960173930224,0.6224149432955346,2026-01-02 19:00:00+00:00,2026-01-02 19:25:00+00:00,4326.14,4347.96,21.81999999999971,0.75,True,445821,445822,4,4326.15,0.6408730158731143,0.737855178735132,1.7286892758936685,-5.28185151237404,-1.0,stop,2026,2026-01,2026-01-02,0.013748854262145,-1.0137488542621451,<=0.03R,1,1,1,1.0,10,3,2,1.0,5,4,0.9199466310874026,16,4,1.0,True,True,True,True,True,11,5,42,7,False,14,Friday,ny_main,bear,0.852,high,below,below,0.5591397849462757,0.5172798216276205,-0.2710532455725544,-1.4982927487776048,True,below_value,mid_volume,False,True,-1.6248854262145005,0.4069767441860465,True,False,0.1517467248908392,True,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False
22395,15min,m15_2c_1atr,demand,4473.44,4464.65,2026-01-06 17:00:00+00:00,2026-01-06 16:15:00+00:00,2026-01-06 16:30:00+00:00,2026-01-06 16:45:00+00:00,2,2.378033205619376,1.0477650063856854,0.5984072810011649,2026-01-06 17:30:00+00:00,2026-01-06 17:50:00+00:00,4478.33,4463.174285714285,15.155714285714566,0.5,True,446354,446355,3,4478.35,0.3536269430052309,1.4700725798849592,1.126967668960291,-0.8900933169949734,1.0,tp1,2026,2026-01,2026-01-06,0.0197945140918084,0.9802054859081916,<=0.03R,7,3,2,1.0,7,3,2,1.0,4,4,0.4414106939704352,10,4,1.0,True,True,True,True,True,15,7,27,7,True,12,Tuesday,ny_main,bull,0.698,high,above,above,0.3968579234973184,0.8256097560976325,0.2041227644960214,0.7818091143076812,True,above_value,hvn,False,True,1.5700348760486136,0.8362068965517241,True,True,0.1510312707917512,True,True,False,True,False,True,True,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,True,True,True,False
22420,15min,m15_2c_1atr,demand,4423.13,4411.94,2026-01-08 14:45:00+00:00,2026-01-08 14:00:00+00:00,2026-01-08 14:15:00+00:00,2026-01-08 14:30:00+00:00,2,2.381701215153631,1.5997140814868296,0.9302949061661644,2026-01-08 15:05:00+00:00,2026-01-08 15:20:00+00:00,4425.86,4410.861428571428,14.998571428571267,0.3333333333333333,True,446876,446877,2,4425.75,0.7068723702664638,4.715782455472032,0.4447090199066674,4.54243261262983,1.0,tp1,2026,2026-01,2026-01-08,0.0200019049433281,0.979998095056672,<=0.03R,3,2,2,0.6586237712242677,15,4,2,0.6586237712242677,8,4,0.8561215370867203,11,4,0.8561215370867203,True,True,True,True,True,19,7,37,7,True,10,Thursday,london_ny_overlap,bear,0.572,mid,above,above,1.86060606060609,0.889101338432082,0.9583106921705876,0.8406326859730986,True,below_value,lvn,False,False,-2.7145918658920287,0.2327586206896551,True,True,0.3904201680672348,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,True,True,True,False
22435,15min,m15_2c_1atr,supply,4476.26,4468.84,2026-01-09 14:30:00+00:00,2026-01-09 13:45:00+00:00,2026-01-09 14:00:00+00:00,2026-01-09 14:15:00+00:00,2,1.5109913487447892,1.4732662033754176,0.6994609164419877,2026-01-09 15:00:00+00:00,2026-01-09 15:15:00+00:00,4467.61,4477.136714285714,9.52671428571466,0.5,True,447151,447152,2,4467.62,0.4488188976377515,0.8922278704994625,2.195930241276332,-13.57026107037307,-1.0,stop,2026,2026-01,2026-01-09,0.0314903954293927,-1.0314903954293928,0.03-0.05R,9,4,2,1.0,18,4,2,1.0,2,1,0.5714285714285364,3,1,0.986522911051164,True,True,True,True,True,13,7,24,7,False,10,Friday,london_ny_overlap,bull,0.27,low,inside,inside,2.139492129150903,0.8690763052208729,0.507061587497996,0.4445102485924648,True,value_low_half,hvn,True,True,-0.1784455740998734,0.8968253968253969,True,True,0.1441093065223034,True,True,True,False,True,False,True,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True
22469,15min,m15_2c_1atr,demand,4584.78,4578.0,2026-01-13 15:00:00+00:00,2026-01-13 14:15:00+00:00,2026-01-13 14:30:00+00:00,2026-01-13 14:45:00+00:00,2,2.172354948805615,1.1569965870307124,0.4601769911504437,2026-01-13 20:15:00+00:00,2026-01-13 20:35:00+00:00,4593.62,4576.614142857143,17.005857142857167,5.25,True,447767,447768,3,4593.4,0.3313373253493181,0.4951235288682086,1.3195453667223644,2.687309414403426,-1.0,stop,2026,2026-01,2026-01-13,0.0176409808385345,-1.0176409808385345,<=0.03R,12,4,2,1.0,22,4,2,1.0,2,2,0.4277286135692839,2,2,0.4277286135692839,True,True,True,True,True,16,7,26,7,False,15,Tuesday,ny_main,bull,0.918,high,above,above,0.9084062337060296,0.9604051565377252,0.0031638377090889,-0.2649178687045513,True,value_low_half,mid_volume,False,True,-0.6974067758167687,0.717948717948718,False,False,,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False
22483,15min,m15_2c_1atr,supply,4639.26,4633.32,2026-01-14 11:45:00+00:00,2026-01-14 11:00:00+00:00,2026-01-14 11:15:00+00:00,2026-01-14 11:30:00+00:00,2,1.604151064512663,0.8896972290575168,0.5942760942760005,2026-01-14 12:15:00+00:00,2026-01-14 13:00:00+00:00,4633.18,4639.932857142858,6.752857142857465,0.5,True,447952,447953,8,4633.12,0.0917431192659593,1.0321557012904474,1.2913052676114345,2.20499259572662,1.0,tp1,2026,2026-01,2026-01-14,0.0444256399407636,0.9555743600592363,0.03-0.05R,3,2,2,1.0,3,2,2,1.0,1,1,0.2323232323232307,1,1,0.2323232323232307,True,True,True,True,True,5,5,5,5,True,8,Wednesday,london_ny_overlap,bull,0.22,low,inside,inside,1.3871878883741169,0.8221153846154309,0.2555498303832176,0.5326056800244815,True,value_high_half,mid_volume,False,True,2.819547281573797,0.6390977443609023,False,False,,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,True,True
22516,15min,m15_2c_1atr,demand,4597.82,4582.66,2026-01-16 16:00:00+00:00,2026-01-16 15:15:00+00:00,2026-01-16 15:30:00+00:00,2026-01-16 15:45:00+00:00,2,1.9606240713224388,1.9710252600297105,0.6312664907651584,2026-01-16 16:30:00+00:00,2026-01-16 16:35:00+00:00,4607.06,4581.314285714286,25.745714285714712,0.5,True,448547,448548,0,4607.08,0.7267657992564638,0.5200865608700165,1.6426034846298685,2.4353567861502134,-1.0,stop,2026,2026-01,2026-01-16,0.0116524248141158,-1.011652424814116,<=0.03R,10,4,2,1.0,43,4,2,1.0,11,4,1.0,13,4,1.0,True,True,True,True,True,32,7,69,7,False,11,Friday,london_ny_overlap,bear,0.686,high,inside,below,0.9257032940610692,0.8112475759534568,0.646072432331643,0.593473839618143,True,below_value,lvn,False,False,-0.6412717789368528,0.1282051282051282,False,False,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,True,False
