zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,entry_atr,entry_ema8,entry_close,entry_close_location,orb30_state,orb15_state,orb30_width,entry_ny_hour,entry_weekday,entry_session,entry_ema8_distance_atr,orb30_width_atr,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned,closed_m15_timestamp,closed_m15_close,closed_m15_ema8,closed_m15_atr,closed_m15_ema8_distance_atr,closed_m15_ema8_aligned,m15_boundary_entry,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,intraday_stack_24h,xau_sdr_002_clean,orb_continuation,orb_reversal,orb_inside,trade_key
6260,15min,m15_2c_1atr,demand,1777.14,1775.5,2021-06-24 03:00:00+00:00,2021-06-24 02:15:00+00:00,2021-06-24 02:30:00+00:00,2021-06-24 02:45:00+00:00,2,1.282490974729154,1.036101083032497,0.9451219512194268,2021-06-24 03:00:00+00:00,2021-06-24 03:05:00+00:00,1777.37,1775.3244285714286,2.045571428571293,0.0,True,124772,124773,0,1777.38,0.052631578947620355,1.2857043089602616,1.4763600810113329,-0.6501850687897275,1.0,tp1,2021,2021-06,2021-06-24,0.14665828619317964,0.8533417138068203,0.10-0.20R,0.877857142857189,1776.9270031145077,1777.01,0.19230769230752412,below,below,1.6199999999998909,23,Wednesday,after_hours,0.5046343691530322,1.845402766476589,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,2021-06-24 03:00:00+00:00,1777.24,1777.2630128982607,1.4292857142857949,-0.016100978293364224,False,False,4,4,2,True,False,False,True,False,2021-06-24 03:05:00+00:00|demand|1777.37
6263,15min,m15_2c_1atr,supply,1778.17,1777.0,2021-06-24 05:45:00+00:00,2021-06-24 05:00:00+00:00,2021-06-24 05:15:00+00:00,2021-06-24 05:30:00+00:00,2,1.1042092357989521,0.6693910911320269,0.47008547008540197,2021-06-24 08:40:00+00:00,2021-06-24 09:05:00+00:00,1776.27,1778.3457142857144,2.0757142857144117,2.9166666666666665,True,124844,124845,4,1776.26,0.2260273972602537,0.5443909153474668,1.5320027529249205,-1.8258774948381373,-1.0,stop,2021,2021-06,2021-06-24,0.1445285615966877,-1.1445285615966876,0.10-0.20R,0.8785714285714253,1776.5559092224717,1777.45,0.8447204968944222,below,below,2.5699999999999363,5,Thursday,asia_late,-0.3254251312685724,2.9252032520324587,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,2021-06-24 09:00:00+00:00,1777.42,1776.2285792778432,1.4157142857142975,0.841568623117858,False,False,1,1,1,True,False,True,False,False,2021-06-24 09:05:00+00:00|supply|1776.27
6264,15min,m15_2c_1atr,supply,1776.0,1775.09,2021-06-24 07:45:00+00:00,2021-06-24 06:30:00+00:00,2021-06-24 06:45:00+00:00,2021-06-24 07:30:00+00:00,4,1.2547491475889674,0.6205552849488982,0.89010989011,2021-06-24 07:55:00+00:00,2021-06-24 08:30:00+00:00,1774.87,1776.159,1.2890000000002146,0.16666666666666666,True,124837,124838,6,1774.88,0.4912280701754456,0.7370054305660666,1.342125678820582,-3.754848719937424,-1.0,stop,2021,2021-06,2021-06-24,0.2327385570209077,-1.2327385570209077,>0.20R,0.795000000000024,1775.2930450236317,1775.69,0.9315789473684783,below,below,2.5699999999999363,4,Thursday,asia_late,-0.5321321051972889,3.2327044025155454,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,2021-06-24 08:15:00+00:00,1774.88,1775.2710620803136,1.224285714285754,-0.3194206023564332,True,True,0,0,0,False,False,True,False,False,2021-06-24 08:30:00+00:00|supply|1774.87
6265,15min,m15_2c_1atr,demand,1774.93,1772.81,2021-06-24 08:15:00+00:00,2021-06-24 07:30:00+00:00,2021-06-24 07:45:00+00:00,2021-06-24 08:00:00+00:00,2,1.1247991430101452,1.5897161221210936,0.3820754716981734,2021-06-24 08:25:00+00:00,2021-06-24 08:35:00+00:00,1775.74,1772.6445714285715,3.095428571428556,0.16666666666666666,True,124838,124839,1,1775.69,0.4315789473685382,3.9574487723832577,0.6751892191249538,0.9950156913420527,1.0,tp1,2021,2021-06,2021-06-24,0.09691711279305937,0.9030828872069406,0.05-0.10R,0.8271428571428844,1775.5812572406026,1776.59,0.988372093023265,below,below,2.5699999999999363,4,Thursday,asia_late,0.1919169802732557,3.107081174438508,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,2021-06-24 08:30:00+00:00,1777.12,1775.6819371735774,1.3735714285714624,1.04695161570021,True,False,5,4,2,True,False,False,True,False,2021-06-24 08:35:00+00:00|demand|1775.74
6266,15min,m15_2c_1atr,demand,1777.96,1776.82,2021-06-24 11:45:00+00:00,2021-06-24 11:00:00+00:00,2021-06-24 11:15:00+00:00,2021-06-24 11:30:00+00:00,2,2.3096686950642358,0.5395537525355582,0.01754385964910531,2021-06-24 17:45:00+00:00,2021-06-24 18:10:00+00:00,1781.83,1776.4399999999998,5.3900000000001,6.0,True,124953,124954,4,1781.81,0.9237288135592028,0.0667903525046606,1.003710575139101,-0.7179962894248273,-1.0,stop,2021,2021-06,2021-06-24,0.05565862708719748,-1.0556586270871975,0.05-0.10R,1.9000000000000097,1780.7052789867516,1780.52,0.07222222222215836,inside,inside,2.5699999999999363,14,Thursday,ny_main,0.5919584280254131,1.352631578947328,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,True,2021-06-24 18:00:00+00:00,1780.52,1782.2091460882305,3.215714285714301,-0.5252786591565195,False,False,3,2,2,True,False,False,False,True,2021-06-24 18:10:00+00:00|demand|1781.83
6267,15min,m15_2c_1atr,demand,1783.34,1782.02,2021-06-24 14:45:00+00:00,2021-06-24 13:45:00+00:00,2021-06-24 14:00:00+00:00,2021-06-24 14:30:00+00:00,3,1.3328488372092697,0.6715116279069558,0.16666666666669538,2021-06-24 15:40:00+00:00,2021-06-24 16:05:00+00:00,1784.51,1781.6445714285715,2.865428571428538,0.9166666666666666,True,124928,124929,4,1784.55,0.605263157894636,0.785222853724209,1.029514408216201,1.0015953734171434,-1.0,stop,2021,2021-06,2021-06-24,0.1046963804965612,-1.1046963804965613,0.10-0.20R,1.8771428571428714,1784.589755795293,1785.32,0.6944444444444181,above,above,2.5699999999999363,12,Thursday,ny_main,-0.04248786659448004,1.3691019786909755,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,2021-06-24 16:00:00+00:00,1785.47,1784.5097662153987,2.216428571428537,0.4332347078446216,True,False,6,3,2,True,False,True,False,False,2021-06-24 16:05:00+00:00|demand|1784.51
6268,15min,m15_2c_1atr,supply,1787.7,1784.71,2021-06-24 15:30:00+00:00,2021-06-24 14:45:00+00:00,2021-06-24 15:00:00+00:00,2021-06-24 15:15:00+00:00,2,1.5573152337858605,1.5784313725490389,0.9130434782608728,2021-06-24 15:30:00+00:00,2021-06-24 15:40:00+00:00,1784.33,1788.031,3.701000000000022,0.0,True,124923,124924,1,1784.4,0.5827814569535676,2.8857065657929675,1.6509051607673848,-1.161848149148921,1.0,tp1,2021,2021-06,2021-06-24,0.08105917319643291,0.918940826803567,0.05-0.10R,1.6550000000000378,1785.1617962727591,1784.3,0.6901408450704,above,above,2.5699999999999363,11,Thursday,london_ny_overlap,-0.5025959352019344,1.552870090634367,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,True,True,True,True,2021-06-24 15:30:00+00:00,1784.3,1784.488389049945,2.0528571428571274,-0.09176919621540161,True,False,5,4,2,True,False,False,True,False,2021-06-24 15:40:00+00:00|supply|1784.33
6271,15min,m15_2c_1atr,supply,1777.83,1776.87,2021-06-24 22:30:00+00:00,2021-06-24 21:30:00+00:00,2021-06-24 21:45:00+00:00,2021-06-24 22:15:00+00:00,3,1.0135135135135234,0.6486486486486794,0.11458333333322478,2021-06-25 01:10:00+00:00,2021-06-25 01:50:00+00:00,1776.21,1777.9552857142855,1.745285714285501,2.6666666666666665,True,125033,125034,7,1776.42,0.26229508196701756,1.4381599410658987,1.2719980355244407,-3.466481132848069,1.0,tp1,2021,2021-06,2021-06-25,0.17189162642221958,0.8281083735777804,0.10-0.20R,0.6264285714285701,1776.3759472459078,1775.94,0.0,below,below,2.5699999999999363,21,Thursday,after_hours,-0.26491008468743804,4.10262257696684,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,2021-06-25 01:45:00+00:00,1776.17,1776.0363361303218,1.0942857142857096,0.12214713939263906,False,False,4,2,1,True,False,True,False,False,2021-06-25 01:50:00+00:00|supply|1776.21
6272,15min,m15_2c_1atr,supply,1776.98,1775.21,2021-06-25 02:15:00+00:00,2021-06-25 01:00:00+00:00,2021-06-25 01:15:00+00:00,2021-06-25 02:00:00+00:00,4,1.427838357921883,1.5894804361770287,0.9548022598870463,2021-06-25 02:15:00+00:00,2021-06-25 02:20:00+00:00,1775.14,1777.0667142857144,1.9267142857142971,0.0,True,125039,125040,0,1775.14,0.3599999999996726,0.7473863720620095,1.3961592644768057,-2.9480240231332853,-1.0,stop,2021,2021-06,2021-06-25,0.1557054941795794,-1.1557054941795795,0.10-0.20R,0.433571428571424,1775.603146798109,1775.25,0.8518518518519766,below,below,2.5699999999999363,22,Thursday,after_hours,-1.0682133729036556,5.927512355848351,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,2021-06-25 02:15:00+00:00,1774.72,1775.6200058072318,1.1264285714285538,-0.798990570782809,True,False,4,2,1,True,False,True,False,False,2021-06-25 02:20:00+00:00|supply|1775.14
6274,15min,m15_2c_1atr,demand,1778.05,1777.21,2021-06-25 05:30:00+00:00,2021-06-25 04:45:00+00:00,2021-06-25 05:00:00+00:00,2021-06-25 05:15:00+00:00,2,1.201873048907287,0.6118626430800644,0.416666666666599,2021-06-25 05:50:00+00:00,2021-06-25 06:15:00+00:00,1778.08,1777.0712857142858,1.008714285714177,0.3333333333333333,True,125086,125087,4,1778.09,0.8023255813952412,0.6741254779777592,1.3680781758957956,1.5960912052120244,-1.0,stop,2021,2021-06,2021-06-25,0.29740829910780714,-1.297408299107807,>0.20R,0.693571428571415,1778.104523866311,1778.51,0.7638888888887968,below,below,1.5699999999999363,2,Friday,post_close,-0.03535881857408922,2.2636457260555654,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,2021-06-25 06:00:00+00:00,1778.09,1777.833349019028,1.460714285714289,0.17570238306146513,True,True,2,2,2,True,False,False,True,False,2021-06-25 06:15:00+00:00|demand|1778.08
6275,15min,m15_2c_1atr,supply,1779.34,1778.46,2021-06-25 06:00:00+00:00,2021-06-25 05:15:00+00:00,2021-06-25 05:30:00+00:00,2021-06-25 05:45:00+00:00,2,1.2727272727272012,0.6086956521738242,0.17045454545441333,2021-06-25 06:15:00+00:00,2021-06-25 06:35:00+00:00,1778.23,1779.4678571428572,1.2378571428571377,0.25,True,125090,125091,3,1778.24,0.41666666666677193,2.011540680900189,1.4864396999422367,-2.447778418926705,1.0,tp1,2021,2021-06,2021-06-25,0.24235429890363633,0.7576457010963636,>0.20R,0.639285714285685,1778.2742968759355,1778.36,0.5277777777774444,below,below,1.5699999999999363,2,Friday,post_close,-0.06929120258069757,2.4558659217877223,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,2021-06-25 06:30:00+00:00,1778.0,1777.9752358263256,1.3792857142857105,0.01795434652725961,False,False,0,0,0,False,False,True,False,False,2021-06-25 06:35:00+00:00|supply|1778.23
6277,15min,m15_2c_1atr,demand,1776.74,1775.74,2021-06-25 08:45:00+00:00,2021-06-25 08:00:00+00:00,2021-06-25 08:15:00+00:00,2021-06-25 08:30:00+00:00,2,2.764150943396302,0.9433962264150997,0.01999999999998181,2021-06-25 19:25:00+00:00,2021-06-25 19:45:00+00:00,1777.87,1775.5254285714286,2.344571428571271,10.666666666666666,True,125248,125249,3,1777.9,0.7258064516131043,2.124055569095934,1.4117718742384338,0.8914209115282721,1.0,tp1,2021,2021-06,2021-06-25,0.12795515476481484,0.8720448452351852,0.10-0.20R,1.072857142857109,1777.7946154682538,1777.95,0.21052631578958392,below,below,1.5699999999999363,15,Friday,ny_main,0.07026520935053099,1.4633821571238217,True,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,2021-06-25 19:30:00+00:00,1777.9,1779.7398457877534,2.6600000000000494,-0.691671348779441,False,True,2,2,2,True,False,False,True,False,2021-06-25 19:45:00+00:00|demand|1777.87
6278,15min,m15_2c_1atr,supply,1780.78,1779.07,2021-06-25 09:30:00+00:00,2021-06-25 08:45:00+00:00,2021-06-25 09:00:00+00:00,2021-06-25 09:15:00+00:00,2,1.5425055928411948,1.3389261744966816,0.8128654970760646,2021-06-25 09:30:00+00:00,2021-06-25 09:40:00+00:00,1778.84,1781.023,2.1829999999999927,0.0,True,125127,125128,1,1778.82,0.8019801980199803,0.11452130096197931,1.122308749427418,-2.212551534585511,-1.0,stop,2021,2021-06,2021-06-25,0.13742556115437515,-1.137425561154375,0.10-0.20R,1.2149999999999832,1778.967851606197,1779.47,0.6666666666667315,below,below,1.5699999999999363,5,Friday,asia_late,-0.10522765942144585,1.2921810699588132,False,True,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,True,False,True,True,2021-06-25 09:30:00+00:00,1779.47,1778.7811003847742,1.307857142857139,0.5267391924173744,False,False,1,1,1,True,False,True,False,False,2021-06-25 09:40:00+00:00|supply|1778.84
6281,15min,m15_2c_1atr,demand,1783.62,1782.27,2021-06-25 14:45:00+00:00,2021-06-25 14:00:00+00:00,2021-06-25 14:15:00+00:00,2021-06-25 14:30:00+00:00,2,1.6227758007117183,0.9608540925266221,0.2296296296297731,2021-06-25 15:40:00+00:00,2021-06-25 16:00:00+00:00,1785.49,1781.8234285714286,3.6665714285713875,0.9166666666666666,True,125203,125204,3,1785.4,0.5724137931035369,1.1291202368893098,1.126392893321947,-0.8863866593937604,1.0,tp1,2021,2021-06,2021-06-25,0.08182030702096249,0.9181796929790376,0.05-0.10R,2.2328571428571258,1785.8988726705916,1787.85,0.9365079365079035,above,above,1.5699999999999363,12,Friday,ny_main,-0.18311635919008093,0.7031349968010006,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,True,False,2021-06-25 15:45:00+00:00,1785.4,1784.7720447066781,2.028571428571435,0.3095554262854795,True,True,1,1,1,True,False,True,False,False,2021-06-25 16:00:00+00:00|demand|1785.49
6287,15min,m15_2c_1atr,supply,1782.54,1781.44,2021-06-28 03:15:00+00:00,2021-06-28 02:30:00+00:00,2021-06-28 02:45:00+00:00,2021-06-28 03:00:00+00:00,2,1.3194180898166226,0.974067046173259,0.4000000000000827,2021-06-28 04:00:00+00:00,2021-06-28 04:05:00+00:00,1780.11,1782.6902857142857,2.5802857142857647,0.75,True,125336,125337,0,1780.13,0.1881188118811101,3.674011737348978,1.139408703355109,2.1199202746095587,1.0,tp1,2021,2021-06,2021-06-28,0.11626619421990693,0.8837338057800931,0.10-0.20R,0.7514285714286026,1780.6161227250068,1780.81,0.5185185185184998,above,above,2.5299999999999727,0,Monday,post_close,-0.6735473526707376,3.3669201520910788,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,True,2021-06-28 04:00:00+00:00,1780.69,1780.972803801319,1.1342857142856897,-0.2493232505331335,True,False,0,0,0,False,False,False,True,False,2021-06-28 04:05:00+00:00|supply|1780.11
