trades,net_r,avg_r_per_trade,avg_r_per_year,win_rate,profit_factor,max_drawdown_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,start,end,month
13,0.5396553034171085,0.041511946416700654,0.5396553034171085,0.5384615384615384,1.0866142016096978,-4.1644896547184445,1,0,1,0,0.5396553034171079,0.5396553034171079,0.5396553034171079,0.5396553034171079,2020-09-01 17:55:00+00:00,2020-09-24 15:55:00+00:00,2020-09
7,2.7164557006066,0.3880651000866572,2.7164557006066,0.7142857142857143,2.308656450004492,-1.1061482055762903,1,0,1,0,2.7164557006066,2.7164557006066,2.7164557006066,2.7164557006066,2020-10-02 19:30:00+00:00,2020-10-30 17:05:00+00:00,2020-10
9,0.6331098174326802,0.0703455352702978,0.6331098174326802,0.5555555555555556,1.1521441713308282,-2.17196987374626,1,0,1,0,0.6331098174326805,0.6331098174326805,0.6331098174326805,0.6331098174326805,2020-11-03 17:05:00+00:00,2020-11-30 11:50:00+00:00,2020-11
9,2.1374527681342386,0.2374947520149154,2.1374527681342386,0.6666666666666666,1.6860606183400233,-2.0732276764471043,1,0,1,0,2.1374527681342386,2.1374527681342386,2.1374527681342386,2.1374527681342386,2020-12-02 16:05:00+00:00,2020-12-28 15:00:00+00:00,2020-12
10,0.3397201995430057,0.03397201995430057,0.3397201995430057,0.5,1.0759034624742312,-3.4375814827247178,1,0,1,0,0.3397201995430057,0.3397201995430057,0.3397201995430057,0.3397201995430057,2021-01-07 13:05:00+00:00,2021-01-25 18:55:00+00:00,2021-01
13,-0.22133016695604146,-0.017025397458157034,-0.22133016695604146,0.5384615384615384,0.9644387276586525,-4.135982845055031,0,1,0,1,-0.22133016695604146,-0.22133016695604146,-0.22133016695604146,-0.22133016695604146,2021-02-02 10:30:00+00:00,2021-02-25 11:25:00+00:00,2021-02
8,-0.31380745047941083,-0.039225931309926354,-0.31380745047941083,0.5,0.9246319548941677,-3.1942739999577445,0,1,0,1,-0.31380745047941083,-0.31380745047941083,-0.31380745047941083,-0.31380745047941083,2021-03-02 07:35:00+00:00,2021-03-30 16:50:00+00:00,2021-03
6,-0.5751194713759831,-0.09585324522933052,-0.5751194713759831,0.5,0.7384774515076772,-2.0747016853878373,0,1,0,1,-0.5751194713759831,-0.5751194713759831,-0.5751194713759831,-0.5751194713759831,2021-04-01 16:05:00+00:00,2021-04-29 17:55:00+00:00,2021-04
6,0.5261430587694407,0.08769050979490678,0.5261430587694407,0.5,1.2234635168329133,-2.0946897981740653,1,0,1,0,0.5261430587694405,0.5261430587694405,0.5261430587694405,0.5261430587694405,2021-05-04 15:35:00+00:00,2021-05-20 17:30:00+00:00,2021-05
6,-2.214922544272749,-0.3691537573787915,-2.214922544272749,0.3333333333333333,0.46613478919394163,-3.1253294390290107,0,1,0,1,-2.214922544272749,-2.214922544272749,-2.214922544272749,-2.214922544272749,2021-06-10 16:30:00+00:00,2021-06-28 18:05:00+00:00,2021-06
7,3.4448328250674813,0.4921189750096402,3.4448328250674813,0.7142857142857143,3.5228150935133065,-1.0321844012935062,1,0,1,0,3.4448328250674813,3.4448328250674813,3.4448328250674813,3.4448328250674813,2021-08-09 17:35:00+00:00,2021-08-31 17:05:00+00:00,2021-08
8,5.674636495926018,0.7093295619907523,5.674636495926018,0.875,6.535379985286751,-1.025157534082469,1,0,1,0,5.674636495926018,5.674636495926018,5.674636495926018,5.674636495926018,2021-09-02 18:05:00+00:00,2021-09-29 17:10:00+00:00,2021-09
2,-0.07959800957403906,-0.03979900478701953,-0.07959800957403906,0.5,0.923285279833376,0.0,0,1,0,1,-0.07959800957403906,-0.07959800957403906,-0.07959800957403906,-0.07959800957403906,2021-10-04 16:30:00+00:00,2021-10-28 17:55:00+00:00,2021-10
