name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,month
2022-01,1,-1.0401253439315188,1,-1.0401253439315188,0.0,0.0,-1.0401253439315188,0.0,0,1,0,1,-1.0401253439315188,-1.0401253439315188,-1.0401253439315188,-1.0401253439315188,2022-01
2022-02,12,3.1105243055211957,1,3.1105243055211957,0.6666666666666666,1.7487887972058942,0.25921035879343296,-2.0722441426966345,1,0,1,0,3.1105243055211957,3.1105243055211957,3.1105243055211957,3.1105243055211957,2022-02
2022-03,23,6.137275423695965,1,6.137275423695965,0.6521739130434783,1.7412492293290447,0.26683806189982456,-1.3067476811492194,1,0,1,0,6.137275423695967,6.137275423695967,6.137275423695967,6.137275423695967,2022-03
2022-04,8,-0.32538316742258644,1,-0.32538316742258644,0.5,0.921538878873601,-0.040672895927823305,-3.111373633523398,0,1,0,1,-0.32538316742258644,-0.32538316742258644,-0.32538316742258644,-0.32538316742258644,2022-04
2022-05,10,4.341148715256808,1,4.341148715256808,0.7,2.8323313483065236,0.4341148715256808,-2.0644543273435714,1,0,1,0,4.341148715256808,4.341148715256808,4.341148715256808,4.341148715256808,2022-05
2022-06,3,2.8608357881107858,1,2.8608357881107858,1.0,inf,0.953611929370262,0.0,1,0,1,0,2.860835788110786,2.860835788110786,2.860835788110786,2.860835788110786,2022-06
2022-07,3,-0.39688513011635795,1,-0.39688513011635795,0.3333333333333333,0.7094292121057937,-0.1322950433721193,-1.0251205186789,0,1,0,1,-0.39688513011635795,-0.39688513011635795,-0.39688513011635795,-0.39688513011635795,2022-07
2022-08,6,-0.21569261402868722,1,-0.21569261402868722,0.5,0.9308416981155626,-0.0359487690047812,-2.082702415587958,0,1,0,1,-0.21569261402868722,-0.21569261402868722,-0.21569261402868722,-0.21569261402868722,2022-08
2022-09,10,0.5337588308556576,1,0.5337588308556576,0.5,1.1244417962835054,0.053375883085565755,-2.1502437094607654,1,0,1,0,0.5337588308556573,0.5337588308556573,0.5337588308556573,0.5337588308556573,2022-09
2022-10,6,3.7602617307098285,1,3.7602617307098285,0.8333333333333334,4.671018038311393,0.6267102884516381,-1.0243103388398185,1,0,1,0,3.760261730709829,3.760261730709829,3.760261730709829,3.760261730709829,2022-10
2022-11,6,0.048641069203392145,1,0.048641069203392145,0.6666666666666666,1.0234134134482948,0.008106844867232024,-2.077487304907903,1,0,1,0,0.048641069203392145,0.048641069203392145,0.048641069203392145,0.048641069203392145,2022-11
2022-12,2,-0.08661229540535942,1,-0.08661229540535942,0.5,0.9171633843395445,-0.04330614770267971,-1.0455798406876042,0,1,0,1,-0.08661229540535942,-0.08661229540535942,-0.08661229540535942,-0.08661229540535942,2022-12
2023-01,10,-0.6870130651064115,1,-0.6870130651064115,0.5,0.8683996589248103,-0.06870130651064114,-3.205832028744435,0,1,0,1,-0.6870130651064115,-0.6870130651064115,-0.6870130651064115,-0.6870130651064115,2023-01
2023-02,8,1.6929568834256448,1,1.6929568834256448,0.625,1.5462600812555245,0.2116196104282056,-1.1747099238416159,1,0,1,0,1.6929568834256448,1.6929568834256448,1.6929568834256448,1.6929568834256448,2023-02
2023-03,13,6.480448753271379,1,6.480448753271379,0.7692307692307693,3.083185508479341,0.4984960579439522,-1.0447560793674475,1,0,1,0,6.480448753271379,6.480448753271379,6.480448753271379,6.480448753271379,2023-03
2023-04,10,4.404525769726491,1,4.404525769726491,0.7,2.865762243895444,0.4404525769726491,-1.394236609421787,1,0,1,0,4.404525769726491,4.404525769726491,4.404525769726491,4.404525769726491,2023-04
2023-05,7,-1.2848160565880191,1,-1.2848160565880191,0.42857142857142855,0.6910736652996604,-0.1835451509411456,-3.1250575319193716,0,1,0,1,-1.2848160565880191,-1.2848160565880191,-1.2848160565880191,-1.2848160565880191,2023-05
2023-06,6,-2.2528096877259065,1,-2.2528096877259065,0.3333333333333333,0.45896165802608224,-0.3754682812876511,-4.163863284636691,0,1,0,1,-2.2528096877259065,-2.2528096877259065,-2.2528096877259065,-2.2528096877259065,2023-06
2023-07,4,-1.0286876877599858,1,-1.0286876877599858,0.5,0.5081041692888643,-0.25717192193999644,-2.091271410600915,0,1,0,1,-1.0286876877599855,-1.0286876877599855,-1.0286876877599855,-1.0286876877599855,2023-07
2023-08,2,-0.09241639242590194,1,-0.09241639242590194,0.5,0.91193749257902,-0.04620819621295097,0.0,0,1,0,1,-0.09241639242590194,-0.09241639242590194,-0.09241639242590194,-0.09241639242590194,2023-08
2023-10,7,-1.9196106465439318,1,-1.9196106465439318,0.42857142857142855,0.539895942067963,-0.27423009236341883,-1.1207810667846079,0,1,0,1,-1.9196106465439313,-1.9196106465439313,-1.9196106465439313,-1.9196106465439313,2023-10
2023-11,4,-2.150507270956218,1,-2.150507270956218,0.25,0.30953042235772765,-0.5376268177390545,-2.0856152371441654,0,1,0,1,-2.150507270956218,-2.150507270956218,-2.150507270956218,-2.150507270956218,2023-11
2023-12,4,-2.125836899507096,1,-2.125836899507096,0.25,0.3129130839287057,-0.531459224876774,-1.098482107859425,0,1,0,1,-2.125836899507096,-2.125836899507096,-2.125836899507096,-2.125836899507096,2023-12
2024-01,1,0.9537821599137266,1,0.9537821599137266,1.0,inf,0.9537821599137266,0.0,1,0,1,0,0.9537821599137266,0.9537821599137266,0.9537821599137266,0.9537821599137266,2024-01
2024-02,1,0.955093661791122,1,0.955093661791122,1.0,inf,0.955093661791122,0.0,1,0,1,0,0.955093661791122,0.955093661791122,0.955093661791122,0.955093661791122,2024-02
2024-03,8,-1.0731820406905497,1,-1.0731820406905497,0.5,0.7414202571804704,-0.1341477550863187,-4.1502943308268145,0,1,0,1,-1.073182040690549,-1.073182040690549,-1.073182040690549,-1.073182040690549,2024-03
2024-04,26,7.9778087388416825,1,7.9778087388416825,0.6538461538461539,1.9463328519006464,0.306838797647757,-2.2807933712351183,1,0,1,0,7.977808738841683,7.977808738841683,7.977808738841683,7.977808738841683,2024-04
2024-05,14,3.5030959908790553,1,3.5030959908790553,0.6428571428571429,1.6781098667062153,0.2502211422056468,-1.1181109321238782,1,0,1,0,3.5030959908790553,3.5030959908790553,3.5030959908790553,3.5030959908790553,2024-05
2024-06,14,1.4394396519176995,1,1.4394396519176995,0.5714285714285714,1.230528229728258,0.1028171179941214,-2.242464553769537,1,0,1,0,1.4394396519177,1.4394396519177,1.4394396519177,1.4394396519177,2024-06
2024-07,17,4.320858689513261,1,4.320858689513261,0.6470588235294118,1.6924642722107641,0.2541681582066624,-2.1641059492426162,1,0,1,0,4.320858689513261,4.320858689513261,4.320858689513261,4.320858689513261,2024-07
2024-08,22,12.21128678726246,1,12.21128678726246,0.7727272727272727,3.9332403299974827,0.5550584903301119,-2.093299693435394,1,0,1,0,12.211286787262459,12.211286787262459,12.211286787262459,12.211286787262459,2024-08
2024-09,12,1.5376563703422972,1,1.5376563703422972,0.5833333333333334,1.2955048051688207,0.1281380308618581,-3.2100455333520115,1,0,1,0,1.5376563703422976,1.5376563703422976,1.5376563703422976,1.5376563703422976,2024-09
2024-10,11,5.551553907302466,1,5.551553907302466,0.7272727272727273,3.572349700728478,0.5046867188456787,-1.0423003323597548,1,0,1,0,5.551553907302466,5.551553907302466,5.551553907302466,5.551553907302466,2024-10
2024-11,22,5.104907551651836,1,5.104907551651836,0.6363636363636364,1.6128317939410914,0.23204125234781073,-2.1578639910263937,1,0,1,0,5.104907551651836,5.104907551651836,5.104907551651836,5.104907551651836,2024-11
2024-12,9,-3.317753988560386,1,-3.317753988560386,0.3333333333333333,0.46477101460411846,-0.3686393320622651,-4.1976971862488766,0,1,0,1,-3.317753988560386,-3.317753988560386,-3.317753988560386,-3.317753988560386,2024-12
2025-01,10,3.5778973547677184,1,3.5778973547677184,0.7,2.14748589570599,0.35778973547677184,-1.1265007768856439,1,0,1,0,3.5778973547677184,3.5778973547677184,3.5778973547677184,3.5778973547677184,2025-01
2025-02,13,2.5824035051792738,1,2.5824035051792738,0.6153846153846154,1.5001652244078687,0.19864642347532874,-2.076443789008696,1,0,1,0,2.582403505179274,2.582403505179274,2.582403505179274,2.582403505179274,2025-02
2025-03,17,0.4050493000050249,1,0.4050493000050249,0.5294117647058824,1.0489518821901889,0.02382642941206029,-4.293121860167684,1,0,1,0,0.40504930000502404,0.40504930000502404,0.40504930000502404,0.40504930000502404,2025-03
2025-04,39,22.035946084435462,1,22.035946084435462,0.7948717948717948,3.699987649156074,0.5650242585752683,-2.0564968216968165,1,0,1,0,22.035946084435466,22.035946084435466,22.035946084435466,22.035946084435466,2025-04
2025-05,23,6.419650970407264,1,6.419650970407264,0.6521739130434783,1.7803802679803207,0.2791152595829245,-2.1250687289564723,1,0,1,0,6.419650970407264,6.419650970407264,6.419650970407264,6.419650970407264,2025-05
