net_r,pf,max_dd_r
132.09178855498186,1.4508783332612838,-8.823993795323972
142.5998732236564,1.4960241583090101,-12.30400962114686
170.17542771778272,1.6224645561563729,-11.501189479841237
118.43521678177108,1.3918948574485588,-13.465003684223774
117.05812916658829,1.389178451356342,-11.018434914745086
164.16398328819145,1.5936600263425769,-8.98684677456771
155.19818905748093,1.5510160503596904,-12.033724996639009
189.14244571704404,1.717048375169685,-10.35575035532878
197.43483545318708,1.7592663972530798,-7.445590560630819
145.12941827365609,1.5055296722191693,-13.166484270604428
154.97610682842435,1.5482622898308187,-9.384707531081098
133.85229217326716,1.4558863055137707,-9.535466748631237
152.95585036098544,1.5419869613398918,-10.984713806032033
162.02678434901816,1.5839963870811657,-10.960204537069231
177.5641435044101,1.659171407915474,-8.556286783556274
163.43525706888505,1.5902944518131144,-13.153280792685358
139.1490669465395,1.478853730361346,-8.263218518425944
186.03314058518367,1.6992603998070417,-8.718938365220424
153.24618618642782,1.5427462815901039,-8.046171063866723
191.8856510555248,1.7363034762989062,-7.505603366391668
196.6811418661349,1.7557280987845,-7.141946355507542
138.29520801872394,1.4745268554235278,-16.489317888067113
174.0331957243783,1.6416589421192054,-11.236588128617015
184.2602034394879,1.6935607777608532,-10.782917595685063
188.37404065534568,1.7136655915257466,-6.017791709065634
175.38205828092717,1.6467924742939017,-8.159912191449408
155.81250205853837,1.5521694888319004,-6.03971689028841
152.53252837810493,1.5413347111538342,-9.08040631272608
129.93848900001274,1.4383844342322525,-13.964934275281053
173.9637945170466,1.638450902311498,-7.6749499434863235
182.29018021085824,1.6811765377680308,-9.92248219868305
148.5768313267623,1.521787910931526,-15.083197378221392
178.6287224973902,1.6653183683318202,-10.286869107710146
152.93623020346615,1.5423601100217559,-8.446914997939018
211.68510693606498,1.838778414118794,-5.324097070733501
168.4843835634539,1.611902320396936,-10.597930483167753
120.38870847074195,1.4024771098483237,-7.588547055478168
125.54045601833776,1.423375736945881,-9.789715550464066
136.8747047373355,1.4709904558850933,-7.907057965203011
155.95947832588647,1.555373209373376,-8.683149907322093
142.24097128316174,1.4951412667815631,-8.947874637785944
157.43481130805336,1.5600279203656349,-20.08800507143819
151.22523673423464,1.5358552499037657,-8.287135910138417
148.89073340677302,1.5227072926567753,-7.164630272667793
168.64712902470626,1.6139944712528747,-9.278059179108297
138.32424911292304,1.4774473417404999,-10.189700298410273
113.88738109531118,1.3754751497780169,-9.783167606506721
140.1845505772059,1.4843006256662856,-8.361859162461059
218.370043395681,1.8836648476613649,-7.1228662570080346
172.02831768680508,1.6310500194482027,-14.970578104324119
119.75284561053253,1.3973661334054917,-15.551500412329801
144.30128965316715,1.5004019259332804,-10.742981230897826
154.38704026952792,1.5450407049513626,-9.999717368920756
198.80075468219854,1.766331848069491,-5.404965843273921
185.44600932699274,1.6996417960283152,-14.889379026002615
169.39362178019104,1.6187198988503704,-8.394774398977752
193.75458309798654,1.7420095658916714,-6.391274895833988
183.65757523726265,1.6876994410222708,-11.230273788995756
171.06770726499377,1.6260885215078127,-9.40018607504203
130.12021678933212,1.4391464659073379,-9.122527742162198
203.82762179216033,1.793639437051303,-7.392084459952713
221.7894825664519,1.9080216028606192,-8.02937201337096
165.46086262134048,1.5997512853264544,-9.622126044346476
208.74447167669746,1.8259125079310712,-5.639198921597
143.43576244960093,1.4975893851815072,-14.551000749783164
161.64459293950912,1.580873224152599,-12.93005059903939
158.74337515994156,1.567268831398881,-10.67263414511676
194.45700597409922,1.7481808285222336,-8.140616145805666
164.25738710843387,1.5926805205773886,-7.48791162028607
209.30766773358258,1.827564233182505,-8.544451449570584
171.3053919901477,1.6246527899418364,-11.29485078101165
130.68947122080294,1.4429850738184675,-10.343540648228753
167.90423554372805,1.6119832069468218,-7.932225974909599
148.03550964104852,1.5172941861679898,-11.13212900438069
162.40177954002712,1.5844502236558957,-9.434595741591721
191.18904634907176,1.7266487869908886,-7.453174479975878
159.761888169048,1.5725958159898628,-7.29248853637182
87.37811283961771,1.2748455878983147,-12.70534821477402
210.88582822728893,1.8353883277705325,-7.051493952611935
187.95876850041424,1.7151439927005978,-7.518895257389346
126.16043909216033,1.4241354381644535,-9.86990424586729
204.3172416810452,1.80026677102317,-8.72769541371028
166.0863866544201,1.603409287591909,-9.43510376869191
188.20182509105706,1.7125794814652509,-8.220085881375155
171.99358095954634,1.6299564447957309,-7.21184686119663
158.16089089645322,1.5655579288130075,-7.93764381591042
225.51212148806695,1.9245434230572664,-6.62150605324868
115.30627681952441,1.3799799162812074,-8.43313338170389
168.36966656002997,1.6118187587184627,-7.572482778124453
181.42727993849246,1.6777050856477829,-11.129686229416663
172.0924172928103,1.634412873784866,-13.346709346135075
199.1481195650469,1.7712864697977295,-8.770545560369968
144.78338669704613,1.5065704449904038,-9.161450267124593
226.3000976639797,1.931901976939062,-6.550193066633426
151.7920144793516,1.5352364428413412,-12.931696150584642
184.78622807376573,1.6976486233799686,-8.58962569544343
179.29638297905126,1.6675323140916496,-8.101751676166549
174.6867532204862,1.644257922285191,-9.616688522938013
151.19119291199775,1.5315898624767927,-9.455338017243378
204.11752319823967,1.802803293992563,-11.70638680133166
177.30488387548218,1.655822501795721,-7.756470257540997
162.8748446350868,1.583767444595444,-10.103252242330726
137.2191507271604,1.4703030760899871,-11.397958597213972
201.7618623809102,1.7884041008006815,-10.024611193711763
204.133549778298,1.797616814806676,-12.135371228377464
177.06067659436195,1.6578102012194493,-12.098785778164995
168.9967486791017,1.6153224009264109,-8.723667659614947
138.7446578109259,1.4773195844946552,-10.012285368387039
149.12204862402595,1.525358519833904,-8.893301287012676
161.549176977869,1.5822157890863808,-10.926533817365637
212.2685223952389,1.8403669772570492,-7.636854636464108
168.76955691329442,1.6167190227998163,-9.267823282078737
175.6808541412242,1.6506351610605705,-13.043745047211146
165.94902207836077,1.5980179557913243,-7.567250148468311
145.40947701160601,1.5073636675495174,-8.290018820203553
177.1941417038099,1.654820494047113,-17.794391754448398
157.2283002830918,1.5616803605459502,-12.103859154325505
180.39729237917066,1.6786073817897065,-7.856402416864455
165.38530548125794,1.5979697063466267,-6.514535282172176
157.16398706020462,1.5592926700871867,-9.87960692467462
140.47605939188705,1.4864129312569219,-19.278373523330202
180.6909257349768,1.6772384882305011,-9.64946263957954
143.67056755488565,1.49872546174951,-11.294229462960978
158.74960830761847,1.5659823722016872,-8.91970632102678
136.98391587592562,1.4716369142278194,-11.918463663799855
191.85954172810307,1.7331259936130325,-12.728320493400872
105.96442542753022,1.344095446365054,-13.73678034833872
132.505934916281,1.450909922582781,-9.474474095806336
173.52835761583395,1.6398250116332005,-7.961959046264781
140.2708571652036,1.4833280260281108,-9.758512455944938
178.98826981665863,1.6643886284480907,-6.795967380051621
102.14032031670133,1.3308838934004112,-12.27107229972016
176.80887379349008,1.6554087568644982,-10.173780908831802
154.29444996262973,1.546268587132825,-10.799123893546891
152.9767228853569,1.5430898523761531,-11.197711307924692
202.68828724782128,1.786547395538948,-7.79695823229747
183.30121230883782,1.6851682860634414,-12.00191783936454
157.62118014360726,1.5607769183070348,-11.441575243034727
