month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2021-02,8,1.590909528864315,24.21165439240379,62.5,1.509323786769155,0.19886369110803936,-2.0607278722891027,11.749078914291067,0.897254403523604,2,-2.0607278722891027,5,1,1,1,1
2021-03,6,3.6302123664985095,77.99618040374004,83.33333333333334,4.372253919990645,0.6050353944164183,-1.0764943721997602,72.45386731038724,0.4426780726171498,1,-1.0764943721997602,4,1,1,1,1
2021-04,10,3.2189907043033195,51.1189719455125,70.0,1.9814583140268145,0.32189907043033195,-1.0949839431905533,46.684677216875485,0.6036916106442167,1,-1.0949839431905533,3,1,1,1,1
2021-05,5,0.5557524310112131,7.2495919795302,60.0,1.2604438935435454,0.11115048620224262,-1.0814553353244638,6.703551910773217,0.6883072743170804,1,-1.0814553353244638,2,1,1,1,1
2021-06,7,4.413300373239073,70.08512875328572,85.71428571428571,5.111953249720884,0.6304714818912961,-1.0732856395044479,65.29960541132841,0.4056638411236701,1,-1.073285639504448,6,1,1,1,1
2021-07,4,1.73110293429434,45.16323905364341,75.0,2.628195269627578,0.432775733573585,-1.0632035153193269,42.47845158796235,0.5330732287652316,1,-1.0632035153193269,2,1,1,1,1
2021-08,8,3.188401536779115,68.50374478285717,75.0,2.4247178597361705,0.3985501920973894,-1.1505052676843814,59.54231302281167,0.5636507469225926,1,-1.1505052676843814,5,1,1,1,1
2021-09,3,0.7472046237332304,38.9880698312232,66.66666666666666,1.7077871772440887,0.24906820791107678,-1.0556911000318223,36.931323784057625,0.6204929909968168,1,-1.0556911000318223,2,1,1,1,1
2021-10,5,0.6854359771104593,10.885021332156317,60.0,1.3264603988714332,0.13708719542209186,-1.0620145881936036,10.24940848568833,0.668887209655487,1,-1.0620145881936036,2,1,1,1,1
2021-11,8,1.3656146350799663,24.939537273147884,62.5,1.4216871023005557,0.17070182938499578,-2.2900544216758805,10.890368821408588,1.263148320062041,2,-2.1907275617453035,4,1,1,1,1
2021-12,4,-0.45021812235076797,-7.830579485172286,50.0,0.7995160096154859,-0.11255453058769199,-2.2456562316386544,-3.4869894041877973,1.259204164600418,2,-2.2456562316386544,2,0,1,0,1
2022-01,12,4.45736949521542,70.78496557075792,75.0,2.3428700479745173,0.3714474579346183,-2.251911175169034,31.433284914288247,0.9003047933313205,2,-2.2519111751690337,4,1,1,1,1
2022-02,4,3.7014705012761553,96.56872147079399,100.0,inf,0.9253676253190388,0.8659346271705782,inf,0.0,0,0.0,4,1,1,1,1
2022-03,10,1.576454473854243,19.855172295698697,60.0,1.3802702234438124,0.1576454473854243,-2.063612418961186,9.621560770454032,0.935989761758937,2,-2.063612418961186,4,1,1,1,1
2022-04,10,3.269231508441151,47.763472338325215,70.0,2.04623162974089,0.3269231508441151,-2.0835158693342697,22.924458143717775,0.8933015896816964,2,-2.0835158693342697,5,1,1,1,1
2022-05,6,-0.40632625237308073,-8.730039039956926,50.0,0.8711601389427591,-0.06772104206218012,-2.079818479539175,-4.197500467392347,1.1554085550768025,2,-2.079818479539175,3,0,1,0,1
2022-06,10,3.1647201765340114,38.53046814930159,70.0,1.954133075804508,0.31647201765340116,-2.2543317413619546,17.091747164959585,0.961807641024483,2,-2.2543317413619546,4,1,1,1,1
2022-07,8,-0.6207615966435199,-8.097613327644488,50.0,0.8551667843656298,-0.07759519958043999,-3.2546810141728537,-2.4879898498140287,1.7840784471345776,3,-3.2546810141728537,2,0,1,0,1
2022-08,15,-0.051883570512921695,-0.6534646251670568,53.333333333333336,0.993019820601385,-0.003458904700861446,-2.8461346321340932,-0.22959722909421013,1.5920747817172802,2,-2.188365537485832,2,0,1,0,1
2022-09,10,2.372694275922047,30.95094943859028,60.0,1.7162321938390466,0.2372694275922047,-1.1740075484486296,26.363501222364228,0.6113181690747709,1,-1.081874537018986,3,1,1,1,1
2022-10,9,2.4797263405172547,43.12952599399654,66.66666666666666,1.7940675809068798,0.27552514894636165,-1.1168075483218907,38.61858389012748,0.6250351923310732,1,-1.0514302507837,4,1,1,1,1
2022-11,7,1.6672032241165504,22.553554726243334,71.42857142857143,1.7827813280214289,0.2381718891595072,-1.0880576987588093,20.728270892224806,0.5747636339115112,1,-1.0880576987588093,4,1,1,1,1
2022-12,7,4.410966050761203,59.670568520019614,85.71428571428571,5.1023013154530155,0.6301380072516005,-1.075241848799715,55.495020572933846,0.41398542444897235,1,-1.075241848799715,4,1,1,1,1
2023-01,13,2.144905714275203,29.015807857000663,61.53846153846154,1.4060832878168272,0.1649927472519387,-2.1418728972950625,13.546932637153338,0.9440773372775613,2,-2.1418728972950625,2,1,1,1,1
2023-02,5,0.6729804334100653,10.24192097095943,60.0,1.320354245758475,0.13459608668201306,-2.1007382993058457,4.875391177636788,1.0474175419490785,2,-2.1007382993058457,3,1,1,1,1
2023-03,10,1.274641763108897,19.398454332313527,60.0,1.291150514828965,0.12746417631088972,-2.3533552445125028,8.242892515928641,1.0795499740447845,2,-2.2023259053973687,3,1,1,1,1
2023-04,5,4.580656808823871,72.74282171403996,100.0,inf,0.9161313617647743,0.8657374848155417,inf,0.0,0,0.0,5,1,1,1,1
2023-05,10,3.170781985811628,44.54338924298835,70.0,1.9641614282851365,0.3170781985811628,-1.2406643186231316,35.90285347483987,0.645710707804768,1,-1.125425550976528,3,1,1,1,1
2023-06,9,2.216218301953421,33.728072282853624,66.66666666666666,1.6571685251742143,0.24624647799482455,-1.2922482779904014,26.100303523178034,0.7020343792022917,1,-1.1558672901358225,4,1,1,1,1
2023-07,7,0.36340577127204066,5.771041650309255,57.14285714285714,1.1107564187231527,0.05191511018172009,-2.1563043720607524,2.676357626077595,1.0062928784665954,2,-2.1563043720607524,4,1,1,1,1
