zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped,winner,entry_ny_hour,entry_weekday,entry_session,trend_ema50_200,atr_pct_rank_500,vol_regime,orb30_state,orb15_state,orb30_width_atr,entry_close_location,entry_ema8_distance_atr,entry_ema20_distance_atr,profile_complete,profile_location,volume_node,zone_contains_poc,zone_overlaps_value,poc_distance_r,zone_volume_percentile,ob_overlap_30d,ob_fvg_bos_overlap_30d,ob_min_discount_position_30d,recent_fvg_20,zone_fvg_overlap_100,opposite_fvg_20,dir_demand,dir_supply,cost_le_0p03,cost_le_0p05,risk_ge_10,risk_ge_15,fast_confirm_1,fast_confirm_2,fast_confirm_3,body_ge_45,body_ge_60,body_ge_70,h1_stack_96,h1_stack_30d,intraday_stack_24h,intraday_stack_7d,stack_score3,stack_7d30d_score3,trend_aligned,orb_continuation,orb_reversal,orb_inside,vp_lvn,vp_hvn,vp_value_low,vp_value_high,vp_below_value,vp_above_value,ob_quality,tight_zone,wide_zone,impulse_ge_1p5,impulse_ge_2,base_body_low,base_body_high,ny_main_or_overlap,avoid_after_hours,ema8_aligned
9501,15min,m15_2c_1atr,supply,1835.96,1830.03,2022-05-17 15:30:00+00:00,2022-05-17 14:30:00+00:00,2022-05-17 14:45:00+00:00,2022-05-17 15:15:00+00:00,3,1.3794700282994294,2.1358374067404333,0.8145025295109402,2022-05-17 15:30:00+00:00,2022-05-17 15:35:00+00:00,1828.81,1836.4405714285715,7.630571428571557,0.0,True,188429,188430,0,1828.81,0.7099697885196417,2.825476466843844,0.7024375631856865,2.153180814018739,1.0,tp1,2022,2022-05,2022-05-17,0.0393155352529292,0.9606844647470708,0.03-0.05R,2,2,2,0.0455311973018514,5,3,2,0.4536256323777446,0,0,0.0,4,4,0.0472175379426593,True,True,True,False,True,2,2,13,7,True,11,Tuesday,london_ny_overlap,bull,0.642,mid,above,above,1.269903869854589,0.75064935064935,-0.2421245783001601,0.3216455075034542,True,value_high_half,lvn,False,True,0.7528925000935814,0.2222222222222222,True,True,0.3559718969555007,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True
9766,15min,m15_2c_1atr,demand,1820.59,1809.05,2022-06-14 01:45:00+00:00,2022-06-14 01:00:00+00:00,2022-06-14 01:15:00+00:00,2022-06-14 01:30:00+00:00,2,1.274002806173575,3.2383243134896755,0.2746967071057067,2022-06-14 01:45:00+00:00,2022-06-14 01:55:00+00:00,1821.11,1808.6967142857145,12.41328571428562,0.0,True,193739,193740,1,1821.11,0.6930693069305192,0.8394231986466235,1.0077911914653723,-0.8225058405164881,-1.0,stop,2022,2022-06,2022-06-14,0.0241676544715916,-1.0241676544715916,<=0.03R,1,1,1,0.0987868284228662,1,1,1,0.0987868284228662,0,0,0.0,9,4,0.523396880415943,True,True,True,False,True,1,1,19,5,False,21,Monday,after_hours,bear,0.906,high,below,below,1.0549494949495049,0.6714285714286758,0.2012269350432863,-0.677146486781487,True,below_value,lvn,False,False,-3.377832506646136,0.1395348837209302,False,False,,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
9787,15min,m15_2c_1atr,demand,1815.25,1813.22,2022-06-15 08:45:00+00:00,2022-06-15 08:00:00+00:00,2022-06-15 08:15:00+00:00,2022-06-15 08:30:00+00:00,2,2.4591304347825376,1.2356521739130024,0.4679802955665311,2022-06-15 21:00:00+00:00,2022-06-15 21:10:00+00:00,1818.98,1812.707,6.272999999999911,12.25,True,194246,194247,1,1818.92,0.9080068143100593,5.383389128009001,0.5356288857006496,5.109198150805103,1.0,tp1,2022,2022-06,2022-06-15,0.0478240076518419,0.952175992348158,0.03-0.05R,3,3,2,1.0,4,4,2,1.0,2,1,0.9310344827586824,6,2,1.0,True,True,True,True,True,7,7,16,7,True,17,Wednesday,after_hours,bear,0.794,high,below,below,0.845152603231616,0.6725838264299898,0.0453700637580503,-0.4326473549822777,True,value_low_half,mid_volume,False,True,-1.0385780328391463,0.6031746031746031,False,False,,False,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True
9932,15min,m15_2c_1atr,supply,1823.62,1817.92,2022-06-30 16:45:00+00:00,2022-06-30 15:45:00+00:00,2022-06-30 16:00:00+00:00,2022-06-30 16:30:00+00:00,3,1.1311768754301326,1.098417068134867,0.3894736842105435,2022-06-30 16:50:00+00:00,2022-06-30 17:00:00+00:00,1817.07,1824.1644285714283,7.09442857142858,0.0833333333333333,True,197186,197187,1,1817.03,0.8631578947368534,4.592336038339929,0.138136565916919,2.090372727089655,1.0,tp1,2022,2022-06,2022-06-30,0.0422867038521173,0.9577132961478828,0.03-0.05R,6,4,2,0.4210526315789368,21,4,2,0.492982456140357,4,3,0.4438596491228164,7,3,0.8456140350877351,True,True,True,True,True,14,7,35,7,True,13,Thursday,ny_main,bear,1.0,high,above,above,0.422634605331932,0.3626373626373578,-0.0290301755251514,0.2495080159715732,True,above_value,mid_volume,False,True,0.5666418316183693,0.7209302325581395,True,False,0.208655332302929,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True
10063,15min,m15_2c_1atr,demand,1704.22,1697.98,2022-07-14 17:45:00+00:00,2022-07-14 17:00:00+00:00,2022-07-14 17:15:00+00:00,2022-07-14 17:30:00+00:00,2,1.2836300361397266,1.169321375987155,0.1201923076923075,2022-07-14 18:25:00+00:00,2022-07-14 18:35:00+00:00,1707.72,1697.4488571428572,10.271142857142875,0.6666666666666666,True,199921,199922,1,1707.72,0.8567164179105063,0.8606637180449985,0.8421652897159938,-0.3115524771203687,-0.3115524771203687,time,2022,2022-07,2022-07-14,0.0292080447300341,-0.3407605218504029,<=0.03R,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,False,False,False,False,False,0,0,0,0,False,14,Thursday,ny_main,bear,0.978,high,below,below,0.6915535444947326,0.896511627906964,0.8378028445089223,0.5391025222193914,True,below_value,mid_volume,False,False,-2.6433280480681005,0.2906976744186046,False,False,,False,False,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True
10837,15min,m15_2c_1atr,supply,1658.52,1655.84,2022-09-29 05:00:00+00:00,2022-09-29 04:15:00+00:00,2022-09-29 04:30:00+00:00,2022-09-29 04:45:00+00:00,2,1.4100318471337872,1.49363057324849,0.869402985074579,2022-09-29 15:25:00+00:00,2022-09-29 15:35:00+00:00,1649.05,1658.984,9.933999999999967,10.416666666666666,True,215020,215021,1,1649.23,0.9516837481698492,0.4529897322327375,1.059995973424603,-1.8300785182202657,-1.0,stop,2022,2022-09,2022-09-29,0.0301993154821824,-1.0301993154821825,0.03-0.05R,7,4,2,1.0,9,4,2,1.0,0,0,0.0,1,1,0.1567164179104712,True,True,True,False,True,7,3,11,5,False,11,Thursday,london_ny_overlap,bull,0.716,high,above,above,0.9825581395349138,0.2940446650124236,-0.2154734128261443,0.1639245562648339,True,value_high_half,mid_volume,False,True,0.6976041876383994,0.3793103448275862,False,False,,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True
10895,15min,m15_2c_1atr,supply,1725.75,1722.47,2022-10-05 10:15:00+00:00,2022-10-05 09:30:00+00:00,2022-10-05 09:45:00+00:00,2022-10-05 10:00:00+00:00,2,1.2173913043478424,1.349001175088122,0.7530487804878194,2022-10-05 10:15:00+00:00,2022-10-05 10:20:00+00:00,1719.79,1726.1635714285717,6.373571428571495,0.0,True,216061,216062,0,1719.79,0.8921568627451198,3.0296985318838554,0.8990249915947486,0.345175389443016,1.0,tp1,2022,2022-10,2022-10-05,0.047069371287683,0.9529306287123168,0.03-0.05R,5,4,2,0.6249999999999913,5,4,2,0.6249999999999913,3,3,0.6676829268292905,8,4,1.0,True,True,True,True,True,11,7,21,7,True,6,Wednesday,asia_late,bull,0.622,mid,above,above,1.9405576012624877,0.223340040241473,-0.9382026806078708,-0.8185039362820868,True,above_value,hvn,False,True,2.409951809929391,0.9824561403508772,True,True,0.1919735208936734,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True
11002,15min,m15_2c_1atr,supply,1668.44,1664.2,2022-10-17 17:30:00+00:00,2022-10-17 16:30:00+00:00,2022-10-17 16:45:00+00:00,2022-10-17 17:15:00+00:00,3,1.2692874692874938,1.4584766584766682,0.4245283018867808,2022-10-17 17:40:00+00:00,2022-10-17 17:50:00+00:00,1662.57,1668.7865714285715,6.216571428571569,0.1666666666666666,True,218359,218360,1,1662.53,0.8144329896906612,2.692802647302082,0.2091184851548735,1.97375677911568,1.0,tp1,2022,2022-10,2022-10-17,0.0482581119588186,0.9517418880411812,0.03-0.05R,0,0,0,0.0,25,4,2,0.9363207547169856,4,4,0.0778301886792815,11,4,0.5235849056603826,False,True,False,True,True,8,4,47,7,True,13,Monday,ny_main,bear,0.812,high,above,above,1.6004545454546173,0.1812080536912618,-0.4562824710832917,0.141940454155082,True,above_value,mid_volume,False,False,1.4590035848883105,0.5102040816326531,True,True,0.1595547309833053,True,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True
11239,15min,m15_2c_1atr,supply,1722.38,1711.54,2022-11-09 17:45:00+00:00,2022-11-09 17:00:00+00:00,2022-11-09 17:15:00+00:00,2022-11-09 17:30:00+00:00,2,1.366936905181582,2.674656327106144,0.4252767527675127,2022-11-09 17:45:00+00:00,2022-11-09 17:55:00+00:00,1710.67,1723.092142857143,12.422142857142944,0.0,True,223052,223053,1,1710.67,0.6236559139784499,0.6850669886722962,1.925593697889687,-3.167730435282588,-1.0,stop,2022,2022-11,2022-11-09,0.0241504226323958,-1.024150422632396,<=0.03R,11,4,2,0.3957564575645669,11,4,2,0.3957564575645669,0,0,0.0,0,0,0.0,True,True,True,False,False,11,3,11,3,False,12,Wednesday,ny_main,bull,0.916,high,above,above,0.6636009904491994,0.6612903225806807,-0.0627815603824899,0.1810700428602874,True,above_value,mid_volume,True,True,0.419412339715945,0.4285714285714285,False,False,,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True
11617,15min,m15_2c_1atr,demand,1786.83,1785.24,2022-12-20 05:00:00+00:00,2022-12-20 04:15:00+00:00,2022-12-20 04:30:00+00:00,2022-12-20 04:45:00+00:00,2,1.4348046676813646,1.1293759512936994,0.8364779874213809,2022-12-20 05:00:00+00:00,2022-12-20 05:05:00+00:00,1792.24,1784.9287142857142,7.311285714285759,0.0,True,230817,230818,0,1792.3,0.8716094032549656,3.960999628753962,0.7180679575607138,3.121202055530561,1.0,tp1,2022,2022-12,2022-12-20,0.041032454717755,0.9589675452822448,0.03-0.05R,2,1,1,1.0,10,4,2,1.0,1,1,0.647798742138381,14,4,1.0,True,True,True,True,True,4,4,38,7,True,0,Tuesday,post_close,bear,0.626,mid,below,below,1.6444600280505588,0.7972251867662682,2.9796250462895806,3.3609649545212124,True,value_low_half,hvn,True,True,-0.0977940170773361,0.7666666666666667,True,True,0.4124668435013327,True,True,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True
11795,15min,m15_2c_1atr,supply,1852.57,1847.58,2023-01-06 16:30:00+00:00,2023-01-06 15:45:00+00:00,2023-01-06 16:00:00+00:00,2023-01-06 16:15:00+00:00,2,1.5179789784252076,1.2882168541397876,0.8176352705411116,2023-01-06 16:30:00+00:00,2023-01-06 16:40:00+00:00,1845.76,1853.3418571428572,7.581857142857189,0.0,True,233992,233993,1,1845.79,0.6403061224489653,0.6660637235505713,1.1764927552616231,-3.665328886627825,-1.0,stop,2023,2023-01,2023-01-06,0.0395681419931036,-1.0395681419931035,0.03-0.05R,0,0,0,0.0,17,4,2,0.4909819639278183,5,4,0.7494989979959924,5,4,0.7494989979959924,False,True,False,True,True,10,4,27,7,False,11,Friday,london_ny_overlap,bear,0.972,high,above,above,0.6077913502806489,0.0707070707070918,-0.3902933843339943,0.2118580081229426,True,above_value,mid_volume,False,False,1.7574849735269942,0.3703703703703703,True,False,0.1436403508771869,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True
