cfg_id,lb,hold_h,ext,sl_buf,session,regime,direction,ptp,n,net_R,PF,MAR,WR_pct,pos_years,dollar_pnl,error
lb3_h2_ext1.0_sl0.1_all_bear_strong_long_ptpnone,3,2,1.0,0.1,all,bear_strong,long,,3531,-171.0,0.895,-0.039,42.42,5/14,-12822.0,
lb3_h2_ext1.0_sl0.1_all_bear_strong_long_ptp1.0,3,2,1.0,0.1,all,bear_strong,long,1.0,3531,559.0,1.415,1.099,50.33,11/14,41924.0,
lb3_h2_ext1.0_sl0.1_all_bear_strong_long_ptp2.0,3,2,1.0,0.1,all,bear_strong,long,2.0,3531,409.3,1.265,0.648,44.55,12/14,30698.0,
lb3_h2_ext1.0_sl0.1_all_bear_strong_short_ptpnone,3,2,1.0,0.1,all,bear_strong,short,,3387,-240.6,0.848,-0.048,41.95,2/14,-18042.0,
lb3_h2_ext1.0_sl0.1_all_bear_strong_short_ptp1.0,3,2,1.0,0.1,all,bear_strong,short,1.0,3387,428.6,1.323,0.707,49.45,12/14,32144.0,
lb3_h2_ext1.0_sl0.1_all_bear_strong_short_ptp2.0,3,2,1.0,0.1,all,bear_strong,short,2.0,3387,300.3,1.199,0.342,44.05,10/14,22523.0,
lb3_h2_ext1.0_sl0.1_london_any_long_ptpnone,3,2,1.0,0.1,london,any,long,,5153,38.4,1.016,0.01,43.68,11/21,2880.0,
lb3_h2_ext1.0_sl0.1_london_any_long_ptp1.0,3,2,1.0,0.1,london,any,long,1.0,5153,1180.6,1.578,1.835,52.86,21/21,88546.0,
lb3_h2_ext1.0_sl0.1_london_any_long_ptp2.0,3,2,1.0,0.1,london,any,long,2.0,5153,1005.7,1.432,1.395,46.23,21/21,75425.0,
lb3_h2_ext1.0_sl0.1_london_any_short_ptpnone,3,2,1.0,0.1,london,any,short,,5165,85.9,1.035,0.027,43.18,13/21,6444.0,
lb3_h2_ext1.0_sl0.1_london_any_short_ptp1.0,3,2,1.0,0.1,london,any,short,1.0,5165,1276.5,1.638,2.324,52.41,21/21,95739.0,
lb3_h2_ext1.0_sl0.1_london_any_short_ptp2.0,3,2,1.0,0.1,london,any,short,2.0,5165,1128.2,1.489,1.531,45.69,20/21,84614.0,
