rule,k,entry_off,sl_buf,tp_r,session,ctx,n,per_yr,pf,mar,wr,pos_years,gate_pass
15min,2,0.1,0.1,1.0,kz,off,938,140,0.497,-0.15,0.571,0/8,False
15min,2,0.1,0.1,1.0,kz,down,349,52,0.438,-0.15,0.542,0/8,False
15min,2,0.1,0.1,1.5,all,up,1085,162,0.64,-0.15,0.516,0/8,False
15min,2,0.1,0.1,1.5,all,off,1735,259,0.652,-0.15,0.519,0/8,False
15min,2,0.1,0.1,1.5,all,down,650,98,0.672,-0.14,0.523,0/8,False
15min,2,0.1,0.1,1.5,kz,up,589,88,0.791,-0.12,0.56,1/8,False
15min,2,0.1,0.1,1.5,kz,off,938,140,0.749,-0.14,0.547,1/8,False
15min,2,0.1,0.1,1.5,kz,down,349,52,0.682,-0.14,0.524,1/8,False
15min,2,0.1,0.1,2.0,all,up,1085,162,0.803,-0.14,0.47,0/8,False
15min,2,0.1,0.1,2.0,all,off,1735,259,0.818,-0.14,0.476,0/8,False
15min,2,0.1,0.1,2.0,all,down,650,98,0.845,-0.12,0.485,1/8,False
15min,2,0.1,0.1,2.0,kz,up,589,88,0.981,-0.03,0.514,5/8,False
15min,2,0.1,0.1,2.0,kz,off,938,140,0.933,-0.09,0.502,3/8,False
15min,2,0.1,0.1,2.0,kz,down,349,52,0.857,-0.11,0.481,1/8,False
15min,2,0.1,0.1,3.0,all,up,1085,162,0.953,-0.07,0.387,3/8,False
15min,2,0.1,0.1,3.0,all,off,1735,259,0.978,-0.06,0.393,3/8,False
15min,2,0.1,0.1,3.0,all,down,650,98,1.022,0.06,0.402,5/8,False
15min,2,0.1,0.1,3.0,kz,up,589,88,1.176,0.39,0.433,6/8,False
15min,2,0.1,0.1,3.0,kz,off,938,140,1.147,0.44,0.425,6/8,False
15min,2,0.1,0.1,3.0,kz,down,349,52,1.098,0.17,0.413,5/8,False
15min,2,0.1,0.25,1.0,all,up,1186,177,0.563,-0.15,0.525,0/8,False
15min,2,0.1,0.25,1.0,all,off,1902,284,0.578,-0.15,0.533,0/8,False
15min,2,0.1,0.25,1.0,all,down,716,108,0.605,-0.15,0.545,0/8,False
15min,2,0.1,0.25,1.0,kz,up,647,97,0.679,-0.15,0.564,0/8,False
15min,2,0.1,0.25,1.0,kz,off,1033,154,0.669,-0.15,0.561,0/8,False
15min,2,0.1,0.25,1.0,kz,down,386,58,0.652,-0.14,0.557,2/8,False
15min,2,0.1,0.25,1.5,all,up,1186,177,0.711,-0.15,0.452,0/8,False
15min,2,0.1,0.25,1.5,all,off,1902,284,0.732,-0.15,0.459,0/8,False
15min,2,0.1,0.25,1.5,all,down,716,108,0.77,-0.14,0.471,0/8,False
15min,2,0.1,0.25,1.5,kz,up,647,97,0.865,-0.14,0.495,2/8,False
15min,2,0.1,0.25,1.5,kz,off,1033,154,0.844,-0.14,0.488,1/8,False
15min,2,0.1,0.25,1.5,kz,down,386,58,0.81,-0.12,0.477,1/8,False
15min,2,0.1,0.25,2.0,all,up,1186,177,0.797,-0.14,0.393,0/8,False
15min,2,0.1,0.25,2.0,all,off,1902,284,0.83,-0.14,0.402,0/8,False
15min,2,0.1,0.25,2.0,all,down,716,108,0.887,-0.12,0.418,2/8,False
15min,2,0.1,0.25,2.0,kz,up,647,97,0.965,-0.05,0.434,3/8,False
15min,2,0.1,0.25,2.0,kz,off,1033,154,0.977,-0.05,0.437,3/8,False
15min,2,0.1,0.25,2.0,kz,down,386,58,0.996,-0.0,0.44,4/8,False
15min,2,0.1,0.25,3.0,all,up,1186,177,0.879,-0.13,0.309,2/8,False
15min,2,0.1,0.25,3.0,all,off,1902,284,0.907,-0.13,0.315,3/8,False
15min,2,0.1,0.25,3.0,all,down,716,108,0.956,-0.1,0.325,3/8,False
15min,2,0.1,0.25,3.0,kz,up,647,97,1.015,0.02,0.337,4/8,False
15min,2,0.1,0.25,3.0,kz,off,1033,154,1.064,0.22,0.347,5/8,False
15min,2,0.1,0.25,3.0,kz,down,386,58,1.151,0.39,0.363,7/8,False
15min,2,0.25,0.05,1.0,all,up,1299,194,0.535,-0.15,0.536,0/8,False
15min,2,0.25,0.05,1.0,all,off,2086,311,0.542,-0.15,0.539,0/8,False
15min,2,0.25,0.05,1.0,all,down,787,118,0.553,-0.15,0.544,0/8,False
15min,2,0.25,0.05,1.0,kz,up,693,103,0.599,-0.15,0.558,0/8,False
15min,2,0.25,0.05,1.0,kz,off,1113,166,0.581,-0.15,0.551,0/8,False
15min,2,0.25,0.05,1.0,kz,down,420,63,0.552,-0.15,0.538,0/8,False
15min,2,0.25,0.05,1.5,all,up,1299,194,0.697,-0.15,0.464,0/8,False
15min,2,0.25,0.05,1.5,all,off,2086,311,0.708,-0.15,0.468,0/8,False
15min,2,0.25,0.05,1.5,all,down,787,118,0.725,-0.14,0.474,1/8,False
15min,2,0.25,0.05,1.5,kz,up,693,103,0.784,-0.14,0.491,0/8,False
15min,2,0.25,0.05,1.5,kz,off,1113,166,0.763,-0.14,0.482,0/8,False
15min,2,0.25,0.05,1.5,kz,down,420,63,0.728,-0.14,0.469,2/8,False
15min,2,0.25,0.05,2.0,all,up,1299,194,0.781,-0.14,0.403,1/8,False
15min,2,0.25,0.05,2.0,all,off,2086,311,0.802,-0.14,0.408,1/8,False
15min,2,0.25,0.05,2.0,all,down,787,118,0.837,-0.13,0.418,3/8,False
15min,2,0.25,0.05,2.0,kz,up,693,103,0.862,-0.13,0.423,2/8,False
15min,2,0.25,0.05,2.0,kz,off,1113,166,0.853,-0.13,0.42,3/8,False
15min,2,0.25,0.05,2.0,kz,down,420,63,0.839,-0.13,0.414,2/8,False
15min,2,0.25,0.05,3.0,all,up,1299,194,0.907,-0.12,0.327,3/8,False
15min,2,0.25,0.05,3.0,all,off,2086,311,0.922,-0.12,0.33,3/8,False
15min,2,0.25,0.05,3.0,all,down,787,118,0.947,-0.1,0.334,3/8,False
15min,2,0.25,0.05,3.0,kz,up,693,103,0.972,-0.05,0.339,5/8,False
15min,2,0.25,0.05,3.0,kz,off,1113,166,0.979,-0.07,0.34,4/8,False
15min,2,0.25,0.05,3.0,kz,down,420,63,0.991,-0.02,0.34,3/8,False
15min,2,0.25,0.1,1.0,all,up,1318,197,0.58,-0.15,0.529,0/8,False
15min,2,0.25,0.1,1.0,all,off,2117,316,0.579,-0.15,0.529,0/8,False
15min,2,0.25,0.1,1.0,all,down,799,120,0.578,-0.15,0.529,0/8,False
15min,2,0.25,0.1,1.0,kz,up,701,105,0.687,-0.15,0.566,0/8,False
15min,2,0.25,0.1,1.0,kz,off,1128,168,0.647,-0.15,0.552,0/8,False
15min,2,0.25,0.1,1.0,kz,down,427,64,0.587,-0.15,0.529,0/8,False
15min,2,0.25,0.1,1.5,all,up,1318,197,0.713,-0.15,0.45,0/8,False
15min,2,0.25,0.1,1.5,all,off,2117,316,0.727,-0.14,0.454,1/8,False
15min,2,0.25,0.1,1.5,all,down,799,120,0.75,-0.14,0.461,1/8,False
15min,2,0.25,0.1,1.5,kz,up,701,105,0.813,-0.14,0.478,1/8,False
15min,2,0.25,0.1,1.5,kz,off,1128,168,0.798,-0.14,0.473,1/8,False
15min,2,0.25,0.1,1.5,kz,down,427,64,0.774,-0.13,0.464,2/8,False
15min,2,0.25,0.1,2.0,all,up,1318,197,0.788,-0.14,0.388,1/8,False
15min,2,0.25,0.1,2.0,all,off,2117,316,0.808,-0.14,0.393,1/8,False
15min,2,0.25,0.1,2.0,all,down,799,120,0.842,-0.13,0.402,1/8,False
15min,2,0.25,0.1,2.0,kz,up,701,105,0.852,-0.12,0.402,3/8,False
15min,2,0.25,0.1,2.0,kz,off,1128,168,0.858,-0.13,0.403,2/8,False
15min,2,0.25,0.1,2.0,kz,down,427,64,0.869,-0.12,0.405,2/8,False
15min,2,0.25,0.1,3.0,all,up,1318,197,0.933,-0.09,0.321,3/8,False
15min,2,0.25,0.1,3.0,all,off,2117,316,0.941,-0.1,0.322,4/8,False
15min,2,0.25,0.1,3.0,all,down,799,120,0.956,-0.08,0.323,4/8,False
15min,2,0.25,0.1,3.0,kz,up,701,105,0.995,-0.01,0.332,5/8,False
15min,2,0.25,0.1,3.0,kz,off,1128,168,0.998,-0.0,0.332,5/8,False
15min,2,0.25,0.1,3.0,kz,down,427,64,1.003,0.01,0.33,4/8,False
15min,2,0.25,0.25,1.0,all,up,1370,204,0.616,-0.15,0.499,0/8,False
