rule,k,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,1.0,3R,1,"(1,)",704,105,1.124,62.7,0.21,0.332,-44.1,6/8,2.9,False
15min,3,1.0,3R,1,"(-1,)",513,77,0.956,-17.1,-0.06,0.287,-45.8,3/8,2.9,False
15min,3,1.0,3R,1,"(1, -1)",1217,182,1.051,45.6,0.09,0.313,-78.9,5/8,2.9,False
15min,4,0.1,2R,0,"(1,)",664,99,0.972,-10.8,-0.01,0.598,-114.4,3/8,1.47,False
15min,4,0.1,2R,0,"(-1,)",723,108,0.741,-126.5,-0.13,0.533,-147.7,1/8,1.47,False
15min,4,0.1,2R,0,"(1, -1)",1387,207,0.844,-137.3,-0.09,0.564,-228.7,3/8,1.47,False
15min,4,0.1,2R,1,"(1,)",354,53,0.938,-13.5,-0.03,0.588,-61.9,3/8,1.48,False
15min,4,0.1,2R,1,"(-1,)",264,40,0.85,-24.9,-0.09,0.572,-41.4,2/8,1.47,False
15min,4,0.1,2R,1,"(1, -1)",618,92,0.9,-38.4,-0.06,0.581,-97.5,3/8,1.48,False
15min,4,0.1,3R,0,"(1,)",664,99,1.354,163.0,0.49,0.545,-50.1,5/8,2.29,False
15min,4,0.1,3R,0,"(-1,)",723,108,0.982,-10.6,-0.02,0.47,-64.2,4/8,2.29,False
15min,4,0.1,3R,0,"(1, -1)",1387,207,1.146,152.3,0.25,0.506,-91.6,6/8,2.29,False
15min,4,0.1,3R,1,"(1,)",354,53,1.344,86.1,0.41,0.537,-31.5,5/8,2.3,False
15min,4,0.1,3R,1,"(-1,)",264,40,1.178,35.3,0.33,0.519,-16.1,7/8,2.3,False
15min,4,0.1,3R,1,"(1, -1)",618,92,1.27,121.4,0.58,0.529,-31.2,6/8,2.3,False
15min,4,0.25,2R,0,"(1,)",817,122,1.026,14.5,0.03,0.461,-78.3,3/8,1.76,False
15min,4,0.25,2R,0,"(-1,)",869,130,0.802,-128.1,-0.13,0.403,-143.4,2/8,1.76,False
15min,4,0.25,2R,0,"(1, -1)",1686,251,0.905,-113.6,-0.09,0.431,-182.8,4/8,1.76,False
15min,4,0.25,2R,1,"(1,)",440,66,0.999,-0.4,-0.0,0.452,-60.4,3/8,1.76,False
15min,4,0.25,2R,1,"(-1,)",321,48,1.038,8.2,0.06,0.467,-21.7,4/8,1.76,False
15min,4,0.25,2R,1,"(1, -1)",761,114,1.015,7.8,0.02,0.459,-66.3,4/8,1.76,False
15min,4,0.25,3R,0,"(1,)",817,122,1.189,118.8,0.46,0.383,-38.5,5/8,2.67,False
15min,4,0.25,3R,0,"(-1,)",869,130,0.917,-61.0,-0.1,0.323,-93.7,3/8,2.68,False
15min,4,0.25,3R,0,"(1, -1)",1686,251,1.042,57.8,0.1,0.352,-89.0,5/8,2.67,False
15min,4,0.25,3R,1,"(1,)",440,66,1.211,71.6,0.22,0.384,-48.9,5/8,2.69,False
15min,4,0.25,3R,1,"(-1,)",321,48,1.155,39.0,0.35,0.377,-16.9,5/8,2.68,False
15min,4,0.25,3R,1,"(1, -1)",761,114,1.188,110.6,0.35,0.381,-46.8,5/8,2.68,False
15min,4,0.5,2R,0,"(1,)",909,136,1.025,15.5,0.04,0.403,-59.4,3/8,1.87,False
15min,4,0.5,2R,0,"(-1,)",959,143,0.721,-205.3,-0.14,0.321,-218.3,0/8,1.87,False
15min,4,0.5,2R,0,"(1, -1)",1868,279,0.859,-189.9,-0.13,0.361,-217.9,1/8,1.87,False
15min,4,0.5,2R,1,"(1,)",488,73,1.069,22.6,0.08,0.41,-42.2,4/8,1.87,False
15min,4,0.5,2R,1,"(-1,)",357,54,0.812,-49.5,-0.12,0.347,-59.6,2/8,1.87,False
15min,4,0.5,2R,1,"(1, -1)",845,126,0.955,-26.8,-0.06,0.383,-72.2,4/8,1.87,False
15min,4,0.5,3R,0,"(1,)",909,136,1.079,56.0,0.12,0.319,-67.2,4/8,2.83,False
15min,4,0.5,3R,0,"(-1,)",959,143,0.814,-149.8,-0.13,0.259,-167.9,3/8,2.83,False
15min,4,0.5,3R,0,"(1, -1)",1868,279,0.938,-93.8,-0.09,0.288,-148.2,1/8,2.83,False
15min,4,0.5,3R,1,"(1,)",488,73,1.142,52.7,0.2,0.33,-38.4,5/8,2.83,False
15min,4,0.5,3R,1,"(-1,)",357,54,0.88,-35.2,-0.1,0.272,-51.1,3/8,2.83,False
15min,4,0.5,3R,1,"(1, -1)",845,126,1.026,17.5,0.03,0.305,-80.7,4/8,2.83,False
15min,4,1.0,2R,0,"(1,)",950,142,1.08,48.3,0.21,0.399,-34.2,5/8,1.93,False
15min,4,1.0,2R,0,"(-1,)",1000,149,0.8,-143.2,-0.13,0.324,-158.9,2/8,1.93,False
15min,4,1.0,2R,0,"(1, -1)",1950,291,0.928,-94.8,-0.12,0.361,-117.4,1/8,1.93,False
15min,4,1.0,2R,1,"(1,)",510,76,1.08,26.0,0.09,0.396,-45.4,6/8,1.93,False
15min,4,1.0,2R,1,"(-1,)",371,56,0.827,-45.4,-0.12,0.332,-57.1,2/8,1.94,False
15min,4,1.0,2R,1,"(1, -1)",881,131,0.967,-19.4,-0.04,0.369,-79.8,5/8,1.93,False
15min,4,1.0,3R,0,"(1,)",950,142,1.203,131.4,0.81,0.357,-24.2,6/8,2.91,False
15min,4,1.0,3R,0,"(-1,)",1000,149,0.846,-118.4,-0.13,0.273,-134.1,3/8,2.91,False
15min,4,1.0,3R,0,"(1, -1)",1950,291,1.009,13.0,0.03,0.314,-67.5,4/8,2.91,False
15min,4,1.0,3R,1,"(1,)",510,76,1.218,75.3,0.24,0.357,-46.4,6/8,2.91,False
15min,4,1.0,3R,1,"(-1,)",371,56,0.918,-22.8,-0.09,0.291,-37.5,3/8,2.91,False
15min,4,1.0,3R,1,"(1, -1)",881,131,1.084,52.5,0.1,0.329,-78.5,5/8,2.91,False
1h,2,0.1,2R,0,"(1,)",165,25,1.179,17.2,0.16,0.594,-16.0,6/8,1.59,False
1h,2,0.1,2R,0,"(-1,)",183,28,0.763,-30.8,-0.12,0.497,-41.0,3/8,1.56,False
1h,2,0.1,2R,0,"(1, -1)",348,52,0.94,-13.6,-0.06,0.543,-36.2,2/8,1.57,False
1h,2,0.1,2R,1,"(1,)",83,13,1.29,13.3,0.38,0.602,-5.4,7/8,1.6,False
1h,2,0.1,2R,1,"(-1,)",66,10,0.598,-21.9,-0.12,0.439,-29.2,3/8,1.57,False
1h,2,0.1,2R,1,"(1, -1)",149,22,0.914,-8.6,-0.05,0.53,-25.3,3/8,1.59,False
1h,2,0.1,3R,0,"(1,)",165,25,1.568,63.7,0.79,0.527,-12.3,7/8,2.45,False
1h,2,0.1,3R,0,"(-1,)",183,28,0.926,-11.3,-0.06,0.415,-30.1,4/8,2.42,False
1h,2,0.1,3R,0,"(1, -1)",348,52,1.197,52.4,0.59,0.468,-13.3,6/8,2.43,False
1h,2,0.1,3R,1,"(1,)",83,13,1.726,39.1,0.96,0.542,-6.3,7/8,2.47,False
1h,2,0.1,3R,1,"(-1,)",66,10,0.819,-10.9,-0.07,0.379,-23.4,3/8,2.43,False
1h,2,0.1,3R,1,"(1, -1)",149,22,1.246,28.1,0.25,0.47,-16.9,6/8,2.45,False
1h,2,0.25,2R,0,"(1,)",200,30,1.247,31.0,0.3,0.475,-15.6,7/8,1.82,False
1h,2,0.25,2R,0,"(-1,)",219,34,0.777,-36.4,-0.12,0.37,-45.5,3/8,1.8,False
1h,2,0.25,2R,0,"(1, -1)",419,62,0.981,-5.4,-0.02,0.42,-32.8,4/8,1.81,False
1h,2,0.25,2R,1,"(1,)",100,15,1.356,21.4,0.49,0.49,-6.7,6/8,1.83,False
1h,2,0.25,2R,1,"(-1,)",78,12,0.92,-4.4,-0.03,0.41,-20.7,3/8,1.81,False
1h,2,0.25,2R,1,"(1, -1)",178,27,1.149,17.0,0.13,0.455,-19.9,5/8,1.82,False
1h,2,0.25,3R,0,"(1,)",200,30,1.094,14.8,0.12,0.335,-18.9,6/8,2.76,False
1h,2,0.25,3R,0,"(-1,)",219,34,0.867,-24.3,-0.11,0.292,-35.0,2/8,2.74,False
1h,2,0.25,3R,0,"(1, -1)",419,62,0.972,-9.6,-0.04,0.313,-35.6,4/8,2.75,False
1h,2,0.25,3R,1,"(1,)",100,15,1.144,11.2,0.11,0.34,-15.5,5/8,2.77,False
1h,2,0.25,3R,1,"(-1,)",78,12,0.935,-4.2,-0.03,0.308,-24.8,3/8,2.75,False
1h,2,0.25,3R,1,"(1, -1)",178,27,1.049,7.0,0.04,0.326,-29.5,5/8,2.76,False
1h,2,0.5,2R,0,"(1,)",215,33,1.064,9.0,0.07,0.4,-18.8,4/8,1.9,False
1h,2,0.5,2R,0,"(-1,)",233,36,0.783,-36.9,-0.14,0.326,-40.8,2/8,1.9,False
1h,2,0.5,2R,0,"(1, -1)",448,67,0.91,-27.8,-0.09,0.362,-44.2,2/8,1.9,False
1h,2,0.5,2R,1,"(1,)",107,16,1.11,7.6,0.06,0.402,-18.3,5/8,1.91,False
1h,2,0.5,2R,1,"(-1,)",83,13,0.862,-8.1,-0.08,0.349,-16.0,3/8,1.9,False
1h,2,0.5,2R,1,"(1, -1)",190,28,0.996,-0.5,-0.0,0.379,-27.4,4/8,1.91,False
1h,2,0.5,3R,0,"(1,)",215,33,1.127,20.2,0.14,0.321,-21.5,6/8,2.87,False
1h,2,0.5,3R,0,"(-1,)",233,36,0.891,-20.3,-0.1,0.266,-30.7,3/8,2.86,False
1h,2,0.5,3R,0,"(1, -1)",448,67,1.0,-0.1,-0.0,0.292,-30.9,4/8,2.87,False
1h,2,0.5,3R,1,"(1,)",107,16,1.029,2.3,0.02,0.299,-23.9,5/8,2.88,False
1h,2,0.5,3R,1,"(-1,)",83,13,1.116,7.2,0.08,0.313,-13.6,3/8,2.87,False
1h,2,0.5,3R,1,"(1, -1)",190,28,1.067,9.6,0.06,0.305,-24.5,3/8,2.87,False
1h,2,1.0,2R,0,"(1,)",221,33,1.071,9.4,0.07,0.416,-21.2,5/8,1.95,False
1h,2,1.0,2R,0,"(-1,)",241,37,0.841,-25.4,-0.14,0.353,-28.3,2/8,1.95,False
1h,2,1.0,2R,0,"(1, -1)",462,69,0.945,-16.0,-0.08,0.383,-28.9,2/8,1.95,False
1h,2,1.0,2R,1,"(1,)",109,17,1.262,15.8,0.22,0.45,-11.0,6/8,1.95,False
1h,2,1.0,2R,1,"(-1,)",84,13,1.002,0.1,0.0,0.393,-10.6,5/8,1.95,False
1h,2,1.0,2R,1,"(1, -1)",193,29,1.143,16.0,0.23,0.425,-10.3,5/8,1.95,False
1h,2,1.0,3R,0,"(1,)",221,33,1.262,35.1,0.25,0.403,-21.0,6/8,2.93,False
