rule,k,tp_mode,sl_buf,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,2R,0.05,1,"(1,)",6143,915,0.378,-3670.3,-0.15,0.379,-3731.4,1/8,1.18,False
15min,3,2R,0.05,1,"(-1,)",3893,580,0.343,-2537.8,-0.15,0.365,-2565.6,0/8,1.17,False
15min,3,2R,0.05,1,"(1, -1)",10036,1495,0.364,-6208.1,-0.15,0.373,-6286.2,1/8,1.18,False
15min,3,2R,0.1,0,"(1,)",10354,1542,0.386,-5980.0,-0.15,0.381,-6051.8,1/8,1.2,False
15min,3,2R,0.1,0,"(-1,)",9365,1395,0.337,-6211.4,-0.15,0.357,-6228.9,0/8,1.2,False
15min,3,2R,0.1,0,"(1, -1)",19719,2937,0.362,-12191.4,-0.15,0.369,-12259.6,1/8,1.2,False
15min,3,2R,0.1,1,"(1,)",6193,923,0.391,-3574.3,-0.15,0.382,-3640.8,1/8,1.2,False
15min,3,2R,0.1,1,"(-1,)",3923,584,0.359,-2466.5,-0.15,0.369,-2493.6,0/8,1.19,False
15min,3,2R,0.1,1,"(1, -1)",10116,1507,0.378,-6040.8,-0.15,0.377,-6126.6,1/8,1.2,False
15min,3,2R,0.25,0,"(1,)",10598,1579,0.426,-5545.5,-0.15,0.388,-5624.6,1/8,1.25,False
15min,3,2R,0.25,0,"(-1,)",9563,1424,0.377,-5755.3,-0.15,0.368,-5779.8,0/8,1.25,False
15min,3,2R,0.25,0,"(1, -1)",20161,3003,0.402,-11300.8,-0.15,0.378,-11385.3,1/8,1.25,False
15min,3,2R,0.25,1,"(1,)",6342,945,0.431,-3321.9,-0.15,0.389,-3397.5,1/8,1.25,False
15min,3,2R,0.25,1,"(-1,)",4008,597,0.401,-2264.5,-0.15,0.38,-2311.8,1/8,1.25,False
15min,3,2R,0.25,1,"(1, -1)",10350,1542,0.419,-5586.4,-0.15,0.385,-5705.5,1/8,1.25,False
15min,3,2R,0.5,0,"(1,)",10911,1625,0.483,-4927.3,-0.15,0.395,-5038.4,1/8,1.33,False
15min,3,2R,0.5,0,"(-1,)",9857,1468,0.427,-5237.8,-0.15,0.375,-5276.6,1/8,1.32,False
15min,3,2R,0.5,0,"(1, -1)",20768,3093,0.456,-10165.0,-0.15,0.386,-10278.4,1/8,1.32,False
15min,3,2R,0.5,1,"(1,)",6532,973,0.488,-2948.3,-0.14,0.395,-3057.1,1/8,1.32,False
15min,3,2R,0.5,1,"(-1,)",4132,615,0.456,-2035.1,-0.14,0.392,-2092.7,1/8,1.32,False
15min,3,2R,0.5,1,"(1, -1)",10664,1588,0.475,-4983.4,-0.14,0.394,-5144.5,1/8,1.32,False
15min,3,3R,0.05,0,"(1,)",10275,1530,0.567,-4407.9,-0.14,0.375,-4693.1,1/8,1.86,False
15min,3,3R,0.05,0,"(-1,)",9296,1385,0.5,-4879.5,-0.15,0.354,-4999.8,1/8,1.85,False
15min,3,3R,0.05,0,"(1, -1)",19571,2915,0.534,-9287.4,-0.14,0.365,-9673.9,1/8,1.86,False
15min,3,3R,0.05,1,"(1,)",6143,915,0.572,-2621.5,-0.14,0.375,-2836.8,1/8,1.86,False
15min,3,3R,0.05,1,"(-1,)",3893,580,0.534,-1860.5,-0.14,0.37,-1977.0,2/8,1.85,False
15min,3,3R,0.05,1,"(1, -1)",10036,1495,0.557,-4482.0,-0.14,0.373,-4805.2,1/8,1.86,False
15min,3,3R,0.1,0,"(1,)",10354,1542,0.581,-4262.2,-0.14,0.376,-4545.0,1/8,1.89,False
15min,3,3R,0.1,0,"(-1,)",9365,1395,0.52,-4659.0,-0.14,0.358,-4801.0,1/8,1.88,False
15min,3,3R,0.1,0,"(1, -1)",19719,2937,0.551,-8921.2,-0.14,0.367,-9327.3,1/8,1.89,False
15min,3,3R,0.1,1,"(1,)",6193,923,0.587,-2528.1,-0.14,0.376,-2748.0,1/8,1.89,False
15min,3,3R,0.1,1,"(-1,)",3923,584,0.556,-1763.7,-0.14,0.374,-1885.0,2/8,1.88,False
15min,3,3R,0.1,1,"(1, -1)",10116,1507,0.575,-4291.8,-0.14,0.375,-4625.9,1/8,1.88,False
15min,3,3R,0.25,0,"(1,)",10598,1579,0.621,-3848.0,-0.14,0.375,-4132.8,1/8,1.97,False
15min,3,3R,0.25,0,"(-1,)",9563,1424,0.557,-4279.0,-0.14,0.359,-4433.8,1/8,1.96,False
15min,3,3R,0.25,0,"(1, -1)",20161,3003,0.59,-8127.0,-0.14,0.367,-8548.5,1/8,1.96,False
15min,3,3R,0.25,1,"(1,)",6342,945,0.628,-2273.9,-0.14,0.375,-2489.3,1/8,1.97,False
15min,3,3R,0.25,1,"(-1,)",4008,597,0.596,-1596.8,-0.14,0.375,-1727.7,2/8,1.95,False
15min,3,3R,0.25,1,"(1, -1)",10350,1542,0.615,-3870.7,-0.14,0.375,-4212.6,1/8,1.96,False
15min,3,3R,0.5,0,"(1,)",10911,1625,0.683,-3203.3,-0.14,0.375,-3495.9,2/8,2.07,False
15min,3,3R,0.5,0,"(-1,)",9857,1468,0.604,-3827.3,-0.14,0.355,-4000.9,1/8,2.06,False
15min,3,3R,0.5,0,"(1, -1)",20768,3093,0.644,-7030.6,-0.14,0.365,-7476.4,1/8,2.07,False
15min,3,3R,0.5,1,"(1,)",6532,973,0.687,-1904.4,-0.13,0.374,-2123.1,1/8,2.07,False
15min,3,3R,0.5,1,"(-1,)",4132,615,0.649,-1386.7,-0.13,0.37,-1533.0,1/8,2.06,False
15min,3,3R,0.5,1,"(1, -1)",10664,1588,0.672,-3291.1,-0.13,0.373,-3649.4,1/8,2.07,False
15min,3,swing,0.05,0,"(1,)",10275,1530,0.395,-19400.2,-0.15,0.207,-19403.6,0/8,9.27,False
15min,3,swing,0.05,0,"(-1,)",9296,1385,0.425,-14302.4,-0.15,0.199,-14345.3,0/8,9.94,False
15min,3,swing,0.05,0,"(1, -1)",19571,2915,0.408,-33702.5,-0.15,0.203,-33734.7,0/8,9.59,False
15min,3,swing,0.05,1,"(1,)",6143,915,0.37,-13193.8,-0.15,0.208,-13192.0,0/8,9.05,False
15min,3,swing,0.05,1,"(-1,)",3893,580,0.372,-7210.7,-0.15,0.201,-7224.9,0/8,9.39,False
15min,3,swing,0.05,1,"(1, -1)",10036,1495,0.371,-20404.5,-0.15,0.205,-20410.1,0/8,9.18,False
15min,3,swing,0.1,0,"(1,)",10354,1542,0.395,-19136.0,-0.15,0.208,-19139.3,0/8,9.03,False
15min,3,swing,0.1,0,"(-1,)",9365,1395,0.423,-14170.2,-0.15,0.2,-14210.5,0/8,9.69,False
15min,3,swing,0.1,0,"(1, -1)",19719,2937,0.407,-33306.3,-0.15,0.204,-33337.0,0/8,9.34,False
15min,3,swing,0.1,1,"(1,)",6193,923,0.369,-13027.9,-0.15,0.208,-13026.0,0/8,8.81,False
15min,3,swing,0.1,1,"(-1,)",3923,584,0.37,-7134.7,-0.15,0.202,-7145.8,0/8,9.17,False
15min,3,swing,0.1,1,"(1, -1)",10116,1507,0.369,-20162.5,-0.15,0.206,-20167.9,0/8,8.95,False
15min,3,swing,0.25,0,"(1,)",10598,1579,0.397,-18204.5,-0.15,0.211,-18207.6,0/8,8.38,False
15min,3,swing,0.25,0,"(-1,)",9563,1424,0.427,-13458.9,-0.15,0.203,-13495.9,0/8,9.05,False
15min,3,swing,0.25,0,"(1, -1)",20161,3003,0.41,-31663.5,-0.15,0.207,-31690.6,0/8,8.7,False
15min,3,swing,0.25,1,"(1,)",6342,945,0.373,-12374.3,-0.15,0.212,-12372.5,0/8,8.17,False
15min,3,swing,0.25,1,"(-1,)",4008,597,0.372,-6766.7,-0.15,0.205,-6777.2,0/8,8.56,False
15min,3,swing,0.25,1,"(1, -1)",10350,1542,0.372,-19140.9,-0.15,0.209,-19145.8,0/8,8.32,False
15min,3,swing,0.5,0,"(1,)",10911,1625,0.399,-16864.8,-0.15,0.217,-16867.4,0/8,7.51,False
