rule,k,ob_level,os_level,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,75,30,0.1,3R,"(1, -1)",606,90,1.034,14.1,0.05,0.335,-46.0,4/8,2.9,False
15min,2,75,30,0.25,2R,"(1,)",347,52,1.111,23.1,0.09,0.412,-39.6,4/8,1.94,False
15min,2,75,30,0.25,2R,"(-1,)",259,39,0.793,-36.0,-0.14,0.336,-38.6,3/8,1.93,False
15min,2,75,30,0.25,2R,"(1, -1)",606,90,0.966,-12.9,-0.03,0.38,-61.7,4/8,1.93,False
15min,2,75,30,0.25,3R,"(1,)",347,52,1.196,42.6,0.22,0.386,-29.5,5/8,2.91,False
15min,2,75,30,0.25,3R,"(-1,)",259,39,0.716,-53.7,-0.14,0.278,-55.5,2/8,2.91,False
15min,2,75,30,0.25,3R,"(1, -1)",606,90,0.973,-11.1,-0.03,0.34,-66.2,4/8,2.91,False
15min,2,75,30,0.5,2R,"(1,)",347,52,1.185,35.6,0.15,0.438,-36.6,4/8,1.95,False
15min,2,75,30,0.5,2R,"(-1,)",259,39,0.718,-48.7,-0.14,0.328,-51.3,2/8,1.94,False
15min,2,75,30,0.5,2R,"(1, -1)",606,90,0.964,-13.1,-0.03,0.391,-68.2,3/8,1.94,False
15min,2,75,30,0.5,3R,"(1,)",347,52,1.237,48.5,0.27,0.406,-26.9,5/8,2.93,False
15min,2,75,30,0.5,3R,"(-1,)",259,39,0.703,-54.0,-0.14,0.293,-58.7,1/8,2.92,False
15min,2,75,30,0.5,3R,"(1, -1)",606,90,0.986,-5.5,-0.01,0.358,-63.2,4/8,2.93,False
15min,2,75,35,0.1,2R,"(1,)",656,98,1.057,23.2,0.1,0.401,-36.1,4/8,1.93,False
15min,2,75,35,0.1,2R,"(-1,)",259,39,0.775,-40.2,-0.15,0.328,-41.0,3/8,1.92,False
15min,2,75,35,0.1,2R,"(1, -1)",915,136,0.971,-17.0,-0.05,0.38,-56.3,3/8,1.93,False
15min,2,75,35,0.1,3R,"(1,)",656,98,1.089,39.2,0.14,0.351,-40.9,4/8,2.9,False
15min,2,75,35,0.1,3R,"(-1,)",259,39,0.833,-31.8,-0.1,0.29,-46.0,3/8,2.9,False
15min,2,75,35,0.1,3R,"(1, -1)",915,136,1.012,7.5,0.02,0.333,-47.0,3/8,2.9,False
15min,2,75,35,0.25,2R,"(1,)",658,98,1.01,4.1,0.01,0.395,-46.4,4/8,1.94,False
15min,2,75,35,0.25,2R,"(-1,)",259,39,0.793,-36.0,-0.14,0.336,-38.6,3/8,1.93,False
15min,2,75,35,0.25,2R,"(1, -1)",917,137,0.945,-31.9,-0.07,0.378,-65.9,3/8,1.94,False
