rule,k,fib,sl_buf,tp_mode,ema_confirm,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.618,0.25,2R,0,"(-1,)",12673,1888,0.73,-2591.9,-0.15,0.328,-2622.7,0/8,1.85,False
15min,2,0.618,0.25,2R,0,"(1, -1)",25150,3746,0.782,-4069.7,-0.15,0.343,-4072.8,0/8,1.85,False
15min,2,0.618,0.25,2R,1,"(1,)",6891,1027,0.852,-738.6,-0.14,0.363,-813.7,1/8,1.86,False
15min,2,0.618,0.25,2R,1,"(-1,)",5722,852,0.73,-1168.8,-0.15,0.327,-1190.4,0/8,1.85,False
15min,2,0.618,0.25,2R,1,"(1, -1)",12613,1879,0.795,-1907.4,-0.15,0.347,-1924.9,0/8,1.86,False
15min,2,0.618,0.25,3R,0,"(1,)",12477,1858,0.92,-802.8,-0.1,0.289,-1188.1,3/8,2.81,False
15min,2,0.618,0.25,3R,0,"(-1,)",12673,1888,0.781,-2328.7,-0.15,0.257,-2387.2,1/8,2.81,False
15min,2,0.618,0.25,3R,0,"(1, -1)",25150,3746,0.849,-3131.5,-0.14,0.273,-3256.8,0/8,2.81,False
15min,2,0.618,0.25,3R,1,"(1,)",6891,1027,0.941,-325.2,-0.07,0.294,-670.4,4/8,2.81,False
15min,2,0.618,0.25,3R,1,"(-1,)",5722,852,0.807,-915.1,-0.14,0.262,-950.4,0/8,2.81,False
15min,2,0.618,0.25,3R,1,"(1, -1)",12613,1879,0.879,-1240.3,-0.13,0.28,-1410.3,1/8,2.81,False
15min,2,0.705,0.05,2R,0,"(1,)",11277,1680,0.838,-1340.4,-0.13,0.389,-1486.5,1/8,1.78,False
15min,2,0.705,0.05,2R,0,"(-1,)",11552,1721,0.744,-2256.3,-0.15,0.362,-2264.5,0/8,1.78,False
15min,2,0.705,0.05,2R,0,"(1, -1)",22829,3400,0.789,-3596.7,-0.15,0.375,-3641.7,1/8,1.78,False
15min,2,0.705,0.05,2R,1,"(1,)",6231,929,0.85,-684.0,-0.13,0.394,-782.8,3/8,1.78,False
15min,2,0.705,0.05,2R,1,"(-1,)",5191,773,0.735,-1047.8,-0.15,0.358,-1061.3,0/8,1.78,False
15min,2,0.705,0.05,2R,1,"(1, -1)",11422,1701,0.797,-1731.8,-0.15,0.377,-1768.3,1/8,1.78,False
15min,2,0.705,0.05,3R,0,"(1,)",11277,1680,0.937,-584.8,-0.08,0.311,-1058.7,4/8,2.71,False
15min,2,0.705,0.05,3R,0,"(-1,)",11552,1721,0.831,-1669.1,-0.14,0.287,-1721.7,1/8,2.71,False
15min,2,0.705,0.05,3R,0,"(1, -1)",22829,3400,0.882,-2253.9,-0.13,0.299,-2557.3,2/8,2.71,False
15min,2,0.705,0.05,3R,1,"(1,)",6231,929,0.939,-313.1,-0.08,0.312,-560.0,4/8,2.71,False
15min,2,0.705,0.05,3R,1,"(-1,)",5191,773,0.816,-813.1,-0.14,0.282,-838.7,1/8,2.71,False
15min,2,0.705,0.05,3R,1,"(1, -1)",11422,1701,0.883,-1126.2,-0.13,0.299,-1279.1,2/8,2.71,False
15min,2,0.705,0.1,2R,0,"(1,)",11364,1693,0.841,-1320.9,-0.13,0.386,-1458.0,2/8,1.79,False
15min,2,0.705,0.1,2R,0,"(-1,)",11642,1734,0.744,-2273.7,-0.15,0.358,-2291.3,0/8,1.79,False
15min,2,0.705,0.1,2R,0,"(1, -1)",23006,3427,0.791,-3594.7,-0.15,0.372,-3644.7,1/8,1.79,False
15min,2,0.705,0.1,2R,1,"(1,)",6280,936,0.851,-682.2,-0.13,0.39,-772.3,3/8,1.79,False
15min,2,0.705,0.1,2R,1,"(-1,)",5223,778,0.74,-1032.2,-0.15,0.356,-1046.3,0/8,1.79,False
15min,2,0.705,0.1,2R,1,"(1, -1)",11503,1713,0.8,-1714.3,-0.15,0.374,-1746.3,0/8,1.79,False
15min,2,0.705,0.1,3R,0,"(1,)",11364,1693,0.938,-577.0,-0.08,0.308,-1011.7,4/8,2.72,False
15min,2,0.705,0.1,3R,0,"(-1,)",11642,1734,0.829,-1697.6,-0.14,0.284,-1755.9,1/8,2.72,False
15min,2,0.705,0.1,3R,0,"(1, -1)",23006,3427,0.882,-2274.6,-0.13,0.296,-2560.1,2/8,2.72,False
15min,2,0.705,0.1,3R,1,"(1,)",6280,936,0.942,-298.0,-0.08,0.311,-553.7,4/8,2.72,False
15min,2,0.705,0.1,3R,1,"(-1,)",5223,778,0.83,-753.3,-0.14,0.283,-787.9,0/8,2.72,False
15min,2,0.705,0.1,3R,1,"(1, -1)",11503,1713,0.891,-1051.2,-0.13,0.298,-1201.3,2/8,2.72,False
15min,2,0.705,0.25,2R,0,"(1,)",11626,1732,0.846,-1311.6,-0.13,0.377,-1448.4,2/8,1.81,False
15min,2,0.705,0.25,2R,0,"(-1,)",11929,1777,0.759,-2167.7,-0.15,0.353,-2209.7,1/8,1.81,False
15min,2,0.705,0.25,2R,0,"(1, -1)",23555,3508,0.801,-3479.3,-0.15,0.365,-3557.8,1/8,1.81,False
15min,2,0.705,0.25,2R,1,"(1,)",6431,958,0.851,-697.9,-0.13,0.38,-770.9,2/8,1.81,False
15min,2,0.705,0.25,2R,1,"(-1,)",5350,797,0.756,-985.3,-0.15,0.351,-1003.6,0/8,1.81,False
15min,2,0.705,0.25,2R,1,"(1, -1)",11781,1755,0.807,-1683.2,-0.15,0.367,-1696.0,0/8,1.81,False
15min,2,0.705,0.25,3R,0,"(1,)",11626,1732,0.937,-600.7,-0.09,0.301,-998.2,4/8,2.75,False
15min,2,0.705,0.25,3R,0,"(-1,)",11929,1777,0.826,-1757.8,-0.14,0.277,-1845.7,1/8,2.75,False
15min,2,0.705,0.25,3R,0,"(1, -1)",23555,3508,0.88,-2358.5,-0.14,0.289,-2596.6,2/8,2.75,False
15min,2,0.705,0.25,3R,1,"(1,)",6431,958,0.951,-257.7,-0.07,0.305,-551.2,4/8,2.75,False
15min,2,0.705,0.25,3R,1,"(-1,)",5350,797,0.833,-752.3,-0.14,0.277,-785.5,0/8,2.75,False
15min,2,0.705,0.25,3R,1,"(1, -1)",11781,1755,0.896,-1010.0,-0.13,0.293,-1125.6,1/8,2.75,False
15min,2,0.786,0.05,2R,0,"(1,)",10399,1549,0.848,-1144.5,-0.13,0.428,-1342.7,3/8,1.71,False
15min,2,0.786,0.05,2R,0,"(-1,)",10701,1594,0.741,-2108.7,-0.14,0.397,-2179.9,1/8,1.71,False
15min,2,0.786,0.05,2R,0,"(1, -1)",21100,3143,0.792,-3253.2,-0.14,0.412,-3456.4,1/8,1.71,False
15min,2,0.786,0.05,2R,1,"(1,)",5745,856,0.843,-658.2,-0.12,0.428,-809.3,3/8,1.71,False
15min,2,0.786,0.05,2R,1,"(-1,)",4809,716,0.743,-934.9,-0.14,0.395,-965.8,1/8,1.71,False
15min,2,0.786,0.05,2R,1,"(1, -1)",10554,1572,0.797,-1593.2,-0.14,0.413,-1713.3,1/8,1.71,False
15min,2,0.786,0.05,3R,0,"(1,)",10399,1549,0.981,-161.7,-0.03,0.348,-827.3,4/8,2.61,False
15min,2,0.786,0.05,3R,0,"(-1,)",10701,1594,0.848,-1400.9,-0.14,0.317,-1495.9,1/8,2.61,False
15min,2,0.786,0.05,3R,0,"(1, -1)",21100,3143,0.912,-1562.6,-0.12,0.332,-1961.2,3/8,2.61,False
15min,2,0.786,0.05,3R,1,"(1,)",5745,856,0.981,-91.4,-0.03,0.35,-514.6,4/8,2.61,False
15min,2,0.786,0.05,3R,1,"(-1,)",4809,716,0.839,-668.7,-0.14,0.313,-708.4,1/8,2.61,False
15min,2,0.786,0.05,3R,1,"(1, -1)",10554,1572,0.915,-760.1,-0.11,0.333,-1031.1,3/8,2.61,False
15min,2,0.786,0.1,2R,0,"(1,)",10480,1561,0.852,-1121.4,-0.13,0.424,-1297.9,3/8,1.72,False
15min,2,0.786,0.1,2R,0,"(-1,)",10789,1607,0.744,-2097.3,-0.14,0.393,-2155.9,1/8,1.72,False
15min,2,0.786,0.1,2R,0,"(1, -1)",21269,3168,0.796,-3218.7,-0.14,0.408,-3393.3,1/8,1.72,False
15min,2,0.786,0.1,2R,1,"(1,)",5790,863,0.847,-646.1,-0.12,0.424,-784.2,3/8,1.72,False
15min,2,0.786,0.1,2R,1,"(-1,)",4847,722,0.75,-915.2,-0.14,0.391,-940.6,1/8,1.72,False
15min,2,0.786,0.1,2R,1,"(1, -1)",10637,1584,0.802,-1561.2,-0.14,0.409,-1659.0,2/8,1.72,False
15min,2,0.786,0.1,3R,0,"(1,)",10480,1561,0.978,-188.3,-0.03,0.343,-833.6,4/8,2.63,False
15min,2,0.786,0.1,3R,0,"(-1,)",10789,1607,0.839,-1497.9,-0.14,0.311,-1566.2,1/8,2.62,False
15min,2,0.786,0.1,3R,0,"(1, -1)",21269,3168,0.906,-1686.2,-0.12,0.327,-2048.2,2/8,2.63,False
15min,2,0.786,0.1,3R,1,"(1,)",5790,863,0.979,-101.8,-0.03,0.345,-508.0,4/8,2.63,False
15min,2,0.786,0.1,3R,1,"(-1,)",4847,722,0.829,-715.9,-0.14,0.307,-743.5,1/8,2.63,False
15min,2,0.786,0.1,3R,1,"(1, -1)",10637,1584,0.909,-817.7,-0.11,0.327,-1079.1,3/8,2.63,False
15min,2,0.786,0.25,2R,0,"(1,)",10721,1597,0.87,-1009.3,-0.13,0.414,-1196.1,3/8,1.75,False
15min,2,0.786,0.25,2R,0,"(-1,)",11042,1645,0.752,-2077.6,-0.14,0.381,-2155.2,1/8,1.75,False
15min,2,0.786,0.25,2R,0,"(1, -1)",21763,3242,0.808,-3086.9,-0.14,0.397,-3281.3,1/8,1.75,False
15min,2,0.786,0.25,2R,1,"(1,)",5929,884,0.864,-588.3,-0.12,0.414,-710.4,3/8,1.75,False
15min,2,0.786,0.25,2R,1,"(-1,)",4953,738,0.751,-934.8,-0.15,0.378,-959.9,1/8,1.75,False
15min,2,0.786,0.25,2R,1,"(1, -1)",10882,1621,0.811,-1523.1,-0.14,0.398,-1624.2,1/8,1.75,False
15min,2,0.786,0.25,3R,0,"(1,)",10721,1597,0.975,-222.7,-0.04,0.331,-842.0,4/8,2.67,False
