rule,k,ote,sl_buf,tp_mode,sweep_lb,need_conf,use_idm,h4_trend,session,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
1h,2,0.5,0.25,2R,6,4,0,0,kz,"(1, -1)",1480,221,1.01,9.5,0.02,0.391,-90.9,4/8,1.91,False
1h,2,0.5,0.25,2R,6,4,0,1,all,"(1,)",587,88,1.04,15.0,0.04,0.395,-55.5,4/8,1.92,False
1h,2,0.5,0.25,2R,6,4,0,1,all,"(-1,)",423,64,0.847,-44.6,-0.09,0.35,-72.0,4/8,1.92,False
1h,2,0.5,0.25,2R,6,4,0,1,all,"(1, -1)",1010,151,0.955,-29.7,-0.04,0.376,-103.2,3/8,1.92,False
1h,2,0.5,0.25,2R,6,4,0,1,kz,"(1,)",329,50,1.153,30.8,0.15,0.426,-30.2,4/8,1.92,False
1h,2,0.5,0.25,2R,6,4,0,1,kz,"(-1,)",247,37,1.041,6.7,0.03,0.385,-32.2,5/8,1.92,False
1h,2,0.5,0.25,2R,6,4,0,1,kz,"(1, -1)",576,86,1.104,37.4,0.15,0.408,-38.4,5/8,1.92,False
1h,2,0.5,0.25,2R,6,4,1,0,all,"(1,)",1173,175,1.007,5.3,0.01,0.39,-91.3,4/8,1.9,False
1h,2,0.5,0.25,2R,6,4,1,0,all,"(-1,)",1284,191,0.857,-125.3,-0.12,0.36,-161.3,2/8,1.9,False
1h,2,0.5,0.25,2R,6,4,1,0,all,"(1, -1)",2457,366,0.927,-120.0,-0.09,0.374,-205.7,3/8,1.9,False
1h,2,0.5,0.25,2R,6,4,1,0,kz,"(1,)",711,106,1.047,21.7,0.06,0.404,-51.0,5/8,1.91,False
1h,2,0.5,0.25,2R,6,4,1,0,kz,"(-1,)",769,115,0.976,-12.2,-0.03,0.378,-65.5,3/8,1.91,False
1h,2,0.5,0.25,2R,6,4,1,0,kz,"(1, -1)",1480,221,1.01,9.5,0.02,0.391,-90.9,4/8,1.91,False
1h,2,0.5,0.25,2R,6,4,1,1,all,"(1,)",587,88,1.04,15.0,0.04,0.395,-55.5,4/8,1.92,False
1h,2,0.5,0.25,2R,6,4,1,1,all,"(-1,)",423,64,0.847,-44.6,-0.09,0.35,-72.0,4/8,1.92,False
1h,2,0.5,0.25,2R,6,4,1,1,all,"(1, -1)",1010,151,0.955,-29.7,-0.04,0.376,-103.2,3/8,1.92,False
1h,2,0.5,0.25,2R,6,4,1,1,kz,"(1,)",329,50,1.153,30.8,0.15,0.426,-30.2,4/8,1.92,False
1h,2,0.5,0.25,2R,6,4,1,1,kz,"(-1,)",247,37,1.041,6.7,0.03,0.385,-32.2,5/8,1.92,False
1h,2,0.5,0.25,2R,6,4,1,1,kz,"(1, -1)",576,86,1.104,37.4,0.15,0.408,-38.4,5/8,1.92,False
1h,2,0.5,0.25,2R,6,5,0,0,all,"(1,)",658,98,1.038,15.8,0.04,0.392,-58.8,4/8,1.93,False
1h,2,0.5,0.25,2R,6,5,0,0,all,"(-1,)",693,103,0.928,-33.2,-0.09,0.367,-57.4,2/8,1.92,False
1h,2,0.5,0.25,2R,6,5,0,0,all,"(1, -1)",1351,201,0.98,-17.4,-0.03,0.379,-86.8,3/8,1.93,False
1h,2,0.5,0.25,2R,6,5,0,0,kz,"(1,)",396,59,1.159,38.2,0.24,0.422,-23.4,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,0,0,kz,"(-1,)",433,66,1.031,8.6,0.03,0.383,-46.1,3/8,1.92,False
1h,2,0.5,0.25,2R,6,5,0,0,kz,"(1, -1)",829,124,1.09,46.7,0.13,0.402,-52.9,5/8,1.93,False
1h,2,0.5,0.25,2R,6,5,0,1,all,"(1,)",350,52,1.124,26.0,0.09,0.411,-44.1,4/8,1.94,False
1h,2,0.5,0.25,2R,6,5,0,1,all,"(-1,)",241,37,1.037,5.7,0.03,0.39,-32.7,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,0,1,all,"(1, -1)",591,88,1.087,31.7,0.08,0.403,-62.4,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,0,1,kz,"(1,)",197,30,1.321,35.5,0.24,0.457,-22.0,4/8,1.94,False
1h,2,0.5,0.25,2R,6,5,0,1,kz,"(-1,)",149,24,1.223,20.2,0.19,0.416,-17.2,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,0,1,kz,"(1, -1)",346,52,1.277,55.7,0.31,0.439,-26.7,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,1,0,all,"(1,)",658,98,1.038,15.8,0.04,0.392,-58.8,4/8,1.93,False
1h,2,0.5,0.25,2R,6,5,1,0,all,"(-1,)",693,103,0.928,-33.2,-0.09,0.367,-57.4,2/8,1.92,False
1h,2,0.5,0.25,2R,6,5,1,0,all,"(1, -1)",1351,201,0.98,-17.4,-0.03,0.379,-86.8,3/8,1.93,False
1h,2,0.5,0.25,2R,6,5,1,0,kz,"(1,)",396,59,1.159,38.2,0.24,0.422,-23.4,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,1,0,kz,"(-1,)",433,66,1.031,8.6,0.03,0.383,-46.1,3/8,1.92,False
1h,2,0.5,0.25,2R,6,5,1,0,kz,"(1, -1)",829,124,1.09,46.7,0.13,0.402,-52.9,5/8,1.93,False
1h,2,0.5,0.25,2R,6,5,1,1,all,"(1,)",350,52,1.124,26.0,0.09,0.411,-44.1,4/8,1.94,False
1h,2,0.5,0.25,2R,6,5,1,1,all,"(-1,)",241,37,1.037,5.7,0.03,0.39,-32.7,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,1,1,all,"(1, -1)",591,88,1.087,31.7,0.08,0.403,-62.4,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,1,1,kz,"(1,)",197,30,1.321,35.5,0.24,0.457,-22.0,4/8,1.94,False
1h,2,0.5,0.25,2R,6,5,1,1,kz,"(-1,)",149,24,1.223,20.2,0.19,0.416,-17.2,5/8,1.94,False
1h,2,0.5,0.25,2R,6,5,1,1,kz,"(1, -1)",346,52,1.277,55.7,0.31,0.439,-26.7,5/8,1.94,False
1h,2,0.5,0.25,2R,10,3,0,0,all,"(1,)",1446,216,0.986,-13.6,-0.02,0.386,-114.8,4/8,1.9,False
1h,2,0.5,0.25,2R,10,3,0,0,all,"(-1,)",1612,240,0.852,-164.0,-0.12,0.36,-211.3,2/8,1.89,False
1h,2,0.5,0.25,2R,10,3,0,0,all,"(1, -1)",3058,456,0.914,-177.7,-0.1,0.372,-258.8,2/8,1.89,False
1h,2,0.5,0.25,2R,10,3,0,0,kz,"(1,)",850,127,1.017,9.6,0.02,0.396,-73.1,5/8,1.9,False
1h,2,0.5,0.25,2R,10,3,0,0,kz,"(-1,)",951,142,0.974,-16.8,-0.03,0.381,-74.1,3/8,1.9,False
1h,2,0.5,0.25,2R,10,3,0,0,kz,"(1, -1)",1801,269,0.994,-7.1,-0.01,0.388,-116.1,5/8,1.9,False
1h,2,0.5,0.25,2R,10,3,0,1,all,"(1,)",730,109,1.074,33.7,0.1,0.403,-52.7,4/8,1.92,False
1h,2,0.5,0.25,2R,10,3,0,1,all,"(-1,)",531,80,0.912,-31.7,-0.07,0.367,-73.5,3/8,1.91,False
1h,2,0.5,0.25,2R,10,3,0,1,all,"(1, -1)",1261,189,1.002,2.0,0.0,0.388,-91.9,4/8,1.91,False
1h,2,0.5,0.25,2R,10,3,0,1,kz,"(1,)",394,59,1.178,42.8,0.16,0.429,-39.6,4/8,1.92,False
1h,2,0.5,0.25,2R,10,3,0,1,kz,"(-1,)",312,47,1.108,21.6,0.13,0.401,-24.8,6/8,1.91,False
1h,2,0.5,0.25,2R,10,3,0,1,kz,"(1, -1)",706,106,1.146,64.4,0.23,0.416,-42.3,6/8,1.92,False
1h,2,0.5,0.25,2R,10,3,1,0,all,"(1,)",1446,216,0.986,-13.6,-0.02,0.386,-114.8,4/8,1.9,False
1h,2,0.5,0.25,2R,10,3,1,0,all,"(-1,)",1612,240,0.852,-164.0,-0.12,0.36,-211.3,2/8,1.89,False
1h,2,0.5,0.25,2R,10,3,1,0,all,"(1, -1)",3058,456,0.914,-177.7,-0.1,0.372,-258.8,2/8,1.89,False
1h,2,0.5,0.25,2R,10,3,1,0,kz,"(1,)",850,127,1.017,9.6,0.02,0.396,-73.1,5/8,1.9,False
1h,2,0.5,0.25,2R,10,3,1,0,kz,"(-1,)",951,142,0.974,-16.8,-0.03,0.381,-74.1,3/8,1.9,False
1h,2,0.5,0.25,2R,10,3,1,0,kz,"(1, -1)",1801,269,0.994,-7.1,-0.01,0.388,-116.1,5/8,1.9,False
1h,2,0.5,0.25,2R,10,3,1,1,all,"(1,)",730,109,1.074,33.7,0.1,0.403,-52.7,4/8,1.92,False
1h,2,0.5,0.25,2R,10,3,1,1,all,"(-1,)",531,80,0.912,-31.7,-0.07,0.367,-73.5,3/8,1.91,False
1h,2,0.5,0.25,2R,10,3,1,1,all,"(1, -1)",1261,189,1.002,2.0,0.0,0.388,-91.9,4/8,1.91,False
1h,2,0.5,0.25,2R,10,3,1,1,kz,"(1,)",394,59,1.178,42.8,0.16,0.429,-39.6,4/8,1.92,False
1h,2,0.5,0.25,2R,10,3,1,1,kz,"(-1,)",312,47,1.108,21.6,0.13,0.401,-24.8,6/8,1.91,False
1h,2,0.5,0.25,2R,10,3,1,1,kz,"(1, -1)",706,106,1.146,64.4,0.23,0.416,-42.3,6/8,1.92,False
1h,2,0.5,0.25,2R,10,4,0,0,all,"(1,)",1253,187,1.006,4.5,0.01,0.389,-96.0,4/8,1.9,False
1h,2,0.5,0.25,2R,10,4,0,0,all,"(-1,)",1351,201,0.854,-134.9,-0.12,0.358,-173.3,3/8,1.9,False
1h,2,0.5,0.25,2R,10,4,0,0,all,"(1, -1)",2604,388,0.925,-130.4,-0.08,0.373,-229.0,2/8,1.9,False
1h,2,0.5,0.25,2R,10,4,0,0,kz,"(1,)",756,113,1.061,29.9,0.08,0.406,-54.1,5/8,1.91,False
1h,2,0.5,0.25,2R,10,4,0,0,kz,"(-1,)",805,120,0.98,-10.7,-0.02,0.379,-66.8,4/8,1.91,False
1h,2,0.5,0.25,2R,10,4,0,0,kz,"(1, -1)",1561,233,1.019,19.3,0.03,0.392,-86.2,4/8,1.91,False
1h,2,0.5,0.25,2R,10,4,0,1,all,"(1,)",637,95,1.021,8.6,0.02,0.391,-58.9,3/8,1.92,False
1h,2,0.5,0.25,2R,10,4,0,1,all,"(-1,)",446,67,0.867,-40.6,-0.09,0.354,-68.1,4/8,1.92,False
1h,2,0.5,0.25,2R,10,4,0,1,all,"(1, -1)",1083,162,0.955,-32.0,-0.04,0.376,-108.3,3/8,1.92,False
1h,2,0.5,0.25,2R,10,4,0,1,kz,"(1,)",357,54,1.141,31.0,0.13,0.423,-36.0,5/8,1.92,False
1h,2,0.5,0.25,2R,10,4,0,1,kz,"(-1,)",261,40,1.087,14.6,0.07,0.395,-31.1,5/8,1.92,False
1h,2,0.5,0.25,2R,10,4,0,1,kz,"(1, -1)",618,93,1.118,45.6,0.18,0.411,-37.1,5/8,1.92,False
1h,2,0.5,0.25,2R,10,4,1,0,all,"(1,)",1253,187,1.006,4.5,0.01,0.389,-96.0,4/8,1.9,False
1h,2,0.5,0.25,2R,10,4,1,0,all,"(-1,)",1351,201,0.854,-134.9,-0.12,0.358,-173.3,3/8,1.9,False
1h,2,0.5,0.25,2R,10,4,1,0,all,"(1, -1)",2604,388,0.925,-130.4,-0.08,0.373,-229.0,2/8,1.9,False
1h,2,0.5,0.25,2R,10,4,1,0,kz,"(1,)",756,113,1.061,29.9,0.08,0.406,-54.1,5/8,1.91,False
1h,2,0.5,0.25,2R,10,4,1,0,kz,"(-1,)",805,120,0.98,-10.7,-0.02,0.379,-66.8,4/8,1.91,False
1h,2,0.5,0.25,2R,10,4,1,0,kz,"(1, -1)",1561,233,1.019,19.3,0.03,0.392,-86.2,4/8,1.91,False
1h,2,0.5,0.25,2R,10,4,1,1,all,"(1,)",637,95,1.021,8.6,0.02,0.391,-58.9,3/8,1.92,False
1h,2,0.5,0.25,2R,10,4,1,1,all,"(-1,)",446,67,0.867,-40.6,-0.09,0.354,-68.1,4/8,1.92,False
1h,2,0.5,0.25,2R,10,4,1,1,all,"(1, -1)",1083,162,0.955,-32.0,-0.04,0.376,-108.3,3/8,1.92,False
1h,2,0.5,0.25,2R,10,4,1,1,kz,"(1,)",357,54,1.141,31.0,0.13,0.423,-36.0,5/8,1.92,False
1h,2,0.5,0.25,2R,10,4,1,1,kz,"(-1,)",261,40,1.087,14.6,0.07,0.395,-31.1,5/8,1.92,False
1h,2,0.5,0.25,2R,10,4,1,1,kz,"(1, -1)",618,93,1.118,45.6,0.18,0.411,-37.1,5/8,1.92,False
1h,2,0.5,0.25,2R,10,5,0,0,all,"(1,)",698,104,1.027,11.8,0.03,0.39,-56.8,4/8,1.93,False
1h,2,0.5,0.25,2R,10,5,0,0,all,"(-1,)",724,108,0.921,-37.9,-0.1,0.365,-57.1,2/8,1.92,False
1h,2,0.5,0.25,2R,10,5,0,0,all,"(1, -1)",1422,212,0.972,-26.1,-0.04,0.377,-89.5,3/8,1.93,False
1h,2,0.5,0.25,2R,10,5,0,0,kz,"(1,)",423,63,1.154,39.7,0.22,0.421,-26.9,5/8,1.94,False
1h,2,0.5,0.25,2R,10,5,0,0,kz,"(-1,)",450,69,1.027,7.8,0.03,0.382,-45.8,3/8,1.92,False
1h,2,0.5,0.25,2R,10,5,0,0,kz,"(1, -1)",873,130,1.087,47.5,0.13,0.401,-55.8,4/8,1.93,False
1h,2,0.5,0.25,2R,10,5,0,1,all,"(1,)",379,57,1.082,18.9,0.06,0.404,-50.7,4/8,1.94,False
1h,2,0.5,0.25,2R,10,5,0,1,all,"(-1,)",252,39,1.053,8.5,0.04,0.393,-30.5,5/8,1.94,False
1h,2,0.5,0.25,2R,10,5,0,1,all,"(1, -1)",631,94,1.07,27.4,0.06,0.399,-65.4,5/8,1.94,False
1h,2,0.5,0.25,2R,10,5,0,1,kz,"(1,)",216,33,1.274,33.8,0.2,0.449,-25.8,4/8,1.94,False
1h,2,0.5,0.25,2R,10,5,0,1,kz,"(-1,)",155,24,1.273,25.3,0.26,0.426,-15.3,6/8,1.94,False
1h,2,0.5,0.25,2R,10,5,0,1,kz,"(1, -1)",371,56,1.274,59.2,0.35,0.439,-25.7,5/8,1.94,False
1h,2,0.5,0.25,2R,10,5,1,0,all,"(1,)",698,104,1.027,11.8,0.03,0.39,-56.8,4/8,1.93,False
1h,2,0.5,0.25,2R,10,5,1,0,all,"(-1,)",724,108,0.921,-37.9,-0.1,0.365,-57.1,2/8,1.92,False
1h,2,0.5,0.25,2R,10,5,1,0,all,"(1, -1)",1422,212,0.972,-26.1,-0.04,0.377,-89.5,3/8,1.93,False
1h,2,0.5,0.25,2R,10,5,1,0,kz,"(1,)",423,63,1.154,39.7,0.22,0.421,-26.9,5/8,1.94,False
1h,2,0.5,0.25,2R,10,5,1,0,kz,"(-1,)",450,69,1.027,7.8,0.03,0.382,-45.8,3/8,1.92,False
1h,2,0.5,0.25,2R,10,5,1,0,kz,"(1, -1)",873,130,1.087,47.5,0.13,0.401,-55.8,4/8,1.93,False
1h,2,0.5,0.25,2R,10,5,1,1,all,"(1,)",379,57,1.082,18.9,0.06,0.404,-50.7,4/8,1.94,False
1h,2,0.5,0.25,2R,10,5,1,1,all,"(-1,)",252,39,1.053,8.5,0.04,0.393,-30.5,5/8,1.94,False
1h,2,0.5,0.25,2R,10,5,1,1,all,"(1, -1)",631,94,1.07,27.4,0.06,0.399,-65.4,5/8,1.94,False
1h,2,0.5,0.25,2R,10,5,1,1,kz,"(1,)",216,33,1.274,33.8,0.2,0.449,-25.8,4/8,1.94,False
1h,2,0.5,0.25,2R,10,5,1,1,kz,"(-1,)",155,24,1.273,25.3,0.26,0.426,-15.3,6/8,1.94,False
1h,2,0.5,0.25,2R,10,5,1,1,kz,"(1, -1)",371,56,1.274,59.2,0.35,0.439,-25.7,5/8,1.94,False
1h,2,0.5,0.25,3R,3,3,0,0,all,"(1,)",1168,175,1.078,64.2,0.13,0.339,-74.9,4/8,2.86,False
1h,2,0.5,0.25,3R,3,3,0,0,all,"(-1,)",1342,200,0.918,-81.7,-0.09,0.308,-137.4,2/8,2.85,False
1h,2,0.5,0.25,3R,3,3,0,0,all,"(1, -1)",2510,374,0.99,-17.5,-0.01,0.322,-173.9,5/8,2.85,False
1h,2,0.5,0.25,3R,3,3,0,0,kz,"(1,)",690,103,1.122,59.5,0.18,0.349,-50.3,5/8,2.87,False
1h,2,0.5,0.25,3R,3,3,0,0,kz,"(-1,)",783,117,1.049,27.9,0.06,0.323,-75.1,4/8,2.87,False
1h,2,0.5,0.25,3R,3,3,0,0,kz,"(1, -1)",1473,220,1.083,87.4,0.12,0.335,-106.2,5/8,2.87,False
1h,2,0.5,0.25,3R,3,3,0,1,all,"(1,)",588,88,1.188,74.6,0.23,0.354,-49.0,5/8,2.89,False
1h,2,0.5,0.25,3R,3,3,0,1,all,"(-1,)",434,66,1.009,2.9,0.01,0.32,-65.8,4/8,2.88,False
1h,2,0.5,0.25,3R,3,3,0,1,all,"(1, -1)",1022,153,1.109,77.5,0.14,0.34,-80.5,5/8,2.88,False
1h,2,0.5,0.25,3R,3,3,0,1,kz,"(1,)",319,48,1.32,67.0,0.31,0.379,-32.5,6/8,2.89,False
1h,2,0.5,0.25,3R,3,3,0,1,kz,"(-1,)",249,38,1.236,40.4,0.21,0.349,-29.2,6/8,2.89,False
1h,2,0.5,0.25,3R,3,3,0,1,kz,"(1, -1)",568,85,1.282,107.4,0.36,0.366,-44.6,5/8,2.89,False
1h,2,0.5,0.25,3R,3,3,1,0,all,"(1,)",1168,175,1.078,64.2,0.13,0.339,-74.9,4/8,2.86,False
1h,2,0.5,0.25,3R,3,3,1,0,all,"(-1,)",1342,200,0.918,-81.7,-0.09,0.308,-137.4,2/8,2.85,False
1h,2,0.5,0.25,3R,3,3,1,0,all,"(1, -1)",2510,374,0.99,-17.5,-0.01,0.322,-173.9,5/8,2.85,False
1h,2,0.5,0.25,3R,3,3,1,0,kz,"(1,)",690,103,1.122,59.5,0.18,0.349,-50.3,5/8,2.87,False
1h,2,0.5,0.25,3R,3,3,1,0,kz,"(-1,)",783,117,1.049,27.9,0.06,0.323,-75.1,4/8,2.87,False
1h,2,0.5,0.25,3R,3,3,1,0,kz,"(1, -1)",1473,220,1.083,87.4,0.12,0.335,-106.2,5/8,2.87,False
1h,2,0.5,0.25,3R,3,3,1,1,all,"(1,)",588,88,1.188,74.6,0.23,0.354,-49.0,5/8,2.89,False
1h,2,0.5,0.25,3R,3,3,1,1,all,"(-1,)",434,66,1.009,2.9,0.01,0.32,-65.8,4/8,2.88,False
1h,2,0.5,0.25,3R,3,3,1,1,all,"(1, -1)",1022,153,1.109,77.5,0.14,0.34,-80.5,5/8,2.88,False
1h,2,0.5,0.25,3R,3,3,1,1,kz,"(1,)",319,48,1.32,67.0,0.31,0.379,-32.5,6/8,2.89,False
1h,2,0.5,0.25,3R,3,3,1,1,kz,"(-1,)",249,38,1.236,40.4,0.21,0.349,-29.2,6/8,2.89,False
1h,2,0.5,0.25,3R,3,3,1,1,kz,"(1, -1)",568,85,1.282,107.4,0.36,0.366,-44.6,5/8,2.89,False
1h,2,0.5,0.25,3R,3,4,0,0,all,"(1,)",1024,153,1.079,56.8,0.12,0.34,-71.6,4/8,2.86,False
1h,2,0.5,0.25,3R,3,4,0,0,all,"(-1,)",1139,170,0.91,-75.6,-0.09,0.306,-130.5,3/8,2.86,False
1h,2,0.5,0.25,3R,3,4,0,0,all,"(1, -1)",2163,322,0.988,-18.8,-0.02,0.322,-160.8,5/8,2.86,False
1h,2,0.5,0.25,3R,3,4,0,0,kz,"(1,)",626,94,1.142,62.0,0.23,0.355,-39.6,5/8,2.88,False
1h,2,0.5,0.25,3R,3,4,0,0,kz,"(-1,)",676,101,1.051,24.7,0.06,0.324,-61.5,3/8,2.88,False
1h,2,0.5,0.25,3R,3,4,0,0,kz,"(1, -1)",1302,194,1.094,86.6,0.17,0.339,-77.5,5/8,2.88,False
1h,2,0.5,0.25,3R,3,4,0,1,all,"(1,)",516,77,1.136,47.8,0.13,0.345,-56.5,5/8,2.9,False
1h,2,0.5,0.25,3R,3,4,0,1,all,"(-1,)",371,56,0.976,-6.5,-0.02,0.313,-57.3,4/8,2.89,False
1h,2,0.5,0.25,3R,3,4,0,1,all,"(1, -1)",887,133,1.067,41.4,0.07,0.331,-87.5,5/8,2.89,False
1h,2,0.5,0.25,3R,3,4,0,1,kz,"(1,)",294,44,1.278,54.0,0.28,0.374,-29.3,5/8,2.9,False
1h,2,0.5,0.25,3R,3,4,0,1,kz,"(-1,)",213,32,1.241,35.0,0.21,0.352,-25.5,6/8,2.9,False
1h,2,0.5,0.25,3R,3,4,0,1,kz,"(1, -1)",507,76,1.262,89.1,0.34,0.365,-39.2,5/8,2.9,False
1h,2,0.5,0.25,3R,3,4,1,0,all,"(1,)",1024,153,1.079,56.8,0.12,0.34,-71.6,4/8,2.86,False
1h,2,0.5,0.25,3R,3,4,1,0,all,"(-1,)",1139,170,0.91,-75.6,-0.09,0.306,-130.5,3/8,2.86,False
1h,2,0.5,0.25,3R,3,4,1,0,all,"(1, -1)",2163,322,0.988,-18.8,-0.02,0.322,-160.8,5/8,2.86,False
1h,2,0.5,0.25,3R,3,4,1,0,kz,"(1,)",626,94,1.142,62.0,0.23,0.355,-39.6,5/8,2.88,False
1h,2,0.5,0.25,3R,3,4,1,0,kz,"(-1,)",676,101,1.051,24.7,0.06,0.324,-61.5,3/8,2.88,False
1h,2,0.5,0.25,3R,3,4,1,0,kz,"(1, -1)",1302,194,1.094,86.6,0.17,0.339,-77.5,5/8,2.88,False
1h,2,0.5,0.25,3R,3,4,1,1,all,"(1,)",516,77,1.136,47.8,0.13,0.345,-56.5,5/8,2.9,False
1h,2,0.5,0.25,3R,3,4,1,1,all,"(-1,)",371,56,0.976,-6.5,-0.02,0.313,-57.3,4/8,2.89,False
1h,2,0.5,0.25,3R,3,4,1,1,all,"(1, -1)",887,133,1.067,41.4,0.07,0.331,-87.5,5/8,2.89,False
1h,2,0.5,0.25,3R,3,4,1,1,kz,"(1,)",294,44,1.278,54.0,0.28,0.374,-29.3,5/8,2.9,False
1h,2,0.5,0.25,3R,3,4,1,1,kz,"(-1,)",213,32,1.241,35.0,0.21,0.352,-25.5,6/8,2.9,False
1h,2,0.5,0.25,3R,3,4,1,1,kz,"(1, -1)",507,76,1.262,89.1,0.34,0.365,-39.2,5/8,2.9,False
1h,2,0.5,0.25,3R,3,5,0,0,all,"(1,)",587,88,1.109,43.0,0.13,0.351,-47.8,4/8,2.91,False
1h,2,0.5,0.25,3R,3,5,0,0,all,"(-1,)",622,93,0.899,-45.8,-0.1,0.305,-67.9,2/8,2.9,False
1h,2,0.5,0.25,3R,3,5,0,0,all,"(1, -1)",1209,180,0.997,-2.8,-0.01,0.328,-70.4,5/8,2.9,False
1h,2,0.5,0.25,3R,3,5,0,0,kz,"(1,)",352,53,1.227,51.4,0.34,0.378,-22.8,4/8,2.92,False
1h,2,0.5,0.25,3R,3,5,0,0,kz,"(-1,)",385,60,1.034,9.1,0.03,0.325,-44.3,3/8,2.9,False
1h,2,0.5,0.25,3R,3,5,0,0,kz,"(1, -1)",737,110,1.121,60.5,0.18,0.35,-49.7,5/8,2.91,False
1h,2,0.5,0.25,3R,3,5,0,1,all,"(1,)",309,46,1.245,48.3,0.17,0.372,-42.8,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,0,1,all,"(-1,)",216,33,1.033,5.0,0.02,0.329,-31.8,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,0,1,all,"(1, -1)",525,79,1.154,53.3,0.14,0.354,-58.2,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,0,1,kz,"(1,)",175,26,1.491,50.9,0.36,0.417,-21.1,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,0,1,kz,"(-1,)",130,21,1.273,23.5,0.23,0.362,-15.9,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,0,1,kz,"(1, -1)",305,46,1.392,74.4,0.4,0.393,-28.3,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,1,0,all,"(1,)",587,88,1.109,43.0,0.13,0.351,-47.8,4/8,2.91,False
1h,2,0.5,0.25,3R,3,5,1,0,all,"(-1,)",622,93,0.899,-45.8,-0.1,0.305,-67.9,2/8,2.9,False
1h,2,0.5,0.25,3R,3,5,1,0,all,"(1, -1)",1209,180,0.997,-2.8,-0.01,0.328,-70.4,5/8,2.9,False
1h,2,0.5,0.25,3R,3,5,1,0,kz,"(1,)",352,53,1.227,51.4,0.34,0.378,-22.8,4/8,2.92,False
1h,2,0.5,0.25,3R,3,5,1,0,kz,"(-1,)",385,60,1.034,9.1,0.03,0.325,-44.3,3/8,2.9,False
1h,2,0.5,0.25,3R,3,5,1,0,kz,"(1, -1)",737,110,1.121,60.5,0.18,0.35,-49.7,5/8,2.91,False
1h,2,0.5,0.25,3R,3,5,1,1,all,"(1,)",309,46,1.245,48.3,0.17,0.372,-42.8,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,1,1,all,"(-1,)",216,33,1.033,5.0,0.02,0.329,-31.8,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,1,1,all,"(1, -1)",525,79,1.154,53.3,0.14,0.354,-58.2,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,1,1,kz,"(1,)",175,26,1.491,50.9,0.36,0.417,-21.1,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,1,1,kz,"(-1,)",130,21,1.273,23.5,0.23,0.362,-15.9,5/8,2.92,False
1h,2,0.5,0.25,3R,3,5,1,1,kz,"(1, -1)",305,46,1.392,74.4,0.4,0.393,-28.3,5/8,2.92,False
1h,2,0.5,0.25,3R,6,3,0,0,all,"(1,)",1347,201,1.054,52.3,0.09,0.333,-88.4,4/8,2.86,False
1h,2,0.5,0.25,3R,6,3,0,0,all,"(-1,)",1522,227,0.922,-87.5,-0.08,0.307,-169.5,4/8,2.85,False
1h,2,0.5,0.25,3R,6,3,0,0,all,"(1, -1)",2869,428,0.983,-35.2,-0.02,0.32,-211.2,5/8,2.85,False
1h,2,0.5,0.25,3R,6,3,0,0,kz,"(1,)",793,119,1.074,42.4,0.1,0.338,-61.4,5/8,2.87,False
1h,2,0.5,0.25,3R,6,3,0,0,kz,"(-1,)",903,135,1.028,18.7,0.03,0.319,-98.8,4/8,2.87,False
1h,2,0.5,0.25,3R,6,3,0,0,kz,"(1, -1)",1696,253,1.05,61.1,0.06,0.328,-141.5,4/8,2.87,False
1h,2,0.5,0.25,3R,6,3,0,1,all,"(1,)",670,100,1.17,76.8,0.18,0.351,-62.4,5/8,2.89,False
1h,2,0.5,0.25,3R,6,3,0,1,all,"(-1,)",498,75,1.002,0.6,0.0,0.321,-87.1,4/8,2.88,False
1h,2,0.5,0.25,3R,6,3,0,1,all,"(1, -1)",1168,175,1.095,77.4,0.11,0.338,-108.1,5/8,2.88,False
1h,2,0.5,0.25,3R,6,3,0,1,kz,"(1,)",359,54,1.273,65.3,0.24,0.37,-40.4,5/8,2.89,False
1h,2,0.5,0.25,3R,6,3,0,1,kz,"(-1,)",292,44,1.202,41.0,0.16,0.346,-37.7,5/8,2.89,False
1h,2,0.5,0.25,3R,6,3,0,1,kz,"(1, -1)",651,98,1.24,106.3,0.25,0.359,-63.3,5/8,2.89,False
1h,2,0.5,0.25,3R,6,3,1,0,all,"(1,)",1347,201,1.054,52.3,0.09,0.333,-88.4,4/8,2.86,False
