rule,k,ote,sl_buf,tp_mode,sweep_lb,need_conf,use_idm,h4_trend,session,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,2R,6,5,0,0,all,"(1, -1)",9534,1421,0.899,-685.8,-0.14,0.379,-736.6,1/8,1.85,False
15min,2,0.5,0.05,2R,6,5,0,0,kz,"(1,)",2342,349,0.987,-21.7,-0.02,0.399,-138.9,4/8,1.85,False
15min,2,0.5,0.05,2R,6,5,0,0,kz,"(-1,)",2416,360,0.818,-324.1,-0.14,0.356,-342.5,1/8,1.85,False
15min,2,0.5,0.05,2R,6,5,0,0,kz,"(1, -1)",4758,709,0.898,-345.8,-0.13,0.377,-386.8,2/8,1.85,False
15min,2,0.5,0.05,2R,6,5,0,1,all,"(1,)",2496,372,0.991,-14.7,-0.01,0.4,-182.4,4/8,1.85,False
15min,2,0.5,0.05,2R,6,5,0,1,all,"(-1,)",1752,263,0.796,-267.3,-0.14,0.35,-277.0,1/8,1.86,False
15min,2,0.5,0.05,2R,6,5,0,1,all,"(1, -1)",4248,634,0.906,-282.0,-0.1,0.379,-424.2,2/8,1.86,False
15min,2,0.5,0.05,2R,6,5,0,1,kz,"(1,)",1306,195,0.981,-17.3,-0.02,0.395,-112.1,5/8,1.86,False
15min,2,0.5,0.05,2R,6,5,0,1,kz,"(-1,)",887,133,0.883,-74.3,-0.1,0.371,-113.7,2/8,1.85,False
15min,2,0.5,0.05,2R,6,5,0,1,kz,"(1, -1)",2193,328,0.94,-91.6,-0.07,0.385,-199.1,3/8,1.86,False
15min,2,0.5,0.05,2R,6,5,1,0,all,"(1,)",4723,704,0.984,-51.5,-0.03,0.4,-237.4,3/8,1.85,False
15min,2,0.5,0.05,2R,6,5,1,0,all,"(-1,)",4811,717,0.821,-634.3,-0.15,0.359,-648.0,0/8,1.85,False
15min,2,0.5,0.05,2R,6,5,1,0,all,"(1, -1)",9534,1421,0.899,-685.8,-0.14,0.379,-736.6,1/8,1.85,False
15min,2,0.5,0.05,2R,6,5,1,0,kz,"(1,)",2342,349,0.987,-21.7,-0.02,0.399,-138.9,4/8,1.85,False
15min,2,0.5,0.05,2R,6,5,1,0,kz,"(-1,)",2416,360,0.818,-324.1,-0.14,0.356,-342.5,1/8,1.85,False
15min,2,0.5,0.05,2R,6,5,1,0,kz,"(1, -1)",4758,709,0.898,-345.8,-0.13,0.377,-386.8,2/8,1.85,False
15min,2,0.5,0.05,2R,6,5,1,1,all,"(1,)",2496,372,0.991,-14.7,-0.01,0.4,-182.4,4/8,1.85,False
15min,2,0.5,0.05,2R,6,5,1,1,all,"(-1,)",1752,263,0.796,-267.3,-0.14,0.35,-277.0,1/8,1.86,False
15min,2,0.5,0.05,2R,6,5,1,1,all,"(1, -1)",4248,634,0.906,-282.0,-0.1,0.379,-424.2,2/8,1.86,False
