k,confirm_bars,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,pos_years,gate_pass
3,12,0.25,2R,"(1, -1)",4214,628,0.931,-193.7,-0.09,0.375,2/8,False
3,12,0.25,3R,"(1,)",2125,317,1.113,166.2,0.42,0.351,5/8,False
3,12,0.25,3R,"(-1,)",2089,311,0.871,-200.5,-0.11,0.296,1/8,False
3,12,0.25,3R,"(1, -1)",4214,628,0.989,-34.3,-0.02,0.323,4/8,False
3,12,0.5,2R,"(1,)",2125,317,1.057,73.6,0.14,0.41,6/8,False
3,12,0.5,2R,"(-1,)",2089,311,0.828,-241.4,-0.12,0.35,1/8,False
3,12,0.5,2R,"(1, -1)",4214,628,0.937,-167.8,-0.08,0.381,2/8,False
3,12,0.5,3R,"(1,)",2125,317,1.159,218.0,0.54,0.372,5/8,False
3,12,0.5,3R,"(-1,)",2089,311,0.859,-211.2,-0.11,0.305,1/8,False
3,12,0.5,3R,"(1, -1)",4214,628,1.002,6.8,0.0,0.339,4/8,False
4,4,0.1,2R,"(1,)",1516,226,1.036,34.6,0.06,0.396,4/8,False
4,4,0.1,2R,"(-1,)",1499,223,0.909,-92.2,-0.1,0.364,2/8,False
4,4,0.1,2R,"(1, -1)",3015,449,0.971,-57.6,-0.05,0.38,2/8,False
4,4,0.1,3R,"(1,)",1516,226,1.147,150.5,0.36,0.352,6/8,False
4,4,0.1,3R,"(-1,)",1499,223,0.889,-123.4,-0.1,0.299,1/8,False
4,4,0.1,3R,"(1, -1)",3015,449,1.013,27.1,0.02,0.325,4/8,False
4,4,0.25,2R,"(1,)",1516,226,1.09,82.5,0.23,0.41,5/8,False
4,4,0.25,2R,"(-1,)",1499,223,0.895,-104.0,-0.1,0.363,2/8,False
4,4,0.25,2R,"(1, -1)",3015,449,0.989,-21.5,-0.02,0.386,2/8,False
4,4,0.25,3R,"(1,)",1516,226,1.132,131.3,0.32,0.359,5/8,False
4,4,0.25,3R,"(-1,)",1499,223,0.879,-131.2,-0.1,0.304,1/8,False
4,4,0.25,3R,"(1, -1)",3015,449,1.0,0.1,0.0,0.332,4/8,False
4,4,0.5,2R,"(1,)",1516,226,1.1,87.5,0.22,0.418,6/8,False
4,4,0.5,2R,"(-1,)",1499,223,0.871,-124.3,-0.11,0.364,1/8,False
4,4,0.5,2R,"(1, -1)",3015,449,0.98,-36.8,-0.03,0.391,4/8,False
4,4,0.5,3R,"(1,)",1516,226,1.165,153.2,0.52,0.379,6/8,False
4,4,0.5,3R,"(-1,)",1499,223,0.921,-80.2,-0.09,0.326,2/8,False
4,4,0.5,3R,"(1, -1)",3015,449,1.037,73.0,0.08,0.353,5/8,False
4,8,0.1,2R,"(1,)",1582,236,1.045,44.8,0.09,0.4,4/8,False
4,8,0.1,2R,"(-1,)",1588,237,0.915,-91.1,-0.09,0.365,2/8,False
4,8,0.1,2R,"(1, -1)",3170,472,0.977,-46.3,-0.04,0.383,2/8,False
4,8,0.1,3R,"(1,)",1582,236,1.159,169.3,0.39,0.355,6/8,False
4,8,0.1,3R,"(-1,)",1588,237,0.897,-121.1,-0.1,0.3,1/8,False
4,8,0.1,3R,"(1, -1)",3170,472,1.022,48.2,0.04,0.327,4/8,False
4,8,0.25,2R,"(1,)",1582,236,1.086,82.7,0.22,0.411,5/8,False
4,8,0.25,2R,"(-1,)",1588,237,0.9,-105.5,-0.1,0.364,2/8,False
4,8,0.25,2R,"(1, -1)",3170,472,0.989,-22.8,-0.02,0.387,3/8,False
4,8,0.25,3R,"(1,)",1582,236,1.144,149.0,0.36,0.363,6/8,False
4,8,0.25,3R,"(-1,)",1588,237,0.875,-144.1,-0.1,0.303,1/8,False
4,8,0.25,3R,"(1, -1)",3170,472,1.002,4.9,0.0,0.333,4/8,False
4,8,0.5,2R,"(1,)",1582,236,1.103,93.9,0.23,0.42,6/8,False
4,8,0.5,2R,"(-1,)",1588,237,0.877,-125.0,-0.11,0.366,1/8,False
4,8,0.5,2R,"(1, -1)",3170,472,0.984,-31.1,-0.03,0.393,4/8,False
4,8,0.5,3R,"(1,)",1582,236,1.175,169.3,0.58,0.382,6/8,False
4,8,0.5,3R,"(-1,)",1588,237,0.92,-86.5,-0.09,0.326,2/8,False
4,8,0.5,3R,"(1, -1)",3170,472,1.04,82.8,0.08,0.354,5/8,False
4,12,0.1,2R,"(1,)",1639,244,1.036,37.1,0.07,0.398,4/8,False
4,12,0.1,2R,"(-1,)",1631,243,0.914,-93.7,-0.09,0.365,2/8,False
4,12,0.1,2R,"(1, -1)",3270,487,0.973,-56.6,-0.05,0.382,2/8,False
4,12,0.1,3R,"(1,)",1639,244,1.145,160.7,0.32,0.353,5/8,False
4,12,0.1,3R,"(-1,)",1631,243,0.9,-120.3,-0.09,0.301,1/8,False
4,12,0.1,3R,"(1, -1)",3270,487,1.017,40.4,0.03,0.327,4/8,False
4,12,0.25,2R,"(1,)",1639,244,1.068,67.5,0.15,0.408,6/8,False
4,12,0.25,2R,"(-1,)",1631,243,0.903,-105.2,-0.1,0.365,2/8,False
