rule,k,vol_mult,use_rsi,h4_trend,sl_buf,tp_mode,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,2.0,1,1,0.5,3R,"(1,)",293,44,1.184,39.4,0.29,0.389,-20.4,5/8,2.67,False
15min,3,2.0,1,1,0.5,3R,"(-1,)",200,30,0.657,-58.5,-0.14,0.265,-62.8,3/8,2.73,False
15min,3,2.0,1,1,0.5,3R,"(1, -1)",493,74,0.95,-19.1,-0.05,0.339,-59.1,4/8,2.7,False
15min,4,1.2,0,0,0.1,2R,"(1,)",1966,293,0.783,-310.0,-0.12,0.409,-370.5,2/8,1.66,False
15min,4,1.2,0,0,0.1,2R,"(-1,)",1923,286,0.768,-324.1,-0.13,0.404,-358.9,1/8,1.67,False
15min,4,1.2,0,0,0.1,2R,"(1, -1)",3889,579,0.776,-634.1,-0.13,0.407,-714.8,2/8,1.66,False
15min,4,1.2,0,0,0.1,3R,"(1,)",1966,293,0.956,-69.1,-0.05,0.363,-198.6,2/8,2.54,False
15min,4,1.2,0,0,0.1,3R,"(-1,)",1923,286,0.939,-93.0,-0.08,0.354,-175.0,3/8,2.55,False
15min,4,1.2,0,0,0.1,3R,"(1, -1)",3889,579,0.947,-162.1,-0.07,0.359,-348.4,3/8,2.55,False
15min,4,1.2,0,0,0.25,2R,"(1,)",2007,299,0.836,-232.7,-0.12,0.416,-299.8,2/8,1.69,False
15min,4,1.2,0,0,0.25,2R,"(-1,)",1968,293,0.784,-306.7,-0.14,0.398,-335.4,1/8,1.7,False
15min,4,1.2,0,0,0.25,2R,"(1, -1)",3975,592,0.81,-539.4,-0.13,0.407,-613.6,2/8,1.69,False
15min,4,1.2,0,0,0.25,3R,"(1,)",2007,299,0.986,-21.2,-0.02,0.361,-150.9,3/8,2.58,False
15min,4,1.2,0,0,0.25,3R,"(-1,)",1968,293,0.907,-145.4,-0.1,0.342,-226.1,3/8,2.59,False
15min,4,1.2,0,0,0.25,3R,"(1, -1)",3975,592,0.947,-166.6,-0.07,0.352,-344.4,3/8,2.58,False
15min,4,1.2,0,0,0.5,2R,"(1,)",2063,307,0.858,-203.1,-0.11,0.413,-268.5,2/8,1.73,False
15min,4,1.2,0,0,0.5,2R,"(-1,)",2020,301,0.821,-255.0,-0.13,0.398,-288.5,2/8,1.73,False
15min,4,1.2,0,0,0.5,2R,"(1, -1)",4083,608,0.84,-458.0,-0.13,0.406,-537.7,2/8,1.73,False
15min,4,1.2,0,0,0.5,3R,"(1,)",2063,307,1.025,39.9,0.08,0.36,-77.0,4/8,2.63,False
15min,4,1.2,0,0,0.5,3R,"(-1,)",2020,301,0.869,-210.8,-0.12,0.329,-260.9,3/8,2.64,False
15min,4,1.2,0,0,0.5,3R,"(1, -1)",4083,608,0.946,-170.8,-0.08,0.345,-309.5,3/8,2.64,False
15min,4,1.2,0,1,0.1,2R,"(1,)",1203,179,0.788,-186.2,-0.12,0.407,-232.3,2/8,1.66,False
15min,4,1.2,0,1,0.1,2R,"(-1,)",815,122,0.713,-175.9,-0.14,0.385,-190.4,1/8,1.67,False
15min,4,1.2,0,1,0.1,2R,"(1, -1)",2018,301,0.757,-362.1,-0.13,0.398,-412.6,2/8,1.66,False
15min,4,1.2,0,1,0.1,3R,"(1,)",1203,179,0.942,-55.5,-0.06,0.357,-143.3,2/8,2.54,False
15min,4,1.2,0,1,0.1,3R,"(-1,)",815,122,0.932,-44.6,-0.08,0.347,-84.2,3/8,2.55,False
15min,4,1.2,0,1,0.1,3R,"(1, -1)",2018,301,0.938,-100.0,-0.07,0.353,-210.8,2/8,2.54,False
15min,4,1.2,0,1,0.25,2R,"(1,)",1227,183,0.842,-137.3,-0.11,0.414,-190.0,2/8,1.69,False
15min,4,1.2,0,1,0.25,2R,"(-1,)",837,125,0.742,-160.6,-0.13,0.382,-181.6,1/8,1.69,False
15min,4,1.2,0,1,0.25,2R,"(1, -1)",2064,308,0.8,-297.9,-0.12,0.401,-360.2,2/8,1.69,False
15min,4,1.2,0,1,0.25,3R,"(1,)",1227,183,0.961,-38.0,-0.04,0.354,-133.5,2/8,2.58,False
15min,4,1.2,0,1,0.25,3R,"(-1,)",837,125,0.888,-75.6,-0.1,0.336,-113.9,3/8,2.59,False
15min,4,1.2,0,1,0.25,3R,"(1, -1)",2064,308,0.931,-113.7,-0.07,0.346,-232.9,2/8,2.58,False
15min,4,1.2,0,1,0.5,2R,"(1,)",1257,187,0.859,-123.8,-0.1,0.41,-177.2,2/8,1.72,False
15min,4,1.2,0,1,0.5,2R,"(-1,)",860,129,0.809,-117.3,-0.13,0.39,-132.4,2/8,1.73,False
15min,4,1.2,0,1,0.5,2R,"(1, -1)",2117,315,0.838,-241.1,-0.12,0.402,-300.6,2/8,1.73,False
15min,4,1.2,0,1,0.5,3R,"(1,)",1257,187,1.003,2.8,0.0,0.353,-87.4,3/8,2.63,False
15min,4,1.2,0,1,0.5,3R,"(-1,)",860,129,0.846,-107.5,-0.12,0.317,-131.7,2/8,2.64,False
15min,4,1.2,0,1,0.5,3R,"(1, -1)",2117,315,0.937,-104.7,-0.08,0.339,-203.2,2/8,2.63,False
15min,4,1.2,1,0,0.1,2R,"(1,)",1870,279,0.784,-294.9,-0.13,0.412,-348.8,2/8,1.65,False
15min,4,1.2,1,0,0.1,2R,"(-1,)",1810,270,0.75,-332.9,-0.13,0.402,-368.3,1/8,1.66,False
15min,4,1.2,1,0,0.1,2R,"(1, -1)",3680,548,0.767,-627.8,-0.13,0.407,-706.4,2/8,1.65,False
15min,4,1.2,1,0,0.1,3R,"(1,)",1870,279,0.962,-56.5,-0.05,0.365,-184.8,3/8,2.52,False
15min,4,1.2,1,0,0.1,3R,"(-1,)",1810,270,0.919,-118.4,-0.09,0.35,-196.4,3/8,2.53,False
15min,4,1.2,1,0,0.1,3R,"(1, -1)",3680,548,0.941,-174.9,-0.07,0.357,-355.6,3/8,2.53,False
15min,4,1.2,1,0,0.25,2R,"(1,)",1911,285,0.836,-222.4,-0.12,0.418,-280.3,2/8,1.68,False
15min,4,1.2,1,0,0.25,2R,"(-1,)",1855,276,0.765,-318.8,-0.14,0.395,-344.4,1/8,1.69,False
15min,4,1.2,1,0,0.25,2R,"(1, -1)",3766,561,0.8,-541.1,-0.13,0.407,-606.3,2/8,1.68,False
15min,4,1.2,1,0,0.25,3R,"(1,)",1911,285,0.991,-14.1,-0.02,0.361,-136.7,4/8,2.57,False
15min,4,1.2,1,0,0.25,3R,"(-1,)",1855,276,0.88,-180.3,-0.11,0.336,-252.4,3/8,2.57,False
15min,4,1.2,1,0,0.25,3R,"(1, -1)",3766,561,0.935,-194.3,-0.08,0.349,-354.6,3/8,2.57,False
15min,4,1.2,1,0,0.5,2R,"(1,)",1963,293,0.861,-191.3,-0.11,0.414,-251.7,2/8,1.72,False
15min,4,1.2,1,0,0.5,2R,"(-1,)",1906,284,0.8,-272.7,-0.13,0.393,-304.1,2/8,1.72,False
15min,4,1.2,1,0,0.5,2R,"(1, -1)",3869,576,0.831,-464.1,-0.13,0.404,-537.3,2/8,1.72,False
15min,4,1.2,1,0,0.5,3R,"(1,)",1963,293,1.032,48.1,0.1,0.36,-68.9,4/8,2.62,False
15min,4,1.2,1,0,0.5,3R,"(-1,)",1906,284,0.848,-235.4,-0.12,0.323,-281.5,3/8,2.63,False
15min,4,1.2,1,0,0.5,3R,"(1, -1)",3869,576,0.939,-187.3,-0.09,0.342,-317.4,3/8,2.62,False
15min,4,1.2,1,1,0.1,2R,"(1,)",1130,168,0.793,-171.3,-0.12,0.412,-212.8,2/8,1.64,False
15min,4,1.2,1,1,0.1,2R,"(-1,)",755,114,0.699,-172.5,-0.14,0.384,-187.5,2/8,1.65,False
15min,4,1.2,1,1,0.1,2R,"(1, -1)",1885,281,0.755,-343.7,-0.13,0.401,-395.3,2/8,1.65,False
15min,4,1.2,1,1,0.1,3R,"(1,)",1130,168,0.957,-39.2,-0.05,0.361,-127.3,3/8,2.52,False
15min,4,1.2,1,1,0.1,3R,"(-1,)",755,114,0.922,-48.0,-0.08,0.346,-89.7,3/8,2.53,False
15min,4,1.2,1,1,0.1,3R,"(1, -1)",1885,281,0.943,-87.2,-0.06,0.355,-200.5,2/8,2.52,False
15min,4,1.2,1,1,0.25,2R,"(1,)",1154,172,0.844,-127.9,-0.11,0.418,-173.2,2/8,1.67,False
15min,4,1.2,1,1,0.25,2R,"(-1,)",777,117,0.728,-158.7,-0.13,0.381,-179.6,1/8,1.68,False
15min,4,1.2,1,1,0.25,2R,"(1, -1)",1931,288,0.796,-286.5,-0.12,0.403,-346.2,2/8,1.68,False
15min,4,1.2,1,1,0.25,3R,"(1,)",1154,172,0.97,-27.7,-0.04,0.355,-114.6,3/8,2.56,False
15min,4,1.2,1,1,0.25,3R,"(-1,)",777,117,0.868,-84.2,-0.1,0.332,-123.1,3/8,2.57,False
15min,4,1.2,1,1,0.25,3R,"(1, -1)",1931,288,0.928,-111.9,-0.07,0.346,-227.0,2/8,2.56,False
15min,4,1.2,1,1,0.5,2R,"(1,)",1182,176,0.864,-112.5,-0.1,0.412,-164.6,2/8,1.71,False
15min,4,1.2,1,1,0.5,2R,"(-1,)",799,120,0.797,-117.2,-0.13,0.388,-136.5,2/8,1.72,False
15min,4,1.2,1,1,0.5,2R,"(1, -1)",1981,295,0.837,-229.7,-0.12,0.402,-291.8,2/8,1.72,False
15min,4,1.2,1,1,0.5,3R,"(1,)",1182,176,1.016,14.8,0.03,0.354,-73.1,3/8,2.61,False
15min,4,1.2,1,1,0.5,3R,"(-1,)",799,120,0.819,-119.5,-0.12,0.312,-146.6,2/8,2.62,False
15min,4,1.2,1,1,0.5,3R,"(1, -1)",1981,295,0.934,-104.7,-0.08,0.337,-204.6,2/8,2.61,False
15min,4,1.5,0,0,0.1,2R,"(1,)",1251,187,0.822,-158.1,-0.12,0.411,-196.7,2/8,1.69,False
15min,4,1.5,0,0,0.1,2R,"(-1,)",1297,193,0.749,-239.3,-0.14,0.395,-263.2,1/8,1.69,False
15min,4,1.5,0,0,0.1,2R,"(1, -1)",2548,380,0.784,-397.4,-0.14,0.403,-438.3,2/8,1.69,False
15min,4,1.5,0,0,0.1,3R,"(1,)",1251,187,1.008,7.6,0.02,0.372,-67.1,4/8,2.58,False
15min,4,1.5,0,0,0.1,3R,"(-1,)",1297,193,0.927,-75.4,-0.08,0.346,-135.1,4/8,2.58,False
15min,4,1.5,0,0,0.1,3R,"(1, -1)",2548,380,0.966,-67.7,-0.06,0.359,-175.6,3/8,2.58,False
15min,4,1.5,0,0,0.25,2R,"(1,)",1274,190,0.874,-111.2,-0.1,0.418,-162.6,2/8,1.72,False
15min,4,1.5,0,0,0.25,2R,"(-1,)",1323,197,0.776,-214.7,-0.13,0.392,-240.0,2/8,1.72,False
15min,4,1.5,0,0,0.25,2R,"(1, -1)",2597,387,0.823,-325.9,-0.13,0.405,-375.1,2/8,1.72,False
15min,4,1.5,0,0,0.25,3R,"(1,)",1274,190,1.027,26.1,0.06,0.367,-65.0,4/8,2.62,False
15min,4,1.5,0,0,0.25,3R,"(-1,)",1323,197,0.899,-106.5,-0.09,0.339,-167.2,3/8,2.62,False
15min,4,1.5,0,0,0.25,3R,"(1, -1)",2597,387,0.96,-80.4,-0.06,0.353,-193.8,3/8,2.62,False
15min,4,1.5,0,0,0.5,2R,"(1,)",1310,195,0.883,-104.6,-0.11,0.415,-146.7,1/8,1.75,False
15min,4,1.5,0,0,0.5,2R,"(-1,)",1356,202,0.816,-175.6,-0.13,0.393,-206.9,2/8,1.75,False
15min,4,1.5,0,0,0.5,2R,"(1, -1)",2666,397,0.848,-280.1,-0.13,0.404,-327.8,2/8,1.75,False
15min,4,1.5,0,0,0.5,3R,"(1,)",1310,195,1.059,57.7,0.18,0.365,-48.9,5/8,2.67,False
15min,4,1.5,0,0,0.5,3R,"(-1,)",1356,202,0.871,-138.3,-0.12,0.329,-177.0,2/8,2.66,False
15min,4,1.5,0,0,0.5,3R,"(1, -1)",2666,397,0.961,-80.7,-0.07,0.347,-180.2,3/8,2.67,False
15min,4,1.5,0,1,0.1,2R,"(1,)",766,114,0.821,-98.2,-0.11,0.406,-134.2,1/8,1.69,False
15min,4,1.5,0,1,0.1,2R,"(-1,)",562,84,0.661,-147.8,-0.14,0.359,-158.1,1/8,1.69,False
15min,4,1.5,0,1,0.1,2R,"(1, -1)",1328,198,0.75,-246.0,-0.13,0.386,-278.5,2/8,1.69,False
15min,4,1.5,0,1,0.1,3R,"(1,)",766,114,0.992,-5.0,-0.01,0.366,-74.2,4/8,2.59,False
15min,4,1.5,0,1,0.1,3R,"(-1,)",562,84,0.874,-57.7,-0.1,0.329,-86.0,3/8,2.58,False
15min,4,1.5,0,1,0.1,3R,"(1, -1)",1328,198,0.941,-62.7,-0.06,0.35,-150.3,2/8,2.58,False
15min,4,1.5,0,1,0.25,2R,"(1,)",778,116,0.879,-65.5,-0.09,0.415,-111.6,1/8,1.72,False
15min,4,1.5,0,1,0.25,2R,"(-1,)",574,86,0.701,-130.2,-0.13,0.362,-144.9,1/8,1.72,False
15min,4,1.5,0,1,0.25,2R,"(1, -1)",1352,201,0.8,-195.7,-0.12,0.393,-244.3,2/8,1.72,False
15min,4,1.5,0,1,0.25,3R,"(1,)",778,116,1.002,1.0,0.0,0.359,-86.9,4/8,2.62,False
15min,4,1.5,0,1,0.25,3R,"(-1,)",574,86,0.848,-71.1,-0.1,0.326,-102.5,3/8,2.61,False
15min,4,1.5,0,1,0.25,3R,"(1, -1)",1352,201,0.934,-70.1,-0.06,0.345,-171.9,2/8,2.62,False
15min,4,1.5,0,1,0.5,2R,"(1,)",798,119,0.875,-68.5,-0.09,0.407,-115.8,1/8,1.76,False
15min,4,1.5,0,1,0.5,2R,"(-1,)",590,88,0.778,-94.2,-0.13,0.375,-109.7,2/8,1.75,False
15min,4,1.5,0,1,0.5,2R,"(1, -1)",1388,207,0.833,-162.7,-0.11,0.393,-215.5,2/8,1.75,False
15min,4,1.5,0,1,0.5,3R,"(1,)",798,119,1.048,28.7,0.07,0.36,-64.3,4/8,2.67,False
15min,4,1.5,0,1,0.5,3R,"(-1,)",590,88,0.834,-78.4,-0.12,0.315,-96.8,2/8,2.66,False
15min,4,1.5,0,1,0.5,3R,"(1, -1)",1388,207,0.953,-49.7,-0.05,0.341,-142.4,2/8,2.67,False
15min,4,1.5,1,0,0.1,2R,"(1,)",1179,176,0.822,-149.8,-0.12,0.414,-185.8,2/8,1.68,False
15min,4,1.5,1,0,0.1,2R,"(-1,)",1206,180,0.724,-249.4,-0.14,0.391,-274.9,1/8,1.68,False
15min,4,1.5,1,0,0.1,2R,"(1, -1)",2385,355,0.771,-399.2,-0.13,0.402,-444.3,2/8,1.68,False
15min,4,1.5,1,0,0.1,3R,"(1,)",1179,176,1.011,9.8,0.02,0.372,-62.0,4/8,2.56,False
15min,4,1.5,1,0,0.1,3R,"(-1,)",1206,180,0.898,-99.9,-0.09,0.34,-158.6,3/8,2.56,False
15min,4,1.5,1,0,0.1,3R,"(1, -1)",2385,355,0.952,-90.2,-0.07,0.356,-196.0,3/8,2.56,False
15min,4,1.5,1,0,0.25,2R,"(1,)",1202,179,0.872,-107.4,-0.1,0.42,-153.5,2/8,1.7,False
15min,4,1.5,1,0,0.25,2R,"(-1,)",1232,184,0.753,-224.2,-0.13,0.388,-250.1,2/8,1.71,False
15min,4,1.5,1,0,0.25,2R,"(1, -1)",2434,363,0.81,-331.7,-0.13,0.404,-380.1,2/8,1.71,False
15min,4,1.5,1,0,0.25,3R,"(1,)",1202,179,1.025,22.9,0.05,0.365,-62.1,4/8,2.6,False
15min,4,1.5,1,0,0.25,3R,"(-1,)",1232,184,0.864,-136.3,-0.1,0.332,-195.1,3/8,2.6,False
15min,4,1.5,1,0,0.25,3R,"(1, -1)",2434,363,0.941,-113.4,-0.08,0.348,-218.3,3/8,2.6,False
15min,4,1.5,1,0,0.5,2R,"(1,)",1234,184,0.882,-100.0,-0.11,0.415,-139.7,1/8,1.74,False
15min,4,1.5,1,0,0.5,2R,"(-1,)",1265,189,0.792,-189.6,-0.13,0.387,-222.2,2/8,1.74,False
15min,4,1.5,1,0,0.5,2R,"(1, -1)",2499,372,0.835,-289.6,-0.13,0.401,-338.1,2/8,1.74,False
15min,4,1.5,1,0,0.5,3R,"(1,)",1234,184,1.06,55.7,0.18,0.363,-45.7,5/8,2.65,False
15min,4,1.5,1,0,0.5,3R,"(-1,)",1265,189,0.84,-163.4,-0.12,0.321,-201.0,2/8,2.65,False
15min,4,1.5,1,0,0.5,3R,"(1, -1)",2499,372,0.945,-107.7,-0.08,0.342,-201.0,3/8,2.65,False
15min,4,1.5,1,1,0.1,2R,"(1,)",712,106,0.827,-88.7,-0.11,0.412,-124.0,2/8,1.68,False
15min,4,1.5,1,1,0.1,2R,"(-1,)",509,77,0.629,-149.3,-0.14,0.354,-161.1,2/8,1.67,False
15min,4,1.5,1,1,0.1,2R,"(1, -1)",1221,182,0.74,-237.9,-0.13,0.387,-274.1,2/8,1.67,False
15min,4,1.5,1,1,0.1,3R,"(1,)",712,106,1.002,1.2,0.0,0.368,-66.5,4/8,2.56,False
15min,4,1.5,1,1,0.1,3R,"(-1,)",509,77,0.847,-64.6,-0.1,0.324,-95.8,3/8,2.55,False
15min,4,1.5,1,1,0.1,3R,"(1, -1)",1221,182,0.935,-63.4,-0.06,0.35,-155.3,3/8,2.56,False
15min,4,1.5,1,1,0.25,2R,"(1,)",724,108,0.88,-61.2,-0.09,0.419,-103.8,1/8,1.7,False
15min,4,1.5,1,1,0.25,2R,"(-1,)",521,78,0.67,-132.9,-0.13,0.357,-148.5,2/8,1.7,False
15min,4,1.5,1,1,0.25,2R,"(1, -1)",1245,186,0.787,-194.1,-0.12,0.393,-242.8,2/8,1.7,False
15min,4,1.5,1,1,0.25,3R,"(1,)",724,108,1.002,1.3,0.0,0.358,-81.1,4/8,2.6,False
15min,4,1.5,1,1,0.25,3R,"(-1,)",521,78,0.809,-82.8,-0.11,0.319,-115.8,3/8,2.59,False
15min,4,1.5,1,1,0.25,3R,"(1, -1)",1245,186,0.919,-81.5,-0.07,0.341,-183.0,2/8,2.6,False
15min,4,1.5,1,1,0.5,2R,"(1,)",742,111,0.877,-63.2,-0.09,0.408,-109.7,1/8,1.74,False
15min,4,1.5,1,1,0.5,2R,"(-1,)",537,81,0.755,-96.6,-0.13,0.371,-115.1,2/8,1.74,False
15min,4,1.5,1,1,0.5,2R,"(1, -1)",1279,191,0.824,-159.8,-0.11,0.392,-215.8,2/8,1.74,False
15min,4,1.5,1,1,0.5,3R,"(1,)",742,111,1.055,30.9,0.08,0.358,-56.3,4/8,2.65,False
15min,4,1.5,1,1,0.5,3R,"(-1,)",537,81,0.793,-91.3,-0.12,0.307,-112.6,2/8,2.64,False
15min,4,1.5,1,1,0.5,3R,"(1, -1)",1279,191,0.94,-60.4,-0.06,0.337,-154.1,3/8,2.65,False
15min,4,2.0,0,0,0.1,2R,"(1,)",484,72,0.903,-31.7,-0.08,0.426,-58.9,4/8,1.74,False
15min,4,2.0,0,0,0.1,2R,"(-1,)",505,76,0.846,-54.2,-0.13,0.406,-63.4,1/8,1.75,False
15min,4,2.0,0,0,0.1,2R,"(1, -1)",989,147,0.873,-86.0,-0.12,0.416,-109.7,2/8,1.74,False
15min,4,2.0,0,0,0.1,3R,"(1,)",484,72,1.089,31.6,0.16,0.384,-29.4,6/8,2.65,False
15min,4,2.0,0,0,0.1,3R,"(-1,)",505,76,1.013,5.0,0.02,0.356,-40.2,5/8,2.66,False
15min,4,2.0,0,0,0.1,3R,"(1, -1)",989,147,1.05,36.6,0.12,0.37,-46.6,6/8,2.65,False
15min,4,2.0,0,0,0.25,2R,"(1,)",489,73,0.925,-24.6,-0.06,0.421,-61.6,2/8,1.76,False
15min,4,2.0,0,0,0.25,2R,"(-1,)",512,77,0.838,-57.4,-0.14,0.396,-62.6,1/8,1.77,False
15min,4,2.0,0,0,0.25,2R,"(1, -1)",1001,149,0.88,-82.0,-0.11,0.409,-108.6,3/8,1.76,False
15min,4,2.0,0,0,0.25,3R,"(1,)",489,73,1.128,45.4,0.22,0.384,-30.1,5/8,2.68,False
15min,4,2.0,0,0,0.25,3R,"(-1,)",512,77,1.005,1.8,0.01,0.355,-37.1,4/8,2.69,False
15min,4,2.0,0,0,0.25,3R,"(1, -1)",1001,149,1.064,47.2,0.15,0.37,-46.2,6/8,2.68,False
15min,4,2.0,0,0,0.5,2R,"(1,)",499,74,0.974,-8.3,-0.03,0.431,-43.2,3/8,1.79,False
15min,4,2.0,0,0,0.5,2R,"(-1,)",522,78,0.915,-29.5,-0.1,0.406,-45.9,2/8,1.8,False
15min,4,2.0,0,0,0.5,2R,"(1, -1)",1021,152,0.943,-37.8,-0.09,0.418,-66.0,4/8,1.79,False
15min,4,2.0,0,0,0.5,3R,"(1,)",499,74,1.147,52.4,0.3,0.381,-25.9,6/8,2.72,False
15min,4,2.0,0,0,0.5,3R,"(-1,)",522,78,0.94,-23.3,-0.08,0.349,-41.4,4/8,2.73,False
15min,4,2.0,0,0,0.5,3R,"(1, -1)",1021,152,1.039,29.1,0.09,0.364,-50.7,4/8,2.72,False
15min,4,2.0,0,1,0.1,2R,"(1,)",304,45,0.971,-5.7,-0.03,0.444,-26.4,3/8,1.75,False
15min,4,2.0,0,1,0.1,2R,"(-1,)",211,32,0.598,-68.1,-0.15,0.327,-70.0,1/8,1.77,False
15min,4,2.0,0,1,0.1,2R,"(1, -1)",515,77,0.799,-73.8,-0.13,0.396,-87.4,2/8,1.76,False
15min,4,2.0,0,1,0.1,3R,"(1,)",304,45,1.175,37.8,0.39,0.401,-14.5,6/8,2.66,False
15min,4,2.0,0,1,0.1,3R,"(-1,)",211,32,0.797,-35.5,-0.14,0.308,-39.1,1/8,2.69,False
15min,4,2.0,0,1,0.1,3R,"(1, -1)",515,77,1.006,2.3,0.01,0.363,-30.7,4/8,2.67,False
15min,4,2.0,0,1,0.25,2R,"(1,)",305,45,1.026,5.0,0.03,0.446,-23.9,4/8,1.77,False
15min,4,2.0,0,1,0.25,2R,"(-1,)",212,32,0.667,-54.0,-0.14,0.344,-56.3,1/8,1.79,False
15min,4,2.0,0,1,0.25,2R,"(1, -1)",517,77,0.863,-49.0,-0.1,0.404,-70.7,2/8,1.78,False
15min,4,2.0,0,1,0.25,3R,"(1,)",305,45,1.226,48.6,0.49,0.403,-14.8,5/8,2.69,False
15min,4,2.0,0,1,0.25,3R,"(-1,)",212,32,0.818,-31.4,-0.12,0.311,-39.8,2/8,2.72,False
15min,4,2.0,0,1,0.25,3R,"(1, -1)",517,77,1.045,17.3,0.08,0.366,-33.0,4/8,2.7,False
15min,4,2.0,0,1,0.5,2R,"(1,)",309,46,1.076,14.4,0.11,0.453,-20.1,4/8,1.8,False
15min,4,2.0,0,1,0.5,2R,"(-1,)",215,32,0.777,-34.3,-0.14,0.367,-35.9,1/8,1.82,False
15min,4,2.0,0,1,0.5,2R,"(1, -1)",524,78,0.942,-19.9,-0.07,0.418,-45.0,4/8,1.81,False
15min,4,2.0,0,1,0.5,3R,"(1,)",309,46,1.272,57.5,0.64,0.401,-13.5,5/8,2.73,False
15min,4,2.0,0,1,0.5,3R,"(-1,)",215,32,0.8,-34.0,-0.12,0.312,-41.6,2/8,2.76,False
15min,4,2.0,0,1,0.5,3R,"(1, -1)",524,78,1.062,23.5,0.12,0.365,-28.6,4/8,2.74,False
15min,4,2.0,1,0,0.1,2R,"(1,)",434,65,0.886,-34.2,-0.09,0.426,-57.0,3/8,1.71,False
15min,4,2.0,1,0,0.1,2R,"(-1,)",449,67,0.795,-66.2,-0.13,0.396,-75.0,1/8,1.72,False
15min,4,2.0,1,0,0.1,2R,"(1, -1)",883,132,0.839,-100.4,-0.12,0.411,-122.5,1/8,1.72,False
15min,4,2.0,1,0,0.1,3R,"(1,)",434,65,1.077,25.1,0.12,0.38,-31.6,6/8,2.61,False
15min,4,2.0,1,0,0.1,3R,"(-1,)",449,67,0.958,-14.7,-0.04,0.343,-56.5,4/8,2.63,False
15min,4,2.0,1,0,0.1,3R,"(1, -1)",883,132,1.015,10.4,0.02,0.361,-68.1,6/8,2.62,False
15min,4,2.0,1,0,0.25,2R,"(1,)",439,65,0.902,-29.4,-0.07,0.419,-59.0,2/8,1.74,False
15min,4,2.0,1,0,0.25,2R,"(-1,)",456,68,0.786,-69.9,-0.14,0.384,-74.7,1/8,1.75,False
15min,4,2.0,1,0,0.25,2R,"(1, -1)",895,133,0.842,-99.2,-0.12,0.401,-124.4,3/8,1.74,False
15min,4,2.0,1,0,0.25,3R,"(1,)",439,65,1.11,36.3,0.16,0.378,-32.9,5/8,2.65,False
15min,4,2.0,1,0,0.25,3R,"(-1,)",456,68,0.939,-21.5,-0.06,0.34,-52.9,3/8,2.66,False
15min,4,2.0,1,0,0.25,3R,"(1, -1)",895,133,1.022,14.8,0.03,0.359,-66.9,5/8,2.65,False
15min,4,2.0,1,0,0.5,2R,"(1,)",448,67,0.967,-9.9,-0.04,0.429,-41.1,3/8,1.77,False
15min,4,2.0,1,0,0.5,2R,"(-1,)",466,70,0.857,-46.2,-0.12,0.391,-56.8,2/8,1.78,False
15min,4,2.0,1,0,0.5,2R,"(1, -1)",914,136,0.909,-56.1,-0.1,0.409,-84.3,4/8,1.77,False
15min,4,2.0,1,0,0.5,3R,"(1,)",448,67,1.136,44.9,0.23,0.373,-28.9,6/8,2.69,False
15min,4,2.0,1,0,0.5,3R,"(-1,)",466,70,0.888,-40.6,-0.11,0.333,-57.6,3/8,2.7,False
15min,4,2.0,1,0,0.5,3R,"(1, -1)",914,136,1.006,4.3,0.01,0.352,-70.2,4/8,2.7,False
15min,4,2.0,1,1,0.1,2R,"(1,)",267,40,0.95,-8.9,-0.05,0.446,-26.0,5/8,1.72,False
15min,4,2.0,1,1,0.1,2R,"(-1,)",181,27,0.526,-72.6,-0.15,0.304,-74.6,0/8,1.74,False
15min,4,2.0,1,1,0.1,2R,"(1, -1)",448,67,0.754,-81.5,-0.13,0.388,-93.4,2/8,1.73,False
15min,4,2.0,1,1,0.1,3R,"(1,)",267,40,1.16,31.6,0.28,0.397,-16.6,5/8,2.63,False
15min,4,2.0,1,1,0.1,3R,"(-1,)",181,27,0.727,-43.1,-0.14,0.287,-47.6,3/8,2.65,False
15min,4,2.0,1,1,0.1,3R,"(1, -1)",448,67,0.967,-11.6,-0.04,0.353,-42.1,4/8,2.64,False
15min,4,2.0,1,1,0.25,2R,"(1,)",268,40,0.993,-1.2,-0.01,0.444,-23.5,4/8,1.74,False
15min,4,2.0,1,1,0.25,2R,"(-1,)",182,27,0.583,-61.3,-0.15,0.319,-63.7,1/8,1.76,False
15min,4,2.0,1,1,0.25,2R,"(1, -1)",450,67,0.807,-62.5,-0.11,0.393,-81.4,3/8,1.75,False
15min,4,2.0,1,1,0.25,3R,"(1,)",268,40,1.199,39.3,0.34,0.396,-17.4,5/8,2.66,False
15min,4,2.0,1,1,0.25,3R,"(-1,)",182,27,0.726,-42.6,-0.13,0.286,-49.7,3/8,2.68,False
15min,4,2.0,1,1,0.25,3R,"(1, -1)",450,67,0.991,-3.3,-0.01,0.351,-47.5,4/8,2.67,False
15min,4,2.0,1,1,0.5,2R,"(1,)",271,40,1.063,10.9,0.09,0.45,-18.1,5/8,1.78,False
15min,4,2.0,1,1,0.5,2R,"(-1,)",185,28,0.703,-41.6,-0.14,0.346,-44.4,1/8,1.79,False
15min,4,2.0,1,1,0.5,2R,"(1, -1)",456,68,0.902,-30.7,-0.08,0.408,-53.9,4/8,1.78,False
15min,4,2.0,1,1,0.5,3R,"(1,)",271,40,1.251,48.7,0.46,0.391,-15.7,5/8,2.7,False
