rule,k,ote,sl_buf,tp_r,sweep_lb,need_conf,trend_mode,session,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,3.0,3,3,down,all,2845,426,0.861,-331.1,-0.13,0.287,-389.1,1/8,2.75,False
15min,2,0.5,0.05,3.0,3,3,down,kz,1508,226,0.947,-64.6,-0.07,0.306,-144.2,3/8,2.74,False
15min,2,0.5,0.05,3.0,3,3,off,all,7816,1165,0.893,-689.7,-0.14,0.299,-750.5,0/8,2.74,False
15min,2,0.5,0.05,3.0,3,3,off,kz,4043,603,0.93,-232.4,-0.12,0.305,-291.8,3/8,2.73,False
15min,2,0.5,0.05,3.0,3,3,fade,all,4971,741,0.912,-358.7,-0.13,0.305,-401.3,1/8,2.73,False
15min,2,0.5,0.05,3.0,3,3,fade,kz,2535,378,0.919,-167.9,-0.11,0.305,-223.5,2/8,2.73,False
15min,2,0.5,0.05,3.0,3,4,down,all,2565,384,0.872,-273.1,-0.11,0.288,-363.7,2/8,2.76,False
15min,2,0.5,0.05,3.0,3,4,down,kz,1353,203,0.948,-56.5,-0.06,0.304,-140.0,3/8,2.75,False
15min,2,0.5,0.05,3.0,3,4,off,all,7058,1052,0.893,-622.4,-0.13,0.297,-689.0,0/8,2.75,False
15min,2,0.5,0.05,3.0,3,4,off,kz,3656,545,0.918,-246.3,-0.13,0.301,-280.8,1/8,2.74,False
15min,2,0.5,0.05,3.0,3,4,fade,all,4493,670,0.905,-349.3,-0.13,0.302,-388.8,1/8,2.74,False
15min,2,0.5,0.05,3.0,3,4,fade,kz,2303,343,0.9,-189.8,-0.12,0.299,-232.8,2/8,2.74,False
15min,2,0.5,0.05,3.0,3,5,down,all,1561,234,0.848,-197.5,-0.11,0.274,-267.2,1/8,2.81,False
15min,2,0.5,0.05,3.0,3,5,down,kz,810,121,0.953,-30.3,-0.04,0.294,-112.1,3/8,2.81,False
15min,2,0.5,0.05,3.0,3,5,off,all,4277,638,0.875,-438.3,-0.14,0.283,-471.3,1/8,2.8,False
15min,2,0.5,0.05,3.0,3,5,off,kz,2180,325,0.871,-230.8,-0.13,0.278,-258.5,1/8,2.8,False
15min,2,0.5,0.05,3.0,3,5,fade,all,2716,405,0.891,-240.8,-0.14,0.288,-251.6,0/8,2.8,False
15min,2,0.5,0.05,3.0,3,5,fade,kz,1370,204,0.825,-200.5,-0.14,0.269,-207.4,1/8,2.8,False
15min,2,0.5,0.05,3.0,6,3,down,all,3235,485,0.857,-387.2,-0.13,0.287,-462.4,1/8,2.75,False
15min,2,0.5,0.05,3.0,6,3,down,kz,1674,251,0.942,-79.0,-0.07,0.305,-169.7,3/8,2.74,False
15min,2,0.5,0.05,3.0,6,3,off,all,8923,1330,0.897,-761.0,-0.13,0.3,-860.7,1/8,2.74,False
15min,2,0.5,0.05,3.0,6,3,off,kz,4551,678,0.919,-302.9,-0.13,0.303,-359.6,2/8,2.73,False
15min,2,0.5,0.05,3.0,6,3,fade,all,5688,848,0.92,-373.7,-0.13,0.307,-419.3,1/8,2.73,False
15min,2,0.5,0.05,3.0,6,3,fade,kz,2877,429,0.905,-223.8,-0.12,0.301,-269.6,2/8,2.73,False
15min,2,0.5,0.05,3.0,6,4,down,all,2902,435,0.862,-334.5,-0.12,0.287,-433.9,2/8,2.76,False
15min,2,0.5,0.05,3.0,6,4,down,kz,1490,223,0.941,-71.3,-0.07,0.303,-162.6,2/8,2.75,False
15min,2,0.5,0.05,3.0,6,4,off,all,8017,1195,0.891,-723.8,-0.13,0.297,-821.3,1/8,2.75,False
15min,2,0.5,0.05,3.0,6,4,off,kz,4096,611,0.905,-319.2,-0.13,0.298,-362.9,1/8,2.74,False
15min,2,0.5,0.05,3.0,6,4,fade,all,5115,763,0.907,-389.3,-0.13,0.302,-434.4,0/8,2.74,False
15min,2,0.5,0.05,3.0,6,4,fade,kz,2606,389,0.885,-247.9,-0.13,0.295,-282.7,0/8,2.74,False
15min,2,0.5,0.05,3.0,6,5,down,all,1752,263,0.819,-265.3,-0.12,0.268,-321.8,1/8,2.81,False
15min,2,0.5,0.05,3.0,6,5,down,kz,887,133,0.924,-54.2,-0.06,0.287,-130.6,3/8,2.81,False
15min,2,0.5,0.05,3.0,6,5,off,all,4811,717,0.865,-535.7,-0.14,0.28,-561.0,1/8,2.8,False
15min,2,0.5,0.05,3.0,6,5,off,kz,2416,360,0.869,-261.3,-0.14,0.278,-284.9,1/8,2.8,False
15min,2,0.5,0.05,3.0,6,5,fade,all,3059,456,0.892,-270.4,-0.14,0.288,-285.6,1/8,2.8,False
15min,2,0.5,0.05,3.0,6,5,fade,kz,1529,228,0.838,-207.1,-0.14,0.273,-217.7,1/8,2.8,False
