rule,k,block,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
1h,3,mitigation,0.05,2R,0,"(-1,)",216,32,0.765,-33.9,-0.15,0.315,-32.8,2/8,1.94,False
1h,3,mitigation,0.05,2R,0,"(1, -1)",412,62,0.864,-35.8,-0.12,0.347,-43.3,3/8,1.94,False
1h,3,mitigation,0.05,2R,1,"(1,)",130,20,1.078,5.9,0.06,0.392,-16.3,4/8,1.94,False
1h,3,mitigation,0.05,2R,1,"(-1,)",103,15,0.714,-18.8,-0.14,0.291,-21.0,2/8,1.94,False
1h,3,mitigation,0.05,2R,1,"(1, -1)",233,35,0.909,-12.9,-0.08,0.348,-24.3,3/8,1.94,False
1h,3,mitigation,0.05,3R,0,"(1,)",196,29,1.076,9.4,0.12,0.357,-11.9,3/8,2.92,False
1h,3,mitigation,0.05,3R,0,"(-1,)",216,32,0.798,-30.6,-0.15,0.282,-30.1,3/8,2.92,False
1h,3,mitigation,0.05,3R,0,"(1, -1)",412,62,0.923,-21.1,-0.11,0.318,-28.4,4/8,2.92,False
1h,3,mitigation,0.05,3R,1,"(1,)",130,20,1.192,15.4,0.15,0.362,-15.3,4/8,2.92,False
1h,3,mitigation,0.05,3R,1,"(-1,)",103,15,0.837,-11.1,-0.12,0.272,-13.4,3/8,2.92,False
1h,3,mitigation,0.05,3R,1,"(1, -1)",233,35,1.029,4.3,0.03,0.322,-20.0,4/8,2.92,False
1h,3,mitigation,0.15,2R,0,"(1,)",197,30,0.94,-7.2,-0.05,0.376,-20.9,2/8,1.95,False
1h,3,mitigation,0.15,2R,0,"(-1,)",219,33,0.743,-37.5,-0.15,0.311,-36.5,2/8,1.94,False
1h,3,mitigation,0.15,2R,0,"(1, -1)",416,62,0.832,-44.8,-0.13,0.341,-52.2,3/8,1.95,False
1h,3,mitigation,0.15,2R,1,"(1,)",131,20,1.011,0.9,0.01,0.382,-20.2,4/8,1.95,False
1h,3,mitigation,0.15,2R,1,"(-1,)",106,16,0.716,-19.1,-0.13,0.292,-21.9,2/8,1.94,False
1h,3,mitigation,0.15,2R,1,"(1, -1)",237,36,0.874,-18.2,-0.09,0.342,-29.5,2/8,1.95,False
1h,3,mitigation,0.15,3R,0,"(1,)",197,30,0.969,-3.8,-0.03,0.355,-18.4,3/8,2.93,False
1h,3,mitigation,0.15,3R,0,"(-1,)",219,33,0.722,-42.5,-0.15,0.274,-41.4,2/8,2.93,False
1h,3,mitigation,0.15,3R,0,"(1, -1)",416,62,0.833,-46.3,-0.15,0.312,-47.7,3/8,2.93,False
1h,3,mitigation,0.15,3R,1,"(1,)",131,20,1.085,6.8,0.06,0.359,-18.0,4/8,2.93,False
1h,3,mitigation,0.15,3R,1,"(-1,)",106,16,0.802,-13.8,-0.12,0.264,-17.6,3/8,2.93,False
1h,3,mitigation,0.15,3R,1,"(1, -1)",237,36,0.954,-7.0,-0.04,0.316,-23.6,3/8,2.93,False
1h,3,mitigation,0.3,2R,0,"(1,)",201,30,0.908,-11.1,-0.08,0.373,-21.7,2/8,1.95,False
1h,3,mitigation,0.3,2R,0,"(-1,)",223,33,0.708,-42.1,-0.15,0.318,-41.1,2/8,1.95,False
1h,3,mitigation,0.3,2R,0,"(1, -1)",424,63,0.799,-53.3,-0.15,0.344,-52.2,2/8,1.95,False
1h,3,mitigation,0.3,2R,1,"(1,)",134,21,1.011,0.8,0.01,0.388,-20.4,4/8,1.95,False
1h,3,mitigation,0.3,2R,1,"(-1,)",106,16,0.792,-12.7,-0.13,0.33,-14.7,3/8,1.95,False
1h,3,mitigation,0.3,2R,1,"(1, -1)",240,36,0.913,-11.9,-0.07,0.362,-24.3,4/8,1.95,False
1h,3,mitigation,0.3,3R,0,"(1,)",201,30,0.919,-10.1,-0.07,0.358,-21.1,2/8,2.94,False
1h,3,mitigation,0.3,3R,0,"(-1,)",223,33,0.716,-41.8,-0.15,0.296,-40.8,2/8,2.93,False
1h,3,mitigation,0.3,3R,0,"(1, -1)",424,63,0.809,-51.9,-0.15,0.325,-50.9,2/8,2.94,False
1h,3,mitigation,0.3,3R,1,"(1,)",134,21,1.046,3.7,0.03,0.366,-20.2,3/8,2.94,False
1h,3,mitigation,0.3,3R,1,"(-1,)",106,16,0.913,-5.5,-0.07,0.311,-11.6,3/8,2.93,False
1h,3,mitigation,0.3,3R,1,"(1, -1)",240,36,0.987,-1.8,-0.01,0.342,-22.1,3/8,2.94,False
1h,3,mitigation,0.5,2R,0,"(1,)",207,31,0.833,-19.9,-0.13,0.377,-23.1,2/8,1.96,False
1h,3,mitigation,0.5,2R,0,"(-1,)",224,34,0.71,-39.7,-0.15,0.33,-38.7,1/8,1.96,False
1h,3,mitigation,0.5,2R,0,"(1, -1)",431,64,0.767,-59.6,-0.15,0.353,-58.5,1/8,1.96,False
1h,3,mitigation,0.5,2R,1,"(1,)",136,21,0.939,-4.5,-0.04,0.382,-19.6,3/8,1.96,False
1h,3,mitigation,0.5,2R,1,"(-1,)",107,16,0.814,-10.9,-0.11,0.346,-14.3,3/8,1.96,False
1h,3,mitigation,0.5,2R,1,"(1, -1)",243,37,0.884,-15.4,-0.1,0.366,-24.1,2/8,1.96,False
1h,3,mitigation,0.5,3R,0,"(1,)",207,31,0.835,-20.3,-0.11,0.357,-27.1,2/8,2.94,False
1h,3,mitigation,0.5,3R,0,"(-1,)",224,34,0.724,-38.2,-0.15,0.312,-39.1,2/8,2.94,False
1h,3,mitigation,0.5,3R,0,"(1, -1)",431,64,0.776,-58.5,-0.15,0.334,-58.6,2/8,2.94,False
1h,3,mitigation,0.5,3R,1,"(1,)",136,21,0.942,-4.5,-0.03,0.36,-25.0,2/8,2.95,False
1h,3,mitigation,0.5,3R,1,"(-1,)",107,16,0.892,-6.3,-0.06,0.327,-14.7,3/8,2.94,False
1h,3,mitigation,0.5,3R,1,"(1, -1)",243,37,0.92,-10.9,-0.06,0.346,-28.0,3/8,2.94,False
1h,4,breaker,0.05,2R,0,"(1,)",98,15,0.739,-16.0,-0.14,0.347,-17.9,2/8,1.96,False
1h,4,breaker,0.05,2R,0,"(-1,)",97,15,0.69,-19.3,-0.13,0.361,-23.8,3/8,1.96,False
1h,4,breaker,0.05,2R,0,"(1, -1)",195,30,0.715,-35.3,-0.14,0.354,-39.1,2/8,1.96,False
1h,4,breaker,0.05,2R,1,"(1,)",64,10,0.702,-12.6,-0.14,0.328,-13.9,3/8,1.96,False
1h,4,breaker,0.05,2R,1,"(-1,)",43,7,0.899,-2.2,-0.08,0.465,-4.5,3/7,1.96,False
1h,4,breaker,0.05,2R,1,"(1, -1)",107,16,0.769,-14.8,-0.14,0.383,-16.1,3/8,1.96,False
1h,4,breaker,0.05,3R,0,"(1,)",98,15,0.79,-12.9,-0.13,0.337,-15.8,3/8,2.94,False
1h,4,breaker,0.05,3R,0,"(-1,)",97,15,0.793,-12.9,-0.1,0.361,-19.2,3/8,2.94,False
1h,4,breaker,0.05,3R,0,"(1, -1)",195,30,0.792,-25.8,-0.13,0.349,-30.7,3/8,2.94,False
1h,4,breaker,0.05,3R,1,"(1,)",64,10,0.803,-8.4,-0.11,0.328,-11.1,3/8,2.95,False
1h,4,breaker,0.05,3R,1,"(-1,)",43,7,1.168,3.7,0.15,0.465,-4.0,4/7,2.95,False
1h,4,breaker,0.05,3R,1,"(1, -1)",107,16,0.927,-4.7,-0.06,0.383,-12.3,5/8,2.95,False
1h,4,breaker,0.15,2R,0,"(1,)",101,15,0.789,-12.8,-0.13,0.366,-14.6,2/8,1.96,False
1h,4,breaker,0.15,2R,0,"(-1,)",99,15,0.692,-19.0,-0.13,0.374,-23.2,3/8,1.96,False
1h,4,breaker,0.15,2R,0,"(1, -1)",200,31,0.74,-31.7,-0.14,0.37,-35.4,3/8,1.96,False
1h,4,breaker,0.15,2R,1,"(1,)",65,10,0.745,-10.4,-0.12,0.354,-13.3,4/8,1.96,False
1h,4,breaker,0.15,2R,1,"(-1,)",44,7,0.92,-1.7,-0.06,0.477,-4.6,3/7,1.96,False
1h,4,breaker,0.15,2R,1,"(1, -1)",109,17,0.806,-12.1,-0.14,0.404,-13.6,4/8,1.96,False
1h,4,breaker,0.15,3R,0,"(1,)",101,15,0.821,-10.8,-0.11,0.356,-15.1,3/8,2.95,False
1h,4,breaker,0.15,3R,0,"(-1,)",99,15,0.743,-16.1,-0.11,0.364,-21.8,3/8,2.95,False
1h,4,breaker,0.15,3R,0,"(1, -1)",200,31,0.782,-26.9,-0.13,0.36,-31.5,3/8,2.95,False
1h,4,breaker,0.15,3R,1,"(1,)",65,10,0.834,-6.8,-0.1,0.354,-10.8,4/8,2.95,False
1h,4,breaker,0.15,3R,1,"(-1,)",44,7,1.012,0.3,0.01,0.455,-7.1,4/7,2.95,False
1h,4,breaker,0.15,3R,1,"(1, -1)",109,17,0.897,-6.5,-0.07,0.394,-15.0,5/8,2.95,False
1h,4,breaker,0.3,2R,0,"(1,)",104,16,0.74,-16.1,-0.15,0.356,-16.7,2/8,1.96,False
1h,4,breaker,0.3,2R,0,"(-1,)",101,15,0.709,-17.6,-0.13,0.386,-19.8,3/8,1.97,False
1h,4,breaker,0.3,2R,0,"(1, -1)",205,31,0.724,-33.7,-0.14,0.371,-34.9,2/8,1.96,False
1h,4,breaker,0.3,2R,1,"(1,)",66,10,0.71,-11.9,-0.13,0.348,-14.5,4/8,1.96,False
1h,4,breaker,0.3,2R,1,"(-1,)",45,7,1.144,2.9,0.12,0.511,-4.1,4/7,1.97,False
1h,4,breaker,0.3,2R,1,"(1, -1)",111,17,0.852,-9.1,-0.11,0.414,-12.5,3/8,1.97,False
1h,4,breaker,0.3,3R,0,"(1,)",104,16,0.754,-15.2,-0.14,0.346,-16.9,3/8,2.95,False
1h,4,breaker,0.3,3R,0,"(-1,)",101,15,0.716,-17.6,-0.13,0.366,-21.2,3/8,2.95,False
1h,4,breaker,0.3,3R,0,"(1, -1)",205,31,0.735,-32.9,-0.14,0.356,-35.1,3/8,2.95,False
1h,4,breaker,0.3,3R,1,"(1,)",66,10,0.778,-9.1,-0.11,0.348,-12.3,4/8,2.95,False
1h,4,breaker,0.3,3R,1,"(-1,)",45,7,1.304,6.4,0.2,0.489,-5.2,3/7,2.96,False
1h,4,breaker,0.3,3R,1,"(1, -1)",111,17,0.955,-2.8,-0.04,0.405,-10.8,4/8,2.95,False
1h,4,breaker,0.5,2R,0,"(1,)",111,17,0.596,-25.6,-0.15,0.342,-26.2,1/8,1.97,False
1h,4,breaker,0.5,2R,0,"(-1,)",102,15,0.777,-12.3,-0.11,0.422,-16.5,4/8,1.97,False
1h,4,breaker,0.5,2R,0,"(1, -1)",213,32,0.68,-37.9,-0.15,0.38,-38.9,2/8,1.97,False
1h,4,breaker,0.5,2R,1,"(1,)",70,11,0.629,-14.9,-0.14,0.357,-15.7,4/8,1.97,False
1h,4,breaker,0.5,2R,1,"(-1,)",45,7,1.149,2.8,0.11,0.511,-4.1,4/7,1.97,False
1h,4,breaker,0.5,2R,1,"(1, -1)",115,18,0.796,-12.0,-0.14,0.417,-13.0,3/8,1.97,False
1h,4,breaker,0.5,3R,0,"(1,)",111,17,0.644,-22.6,-0.14,0.342,-24.2,3/8,2.96,False
1h,4,breaker,0.5,3R,0,"(-1,)",102,15,0.789,-11.9,-0.1,0.402,-18.7,4/8,2.96,False
1h,4,breaker,0.5,3R,0,"(1, -1)",213,32,0.712,-34.5,-0.14,0.371,-36.4,3/8,2.96,False
1h,4,breaker,0.5,3R,1,"(1,)",70,11,0.687,-12.5,-0.14,0.357,-14.1,3/8,2.96,False
1h,4,breaker,0.5,3R,1,"(-1,)",45,7,1.221,4.4,0.14,0.489,-5.1,3/7,2.96,False
1h,4,breaker,0.5,3R,1,"(1, -1)",115,18,0.865,-8.1,-0.1,0.409,-12.6,4/8,2.96,False
1h,4,mitigation,0.05,2R,0,"(1,)",150,22,1.046,3.8,0.05,0.4,-11.9,4/8,1.95,False
1h,4,mitigation,0.05,2R,0,"(-1,)",162,24,0.564,-48.2,-0.13,0.284,-55.1,0/8,1.95,False
1h,4,mitigation,0.05,2R,0,"(1, -1)",312,47,0.771,-44.4,-0.13,0.34,-49.8,1/8,1.95,False
1h,4,mitigation,0.05,2R,1,"(1,)",100,15,0.96,-2.3,-0.03,0.38,-10.0,4/8,1.95,False
1h,4,mitigation,0.05,2R,1,"(-1,)",76,11,0.591,-19.0,-0.14,0.316,-21.0,1/8,1.96,False
1h,4,mitigation,0.05,2R,1,"(1, -1)",176,27,0.794,-21.3,-0.14,0.352,-23.8,3/8,1.95,False
1h,4,mitigation,0.05,3R,0,"(1,)",150,22,1.013,1.1,0.01,0.373,-13.2,4/8,2.93,False
1h,4,mitigation,0.05,3R,0,"(-1,)",162,24,0.545,-52.8,-0.14,0.253,-55.3,0/8,2.94,False
1h,4,mitigation,0.05,3R,0,"(1, -1)",312,47,0.745,-51.6,-0.14,0.311,-53.9,0/8,2.93,False
1h,4,mitigation,0.05,3R,1,"(1,)",100,15,0.865,-8.0,-0.11,0.35,-11.5,2/8,2.93,False
1h,4,mitigation,0.05,3R,1,"(-1,)",76,11,0.653,-16.5,-0.14,0.303,-17.6,3/8,2.94,False
1h,4,mitigation,0.05,3R,1,"(1, -1)",176,27,0.77,-24.5,-0.14,0.33,-25.6,2/8,2.94,False
1h,4,mitigation,0.15,2R,0,"(1,)",150,22,0.961,-3.2,-0.04,0.393,-13.3,4/8,1.95,False
1h,4,mitigation,0.15,2R,0,"(-1,)",162,24,0.525,-51.9,-0.14,0.278,-55.9,0/8,1.96,False
1h,4,mitigation,0.15,2R,0,"(1, -1)",312,47,0.713,-55.1,-0.14,0.333,-57.3,0/8,1.96,False
1h,4,mitigation,0.15,2R,1,"(1,)",100,15,0.878,-6.9,-0.1,0.38,-10.5,3/8,1.95,False
1h,4,mitigation,0.15,2R,1,"(-1,)",76,11,0.579,-19.4,-0.14,0.316,-21.4,1/8,1.96,False
1h,4,mitigation,0.15,2R,1,"(1, -1)",176,27,0.743,-26.3,-0.15,0.352,-27.1,2/8,1.96,False
1h,4,mitigation,0.15,3R,0,"(1,)",150,22,0.946,-4.6,-0.04,0.38,-16.0,3/8,2.94,False
1h,4,mitigation,0.15,3R,0,"(-1,)",162,24,0.53,-52.8,-0.15,0.259,-53.8,0/8,2.94,False
1h,4,mitigation,0.15,3R,0,"(1, -1)",312,47,0.708,-57.3,-0.14,0.317,-59.4,0/8,2.94,False
1h,4,mitigation,0.15,3R,1,"(1,)",100,15,0.821,-10.3,-0.1,0.36,-15.0,2/8,2.94,False
1h,4,mitigation,0.15,3R,1,"(-1,)",76,11,0.635,-17.2,-0.14,0.303,-18.2,3/8,2.95,False
1h,4,mitigation,0.15,3R,1,"(1, -1)",176,27,0.737,-27.5,-0.15,0.335,-28.1,1/8,2.94,False
1h,4,mitigation,0.3,2R,0,"(1,)",152,23,1.001,0.1,0.0,0.408,-13.0,4/8,1.96,False
1h,4,mitigation,0.3,2R,0,"(-1,)",163,25,0.524,-50.4,-0.13,0.288,-57.2,1/8,1.96,False
1h,4,mitigation,0.3,2R,0,"(1, -1)",315,47,0.728,-50.3,-0.14,0.346,-54.5,0/8,1.96,False
1h,4,mitigation,0.3,2R,1,"(1,)",102,15,0.933,-3.6,-0.05,0.402,-10.7,3/8,1.96,False
1h,4,mitigation,0.3,2R,1,"(-1,)",77,12,0.602,-17.4,-0.14,0.338,-19.4,2/8,1.97,False
1h,4,mitigation,0.3,2R,1,"(1, -1)",179,27,0.785,-21.0,-0.14,0.374,-21.9,2/8,1.96,False
1h,4,mitigation,0.3,3R,0,"(1,)",152,23,0.97,-2.4,-0.03,0.395,-13.2,3/8,2.94,False
1h,4,mitigation,0.3,3R,0,"(-1,)",163,25,0.548,-48.7,-0.14,0.276,-53.7,0/8,2.95,False
1h,4,mitigation,0.3,3R,0,"(1, -1)",315,47,0.728,-51.1,-0.14,0.333,-55.6,0/8,2.95,False
1h,4,mitigation,0.3,3R,1,"(1,)",102,15,0.862,-7.6,-0.1,0.382,-11.9,2/8,2.94,False
1h,4,mitigation,0.3,3R,1,"(-1,)",77,12,0.652,-15.6,-0.14,0.325,-16.8,3/8,2.95,False
1h,4,mitigation,0.3,3R,1,"(1, -1)",179,27,0.768,-23.2,-0.14,0.358,-24.6,1/8,2.95,False
1h,4,mitigation,0.5,2R,0,"(1,)",153,23,0.932,-5.2,-0.06,0.412,-12.9,2/8,1.96,False
1h,4,mitigation,0.5,2R,0,"(-1,)",164,25,0.498,-50.3,-0.14,0.305,-55.5,0/8,1.97,False
1h,4,mitigation,0.5,2R,0,"(1, -1)",317,48,0.685,-55.5,-0.14,0.356,-57.7,0/8,1.97,False
1h,4,mitigation,0.5,2R,1,"(1,)",102,15,0.845,-8.0,-0.11,0.402,-11.4,2/8,1.96,False
1h,4,mitigation,0.5,2R,1,"(-1,)",78,12,0.564,-18.4,-0.13,0.346,-21.3,2/8,1.97,False
1h,4,mitigation,0.5,2R,1,"(1, -1)",180,27,0.719,-26.4,-0.14,0.378,-29.0,0/8,1.97,False
1h,4,mitigation,0.5,3R,0,"(1,)",153,23,0.931,-5.3,-0.07,0.399,-11.5,4/8,2.95,False
1h,4,mitigation,0.5,3R,0,"(-1,)",164,25,0.575,-42.6,-0.13,0.305,-50.2,0/8,2.96,False
1h,4,mitigation,0.5,3R,0,"(1, -1)",317,48,0.73,-47.9,-0.13,0.35,-54.0,2/8,2.95,False
1h,4,mitigation,0.5,3R,1,"(1,)",102,15,0.797,-10.8,-0.14,0.382,-11.8,2/8,2.95,False
1h,4,mitigation,0.5,3R,1,"(-1,)",78,12,0.661,-14.3,-0.12,0.346,-18.3,3/8,2.96,False
1h,4,mitigation,0.5,3R,1,"(1, -1)",180,27,0.737,-25.1,-0.13,0.367,-28.3,1/8,2.95,False
