rule,k,block,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,breaker,0.05,2R,1,"(1,)",486,73,1.012,3.9,0.02,0.391,-32.5,3/8,1.89,False
15min,3,breaker,0.05,2R,1,"(-1,)",324,49,0.942,-12.8,-0.06,0.377,-30.2,3/8,1.9,False
15min,3,breaker,0.05,2R,1,"(1, -1)",810,121,0.984,-8.9,-0.03,0.385,-45.5,4/8,1.89,False
15min,3,breaker,0.05,3R,0,"(1,)",780,116,0.963,-21.9,-0.05,0.296,-65.3,4/8,2.86,False
15min,3,breaker,0.05,3R,0,"(-1,)",758,113,0.89,-65.7,-0.09,0.278,-108.5,2/8,2.86,False
15min,3,breaker,0.05,3R,0,"(1, -1)",1538,229,0.927,-87.6,-0.1,0.287,-130.3,3/8,2.86,False
15min,3,breaker,0.05,3R,1,"(1,)",486,73,0.997,-1.2,-0.0,0.305,-40.1,4/8,2.86,False
15min,3,breaker,0.05,3R,1,"(-1,)",324,49,0.87,-33.5,-0.1,0.275,-52.2,2/8,2.86,False
15min,3,breaker,0.05,3R,1,"(1, -1)",810,121,0.945,-34.7,-0.07,0.293,-70.7,5/8,2.86,False
15min,3,breaker,0.15,2R,0,"(1,)",791,118,0.921,-42.7,-0.1,0.367,-63.2,2/8,1.9,False
15min,3,breaker,0.15,2R,0,"(-1,)",768,115,0.842,-85.8,-0.11,0.346,-115.9,1/8,1.9,False
15min,3,breaker,0.15,2R,0,"(1, -1)",1559,232,0.882,-128.4,-0.13,0.357,-142.0,2/8,1.9,False
15min,3,breaker,0.15,2R,1,"(1,)",492,73,1.013,4.3,0.03,0.388,-25.9,3/8,1.9,False
15min,3,breaker,0.15,2R,1,"(-1,)",331,50,0.94,-13.4,-0.06,0.375,-32.6,3/8,1.91,False
15min,3,breaker,0.15,2R,1,"(1, -1)",823,123,0.983,-9.1,-0.03,0.383,-45.8,3/8,1.9,False
15min,3,breaker,0.15,3R,0,"(1,)",791,118,0.972,-17.0,-0.04,0.3,-59.8,4/8,2.87,False
15min,3,breaker,0.15,3R,0,"(-1,)",768,115,0.927,-43.3,-0.07,0.289,-96.6,3/8,2.87,False
15min,3,breaker,0.15,3R,0,"(1, -1)",1559,232,0.949,-60.3,-0.07,0.294,-135.6,3/8,2.87,False
15min,3,breaker,0.15,3R,1,"(1,)",492,73,1.015,5.6,0.02,0.309,-43.6,5/8,2.87,False
15min,3,breaker,0.15,3R,1,"(-1,)",331,50,0.926,-18.7,-0.07,0.29,-42.9,3/8,2.87,False
