scenario,entry_zone,sl_buf_atr,min_sweep_atr,k,mss_look,tp_mode,wait_bars,n,per_yr,pf,mar,net,pos,d1_pf,c5_pf,oos_pf,pboot,passed
london,fvg_ce,0.1,0.1,3,24,2R,96,827,123,1.208,0.39,109.0,7/8,1.2,1.02,1.39,0.0037,False
london,fvg_ce,0.1,0.1,3,24,3R,48,764,114,1.214,0.38,123.6,6/8,1.38,1.05,1.42,0.0063,False
london,fvg_ce,0.1,0.1,3,24,3R,96,827,123,1.255,0.59,157.7,6/8,1.39,1.09,1.45,0.0013,False
london,fvg_ce,0.1,0.1,3,24,4R,48,764,114,1.217,0.53,136.4,6/8,1.5,1.07,1.38,0.0112,False
london,fvg_ce,0.1,0.1,3,24,4R,96,827,123,1.248,0.66,167.5,6/8,1.49,1.1,1.4,0.0037,False
london,fvg_ce,0.1,0.1,3,48,range,48,895,134,1.209,0.51,129.0,6/8,0.96,1.04,1.5,0.0125,False
london,fvg_ce,0.1,0.1,3,48,range,96,953,142,1.206,0.5,134.7,6/8,0.95,1.04,1.51,0.0063,False
london,fvg_ce,0.1,0.1,3,48,2R,48,897,134,1.236,0.6,132.9,8/8,0.82,1.05,1.43,0.0013,False
london,fvg_ce,0.1,0.1,3,48,2R,96,955,143,1.255,0.7,151.6,8/8,0.84,1.07,1.45,0.0013,False
london,fvg_ce,0.1,0.1,3,48,3R,48,897,134,1.295,0.69,194.8,7/8,0.94,1.13,1.49,0.0,False
london,fvg_ce,0.1,0.1,3,48,3R,96,955,143,1.318,0.9,222.2,7/8,0.96,1.15,1.52,0.0,False
london,fvg_ce,0.1,0.1,3,48,4R,48,897,134,1.31,0.71,223.5,7/8,1.0,1.16,1.52,0.0,False
london,fvg_ce,0.1,0.1,3,48,4R,96,955,143,1.333,0.85,254.7,7/8,1.02,1.18,1.53,0.0,False
london,fvg_ce,0.1,0.25,3,12,range,48,556,84,0.994,-0.0,-2.5,5/8,0.78,0.86,1.3,0.5425,False
london,fvg_ce,0.1,0.25,3,12,range,96,621,93,1.003,0.0,1.2,5/8,0.81,0.87,1.32,0.4838,False
london,fvg_ce,0.1,0.25,3,12,2R,48,556,84,0.977,-0.02,-8.8,4/8,0.68,0.83,1.16,0.6075,False
london,fvg_ce,0.1,0.25,3,12,2R,96,621,93,1.0,-0.0,-0.2,4/8,0.72,0.85,1.16,0.51,False
london,fvg_ce,0.1,0.25,3,12,3R,48,556,84,0.988,-0.01,-5.2,6/8,0.76,0.86,1.28,0.545,False
london,fvg_ce,0.1,0.25,3,12,3R,96,621,93,1.038,0.05,18.9,6/8,0.82,0.91,1.32,0.3337,False
london,fvg_ce,0.1,0.25,3,12,4R,48,556,84,0.997,-0.0,-1.3,5/8,0.8,0.88,1.23,0.55,False
london,fvg_ce,0.1,0.25,3,12,4R,96,621,93,1.051,0.07,27.5,6/8,0.87,0.93,1.29,0.3075,False
london,fvg_ce,0.1,0.25,3,24,range,48,664,99,1.086,0.09,41.3,7/8,1.7,0.94,1.37,0.2013,False
london,fvg_ce,0.1,0.25,3,24,range,96,731,109,1.085,0.1,44.7,6/8,1.63,0.94,1.34,0.1837,False
london,fvg_ce,0.1,0.25,3,24,2R,48,664,99,1.11,0.17,47.9,7/8,1.19,0.95,1.32,0.0988,False
london,fvg_ce,0.1,0.25,3,24,2R,96,731,109,1.139,0.23,66.2,7/8,1.19,0.98,1.3,0.0488,False
london,fvg_ce,0.1,0.25,3,24,3R,48,664,99,1.124,0.14,63.7,7/8,1.33,0.98,1.34,0.1025,False
london,fvg_ce,0.1,0.25,3,24,3R,96,731,109,1.167,0.27,93.6,7/8,1.34,1.03,1.33,0.025,False
london,fvg_ce,0.1,0.25,3,24,4R,48,664,99,1.101,0.15,56.2,6/8,1.43,0.97,1.21,0.1487,False
london,fvg_ce,0.1,0.25,3,24,4R,96,731,109,1.128,0.25,78.4,6/8,1.41,1.0,1.2,0.0838,False
london,fvg_ce,0.1,0.25,3,48,range,48,800,120,1.115,0.14,63.3,7/8,0.8,0.97,1.38,0.1187,False
london,fvg_ce,0.1,0.25,3,48,range,96,862,129,1.108,0.13,63.7,7/8,0.8,0.96,1.37,0.1175,False
london,fvg_ce,0.1,0.25,3,48,2R,48,804,120,1.195,0.4,100.0,7/8,0.79,1.03,1.37,0.005,False
london,fvg_ce,0.1,0.25,3,48,2R,96,866,129,1.208,0.44,114.4,7/8,0.82,1.04,1.37,0.0037,False
london,fvg_ce,0.1,0.25,3,48,3R,48,804,120,1.25,0.35,149.3,7/8,0.88,1.1,1.48,0.0013,False
london,fvg_ce,0.1,0.25,3,48,3R,96,866,129,1.276,0.48,176.2,7/8,0.92,1.13,1.5,0.0,False
london,fvg_ce,0.1,0.25,3,48,4R,48,804,120,1.239,0.34,155.6,7/8,0.91,1.1,1.44,0.005,False
london,fvg_ce,0.1,0.25,3,48,4R,96,866,129,1.261,0.47,182.5,7/8,0.95,1.12,1.46,0.0013,False
london,fvg_ce,0.25,0.0,3,12,range,48,704,105,1.13,0.26,67.0,6/8,0.84,0.98,1.45,0.1,False
london,fvg_ce,0.25,0.0,3,12,range,96,775,116,1.137,0.26,76.4,6/8,1.87,0.99,1.46,0.0675,False
london,fvg_ce,0.25,0.0,3,12,2R,48,704,105,1.024,0.03,11.4,5/8,0.7,0.87,1.27,0.3875,False
london,fvg_ce,0.25,0.0,3,12,2R,96,775,116,1.043,0.06,22.5,6/8,1.16,0.89,1.3,0.2963,False
london,fvg_ce,0.25,0.0,3,12,3R,48,704,105,1.06,0.1,33.3,5/8,0.78,0.93,1.24,0.2475,False
london,fvg_ce,0.25,0.0,3,12,3R,96,775,116,1.094,0.19,57.1,6/8,1.35,0.96,1.29,0.1487,False
london,fvg_ce,0.25,0.0,3,12,4R,48,704,105,1.05,0.07,30.4,6/8,0.82,0.93,1.31,0.2963,False
london,fvg_ce,0.25,0.0,3,12,4R,96,775,116,1.114,0.16,74.6,6/8,1.51,0.99,1.4,0.1075,False
london,fvg_ce,0.25,0.0,3,24,range,48,821,123,1.209,0.6,119.1,7/8,0.93,1.05,1.47,0.0112,False
london,fvg_ce,0.25,0.0,3,24,range,96,880,131,1.217,0.57,131.2,7/8,1.87,1.06,1.45,0.005,False
london,fvg_ce,0.25,0.0,3,24,2R,48,821,123,1.176,0.4,93.1,6/8,0.82,1.01,1.4,0.005,False
london,fvg_ce,0.25,0.0,3,24,2R,96,880,131,1.199,0.43,112.0,7/8,1.26,1.03,1.42,0.0013,False
london,fvg_ce,0.25,0.0,3,24,3R,48,821,123,1.199,0.74,123.0,7/8,0.9,1.05,1.26,0.0075,False
london,fvg_ce,0.25,0.0,3,24,3R,96,880,131,1.227,0.82,148.9,8/8,1.41,1.08,1.28,0.0013,False
london,fvg_ce,0.25,0.0,3,24,4R,48,821,123,1.193,0.48,130.6,6/8,0.95,1.06,1.35,0.015,False
london,fvg_ce,0.25,0.0,3,24,4R,96,880,131,1.229,0.57,164.2,6/8,1.55,1.09,1.37,0.0025,False
london,fvg_ce,0.25,0.0,3,48,range,48,937,140,1.225,0.66,140.3,7/8,0.86,1.06,1.47,0.0037,False
london,fvg_ce,0.25,0.0,3,48,range,96,990,148,1.225,0.61,147.9,7/8,1.72,1.07,1.48,0.005,False
london,fvg_ce,0.25,0.0,3,48,2R,48,939,140,1.226,0.61,133.9,7/8,0.8,1.06,1.41,0.0025,False
london,fvg_ce,0.25,0.0,3,48,2R,96,992,148,1.242,0.61,150.4,8/8,1.18,1.07,1.43,0.0,False
london,fvg_ce,0.25,0.0,3,48,3R,48,939,140,1.266,0.9,184.3,7/8,0.89,1.12,1.34,0.0,False
london,fvg_ce,0.25,0.0,3,48,3R,96,992,148,1.287,0.92,208.8,8/8,1.35,1.14,1.36,0.0,False
london,fvg_ce,0.25,0.0,3,48,4R,48,939,140,1.28,0.73,211.8,7/8,0.94,1.14,1.4,0.0,False
